party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,109,69,27,205,23.48
1,Labor,108,56,20,184,21.08
5,Populist,60,50,17,127,14.55
4,Liberal,70,31,6,107,12.26
6,Civic Union Party,49,33,10,92,10.54
3,Nationalist,30,28,13,71,8.13
8,DSA,21,11,3,35,4.01
9,Progressive,18,7,2,27,3.09
7,Order and Opportunity Party,16,5,4,25,2.86
