factor,obs_eigen
1,9.2012
2,2.7217
3,1.8461
4,1.715
5,1.537
6,1.1714
7,0.9874
8,0.9136
9,0.8621
10,0.7594
11,0.7111
12,0.6787
13,0.6167
14,0.5049
15,0.4846
16,0.462
17,0.4261
18,0.4219
19,0.4073
20,0.3641
21,0.3242
22,0.2932
23,0.278
24,0.2641
25,0.245
26,0.2313
27,0.2305
28,0.1819
29,0.1596
