,F1,F2,F3,F4,F5
F1,1.0,-0.4367,-0.221,0.5196,0.2082
F2,-0.4367,1.0,0.2654,-0.2085,-0.2417
F3,-0.221,0.2654,1.0,-0.0628,-0.1268
F4,0.5196,-0.2085,-0.0628,1.0,0.1803
F5,0.2082,-0.2417,-0.1268,0.1803,1.0
