cluster,share,Dem,Rep,Ind,N_weighted
0,13.452553659382671,59.38659722060287,4.486274298549846,25.492183958455662,6438.526587204269
1,13.448720313238102,39.513028145910795,22.58689722148258,26.438401795269673,6436.691909440129
2,12.688086611377939,24.036998545218093,25.810830651522316,32.44199843357458,6072.645020161636
3,11.257150089282154,45.6864149820393,7.163808890804812,35.00447142138368,5387.784504055128
4,10.441656217511294,7.294846319750034,53.20149715625501,31.234677608707955,4997.480989343872
5,9.789790793050221,0.8892825451480939,55.9704978943306,33.59139946125737,4685.49168434344
6,8.545430152937191,80.55831315340198,0.44717057812620004,15.64730141993923,4089.928249452378
7,8.439468674282752,2.5296394156221833,66.36501579722588,25.48598224020244,4039.2140270965174
8,6.0819866582459765,68.72921327219484,0.37443334038950976,23.098591511508342,2910.899580380142
9,5.855156830691708,0.6985818803055824,67.92432008974625,25.452746758161627,2802.336558632929
