,F1,F2,F3,F4,F5,F6,F7,h2
relig_church,-0.1183056634264537,-0.026725540261955123,0.6276393605323738,-0.018429156477129584,-0.025371008800570412,-0.15611497966160118,0.10718576414399729,0.33538903759007505
econ_income,0.0019759111458417015,0.12294713987795058,-0.06081409385281345,-0.010682291251209522,0.07016166283467239,0.28501273969025176,0.05662993556162848,0.12806180305316522
econ_price,0.049075846189541146,0.32695666038711435,0.047346086737682015,-0.019854421802462136,-0.17900509711695192,0.3077213300150708,0.04587026377215935,0.2735427978371676
imm_legalstatus,0.056986298198279405,0.19022446203094806,0.05643721880734647,0.16797802164823158,0.15349931170835365,0.16642545310800727,0.30741239501192413,0.5482204982845955
imm_border,0.09835515449709617,0.5606360827015054,0.17512006552768464,0.1287072480743875,0.17448946727067302,-0.05534029511449266,0.01571649148228967,0.6852172733637603
imm_reducelegal,0.1108328084756566,0.3059103650367489,0.1277210416398341,0.0796447983495629,0.3471049200460623,0.05475539580709485,-0.07869885182139298,0.4718161242454293
imm_border25b,0.2547184991801351,0.40347795574727474,0.22615782464412368,0.0965164366693253,0.219208987750859,0.027505730371673167,0.06866733695354812,0.825315180694723
gun_registry,-0.5736075088354889,-0.05703111929895783,-0.12509136637547813,-0.07871489042950103,0.05724047452672359,-0.0058479667995629285,0.031242519062893086,0.4485537874519332
gun_assaultban,0.602781883512924,-0.037952653326516275,-0.0003436906664699619,0.003365234329359027,0.05644292195346647,0.11019788381532826,0.32874091178928955,0.8022974363452019
gun_concealcarry,0.7732884661460105,-0.035107698065172145,0.09041369706139264,0.004479162159006206,0.1153892978087157,0.014159157095751183,-0.012840826105222853,0.7625435574785926
gun_redflag,0.4139839668041444,0.02960083264022943,0.01109282383553602,0.06459149216198605,0.007643674867311898,0.19068136314090944,0.34998472394097063,0.6949520115800069
gun_bgchecks,0.41799430953814304,-0.313078978797324,-0.05687501541455096,0.07252706557672746,0.15729443407594587,0.022146523751085626,0.4333485939091144,0.6414614265285115
gun_teacherscarry,0.5200470167155593,0.18111831121962596,0.15106561810628102,0.04694210418452315,0.10064645940279385,0.09568610569159924,-0.010714582607131538,0.6648702990558695
abortion_alwaysallow,-0.004671141113108877,0.09054496612077972,0.6851849680681654,0.08066642382065489,-0.04404287249404867,0.13443794308725393,0.15985437025706636,0.7655871839637354
abortion_rapeincest,0.13639185194826167,0.3319599437483655,0.319476016077644,0.0011114566821447713,0.07431098697038056,0.04631524393802637,-0.18307479207068858,0.37338205100533434
abortion_20wk,0.07661687319206135,0.20492864676847894,0.6034854904349677,0.03099935000004029,0.06135208553508682,0.10797967246798032,-0.0855839676032902,0.636364053036223
abortion_employer,0.10623707654856494,0.010394621318063058,0.7633206749285046,0.07912163532752851,0.01885812050746613,0.0629987954967109,-0.0006175330764536072,0.8015550931134937
abortion_funding,0.1696635759431558,0.05858469165572581,0.7390823053156049,0.0833952508042858,0.008892864406932354,0.05246918656907681,-0.027270097458204107,0.8355550503555959
abortion_illegalall,-0.05475802106095984,-0.31012440966664534,0.6754158510790363,-0.05418828067560811,0.2528898691743536,-0.09879895268363817,0.06976070639893933,0.5428683636233844
race_whiteadv,0.14746021233652573,0.3143874067948965,0.005833297794877665,0.24205056391258403,0.20117947286672788,0.1284844883656034,0.18658861333845544,0.6711703134257891
race_problemsrare,0.24107883524634596,0.10340967404929173,0.06131253394226383,0.22434353117003614,0.3232566230225855,-0.10153817923956697,0.13504127814021255,0.5520585194372267
gender_womenpower,0.037688094348117464,-0.06108729763150134,0.071005817341924,0.017771398186227316,0.6994841490786043,0.029496526667830814,-0.020362107542336947,0.5549099505119719
gender_womenoffended,0.06149797420271941,0.06778279241967587,0.037672418250172306,0.05026544588932935,0.673802122611234,0.08577485740125629,-0.01001930799801063,0.6156763813144581
race_workedup,0.09328570093688324,0.3733082586138115,0.011266343856890612,0.19396359960380125,0.4459174839423975,0.011344978150118935,0.08457812557830298,0.7224721539087283
race_slavery,0.06227412508842837,0.4002787189150572,-0.035922588884833996,0.25575003289527704,0.2840752192706017,0.12583296218777618,0.16047470828774132,0.7016838210103162
spend_welfare,-0.018749967822636437,0.21159345050724943,-0.0002554123714997134,0.615221394059712,-0.03673326194466131,0.10623249373920281,0.07126640236442748,0.583061048110511
spend_health,0.052562665353238947,-0.044811754388913036,0.06421700099380613,0.8109605335950935,-0.02727588504578636,-0.047122474167430387,0.08197513665579302,0.7579823180258
spend_education,-0.006847334255646537,-0.08869411221967739,0.00025616646443855673,0.8120952583285738,0.07891338732818709,-0.001928451379292258,-0.01689881919647715,0.6576780897406774
spend_lawenforce,-0.004357272175500145,0.5782570917957083,0.16620414735742287,-0.2718862862932613,0.200571398250835,-0.08373737805398185,0.21425202024462656,0.566578223201226
spend_transport,-0.10580989963945739,-0.11941065496018041,0.024351916638234106,0.6281439124382072,0.07455637330805663,0.02261337160961916,-0.08612487917504685,0.3349028727400593
health_singlepayer,0.07555004091608535,0.26737621942883355,0.23063403165698523,0.30265319079564557,-0.16476884838169514,0.12354405566092952,0.3883125834563735,0.8297236643602097
health_drugnegotiate,-0.008331123847455883,-0.15266283405211006,0.11893849405921272,0.12097082630099633,0.09957964929149873,0.047869072057305694,0.5920889961752415,0.5567777036954042
health_acarepeal,0.29716280735136263,0.11960051305929549,0.25726715085597135,0.10596835885773773,0.17931467252383962,0.07155389795492914,0.0711249698420153,0.6180282032760497
health_drugimport,-0.37790565026160267,0.13417767492099616,0.07392129559252597,-0.07266911967405414,0.22134974796510293,0.04096943591041984,0.2142596126913709,0.13317148704539786
env_eparegulate,0.19285207902740542,0.0778257777275781,0.13056916855996817,0.13445244247306892,0.004354193202274212,0.19984303966513145,0.49895706463425515,0.847419728970763
env_renewables,0.15384595713884894,0.1479578211213582,0.11949682398256589,0.11465488171052059,-0.02462346548077539,0.17384337252785542,0.5013680100437176,0.7671993054915437
env_epaenforce,0.10138461353170294,0.20750383172750675,0.13828098369837388,0.10388394566423624,0.027573843915655226,0.1747948082635828,0.48077029503880436,0.769698518345829
env_fuelefficiency,0.06763974237212933,0.042949388917718,0.05103233657241103,0.14104971695482674,0.048438921940204216,0.03756309709446738,0.5139865279828943,0.5069436910269965
env_fossilfuel,0.31962254845613775,0.34814368469334417,0.18444559829143167,0.10380183264998856,0.07268594973494748,-0.004613375368062968,-0.05702244908819927,0.5228701626595889
trust_fed,0.011488247316346808,-0.020383254288783154,0.04634441646214061,-0.0036229736128773737,0.0026680858372234648,0.9173924908345049,0.020896342420938355,0.8818206290726581
trust_state,-0.07596808964290526,-0.1726463693534816,-0.07861233030395359,-0.05056139725626402,0.05906226225955714,0.7206903293443033,-0.05535385590080582,0.42662535123073536
