,F1,F2,h2
relig_church,0.0019498313183627912,0.43530230396178876,0.19038080652080389
econ_income,0.34647402922170906,-0.14873203068322557,0.08819646456292612
imm_legalstatus,0.6724183897192069,0.013923433218654665,0.4621455230578478
imm_border,0.5199533175359972,0.33078355017745403,0.5598956542359325
gun_concealcarry,0.5251511689717958,0.21685932179837486,0.44208183441379645
abortion_rapeincest,0.21993621735772537,0.4293829623043943,0.33164496721896
race_problemsrare,0.6262431274154214,0.14763881015138614,0.5108082965390687
race_whiteadv,0.9184119236729701,-0.08464265746796505,0.7692314164298493
race_workedup,0.7765853537060659,0.11177843189247971,0.706490227963023
race_slavery,0.9185636196356816,-0.07852659420738724,0.7743823762801468
