,F1,F2,F3,F4,F5,h2
relig_church,-0.09817080488366182,0.012527862079529072,-0.13141463949760598,0.4674629741856789,-0.016430927074206472,0.19499408130206
econ_income,0.11557855193978649,-0.03859950658575293,0.3259005295678086,0.008508074641173504,-0.09437804664837632,0.126473868286894
econ_price,0.01304092874241642,-0.08146393254451728,0.30457656665881877,0.1568736095923187,-0.32496441900303047,0.18778844957203633
imm_legalstatus,0.20795819267202692,0.12517640319250137,0.2529389725314439,0.2988161356809829,0.057668603878235865,0.38636408433192326
imm_border,0.22804956322964565,-0.008602964422222222,-0.0478770797094477,0.49927629121015416,-0.2199685248654226,0.40233332792158144
imm_reducelegal,0.04593043929036745,0.05633732925319405,-0.010141389020878565,0.47896477152528066,0.052613605969260235,0.28420491021891403
gun_concealcarry,0.16484465047389188,0.009976273941279661,0.10033799508913616,0.3214877887401526,0.408379134373996,0.4649374782389286
gun_assaultban,0.3148339528677928,0.018491725153035203,0.30204016911853815,0.1454155670833447,0.3881814765103266,0.5712521999880594
gun_bgchecks,0.23018995102011702,0.10688987976043422,0.12728493222093545,0.03242155429630448,0.6372403716434504,0.6611368567414526
abortion_rapeincest,0.07841620702929242,0.031244785813169786,-0.053993496480443035,0.4841252778807696,-0.18019863599589925,0.2811389020302037
abortion_20wk,-0.004531800322183091,0.03524682405863771,0.05632801764585208,0.6662399295306847,-0.11802540088856636,0.44258606691010066
abortion_alwaysallow,0.10012061536394055,0.09705481041458881,0.18831980323062653,0.5822555269462598,0.029750886793970005,0.5295632919056147
abortion_employer,-0.028193042707333492,0.10418337872065427,0.03688164834880791,0.7749008170072873,0.08635074573595543,0.6627817356683938
abortion_illegalall,-0.12780987503794508,0.0006924821641399907,-0.09116595921886685,0.595219121887814,0.3493623073160653,0.4687601044703176
race_problemsrare,0.5317994458458523,0.07403744481189861,-0.15665222485882427,0.15386592312513503,0.27489752095216896,0.565264268823511
race_whiteadv,0.7764875879423212,0.06030408314080834,0.06732392253354201,0.03032528855044538,0.004046651687448318,0.705215999661901
race_workedup,0.5409627195117124,0.05310968689400761,-0.10219513072923928,0.301325487813981,-0.0176051840393185,0.56110141292403
race_slavery,0.7553657765219486,0.0693314750388365,0.045284141605415044,0.07115713106317914,-0.10614656736743674,0.67371880932357
race_privdeny,0.7254190762689198,0.054252615690445115,0.035460713868960846,0.016618207242694798,0.12281025867965302,0.6476789513584857
race_privgetaway,0.8882554566440614,0.03809517487659709,-0.0041920638605977036,-0.057431576857930926,0.09235812379354194,0.8100679738741073
race_privlengths,0.8242364769195814,0.04357490697095201,0.009168880715605187,-0.09418210400470353,-0.02520831881247567,0.6349037772038822
gender_womenpower,0.10882466499805432,0.01639201416517672,-0.05680304454662481,0.38627059384634027,0.26106724351956906,0.32109201154584066
spend_welfare,0.20831198204321227,0.5294277586569368,0.16888300776814757,0.08105361535000007,-0.23109654261462784,0.5128293463647928
spend_health,0.13479713036451263,0.774689664113964,0.0014451446590207145,0.055138309422937265,0.0013640416053939306,0.7393966732655013
spend_education,0.04001957378467615,0.8158362166248693,-0.02678722891502115,0.03930471734547785,0.043550942233467,0.7208851536705786
spend_lawenforce,0.41453289298832185,-0.4217056284492299,-0.09745410606335903,0.37990102762172007,-0.1632054955077967,0.46038899101917946
spend_transport,-0.07373628662502782,0.7056209386271382,-0.04896500013511834,0.021121612352950618,-0.010229593130056652,0.44544375591093854
trust_fed,0.01629436857710808,-0.003626523169623244,0.9085162282474534,0.02688095064525464,0.010453762190288506,0.8373009035031077
trust_state,-0.10599733001471458,-0.012982688785745211,0.6843729109315521,-0.0665725513121232,0.03878222958482433,0.455945627147375
