state_fips,state_abbr,district_id,seat_count,density_tier,reserve
1,AL,01-01,5,URBAN,3
1,AL,01-02,5,SUBURBAN,3
2,AK,02-01,2,SUBURBAN,0
4,AZ,04-01,5,URBAN,4
4,AZ,04-02,5,URBAN,4
4,AZ,04-03,5,SUBURBAN,4
5,AR,05-01,4,URBAN,0
5,AR,05-02,4,SUBURBAN,0
6,CA,06-01,7,URBAN,21
6,CA,06-02,7,URBAN,21
6,CA,06-03,7,URBAN,21
6,CA,06-04,7,URBAN,21
6,CA,06-05,7,URBAN,21
6,CA,06-06,7,URBAN,21
6,CA,06-07,7,URBAN,21
6,CA,06-08,7,URBAN,21
6,CA,06-09,7,SUBURBAN,21
6,CA,06-10,7,SUBURBAN,21
6,CA,06-11,7,SUBURBAN,21
6,CA,06-12,6,SUBURBAN,21
8,CO,08-01,7,URBAN,3
8,CO,08-02,5,SUBURBAN,3
9,CT,09-01,4,URBAN,1
9,CT,09-02,4,SUBURBAN,1
10,DE,10-01,3,URBAN,0
11,DC,11-01,2,URBAN,0
12,FL,12-01,7,URBAN,11
12,FL,12-02,7,URBAN,11
12,FL,12-03,7,URBAN,11
12,FL,12-04,7,URBAN,11
12,FL,12-05,7,SUBURBAN,11
12,FL,12-06,6,SUBURBAN,11
12,FL,12-07,5,RURAL,11
13,GA,13-01,7,URBAN,6
13,GA,13-02,5,URBAN,6
13,GA,13-03,5,SUBURBAN,6
13,GA,13-04,5,RURAL,6
15,HI,15-01,4,URBAN,0
16,ID,16-01,5,SUBURBAN,0
17,IL,17-01,7,URBAN,7
17,IL,17-02,7,URBAN,7
17,IL,17-03,7,SUBURBAN,7
17,IL,17-04,6,RURAL,7
18,IN,18-01,7,URBAN,4
18,IN,18-02,7,SUBURBAN,4
19,IA,19-01,4,URBAN,0
19,IA,19-02,4,SUBURBAN,0
20,KS,20-01,4,URBAN,0
20,KS,20-02,4,SUBURBAN,0
21,KY,21-01,5,URBAN,2
21,KY,21-02,5,SUBURBAN,2
22,LA,22-01,5,URBAN,2
22,LA,22-02,5,SUBURBAN,2
23,ME,23-01,4,RURAL,0
24,MD,24-01,7,URBAN,3
24,MD,24-02,6,SUBURBAN,3
25,MA,25-01,7,URBAN,4
25,MA,25-02,7,SUBURBAN,4
26,MI,26-01,7,URBAN,5
26,MI,26-02,5,URBAN,5
26,MI,26-03,5,SUBURBAN,5
26,MI,26-04,5,RURAL,5
27,MN,27-01,7,URBAN,3
27,MN,27-02,5,SUBURBAN,3
28,MS,28-01,4,SUBURBAN,0
28,MS,28-02,4,RURAL,0
29,MO,29-01,7,URBAN,3
29,MO,29-02,6,SUBURBAN,3
30,MT,30-01,3,SUBURBAN,0
31,NE,31-01,5,SUBURBAN,0
32,NV,32-01,4,URBAN,0
32,NV,32-02,4,SUBURBAN,0
33,NH,33-01,4,SUBURBAN,0
34,NJ,34-01,7,URBAN,5
34,NJ,34-02,7,URBAN,5
34,NJ,34-03,5,SUBURBAN,5
35,NM,35-01,6,URBAN,0
36,NY,36-01,7,URBAN,11
36,NY,36-02,7,URBAN,11
36,NY,36-03,7,URBAN,11
36,NY,36-04,7,SUBURBAN,11
36,NY,36-05,7,SUBURBAN,11
36,NY,36-06,7,RURAL,11
37,NC,37-01,7,URBAN,5
37,NC,37-02,5,SUBURBAN,5
37,NC,37-03,5,RURAL,5
37,NC,37-04,5,RURAL,5
38,ND,38-01,2,SUBURBAN,0
39,OH,39-01,7,URBAN,6
39,OH,39-02,7,URBAN,6
39,OH,39-03,6,SUBURBAN,6
39,OH,39-04,5,RURAL,6
40,OK,40-01,4,URBAN,2
40,OK,40-02,4,SUBURBAN,2
41,OR,41-01,5,URBAN,2
41,OR,41-02,4,SUBURBAN,2
42,PA,42-01,7,URBAN,7
42,PA,42-02,7,URBAN,7
42,PA,42-03,7,SUBURBAN,7
42,PA,42-04,6,RURAL,7
44,RI,44-01,3,URBAN,0
45,SC,45-01,5,URBAN,3
45,SC,45-02,5,SUBURBAN,3
46,SD,46-01,2,SUBURBAN,0
47,TN,47-01,7,URBAN,4
47,TN,47-02,7,SUBURBAN,4
48,TX,48-01,7,URBAN,15
48,TX,48-02,7,URBAN,15
48,TX,48-03,7,URBAN,15
48,TX,48-04,7,URBAN,15
48,TX,48-05,7,URBAN,15
48,TX,48-06,7,SUBURBAN,15
48,TX,48-07,7,SUBURBAN,15
48,TX,48-08,7,SUBURBAN,15
48,TX,48-09,6,RURAL,15
49,UT,49-01,4,URBAN,1
49,UT,49-02,4,SUBURBAN,1
50,VT,50-01,2,RURAL,0
51,VA,51-01,7,URBAN,5
51,VA,51-02,6,SUBURBAN,5
51,VA,51-03,5,RURAL,5
53,WA,53-01,6,URBAN,4
53,WA,53-02,5,URBAN,4
53,WA,53-03,5,SUBURBAN,4
54,WV,54-01,5,SUBURBAN,0
55,WI,55-01,7,URBAN,3
55,WI,55-02,6,SUBURBAN,3
56,WY,56-01,2,SUBURBAN,0
