party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,157,96,54,307,21.83
1,Labor,135,70,31,236,16.79
4,Liberal,112,46,20,178,12.66
5,Populist,71,45,23,139,9.89
3,Nationalist,70,50,16,136,9.67
2,Solidarity,74,48,10,132,9.39
6,Civic Union Party,56,41,20,117,8.32
9,Progressive,41,16,11,68,4.84
7,Order and Opportunity Party,29,13,5,47,3.34
8,DSA,32,10,4,46,3.27
