state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,35.75,12.99,28.56,8.17,14.53
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.17,18.86,35.37,14.27,11.34
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.58,7.6,26.43,17.76,19.63
5,AR,CON_1,CUP_1,CON_1,390,4,29.32,14.78,32.97,10.93,12.0
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.16,10.54,32.1,24.62,11.59
8,CO,LBR_1,LIB_1,LBR_1,785,4,31.35,8.71,24.38,25.22,10.32
9,CT,LBR_1,LIB_1,LBR_1,465,4,27.25,10.93,22.99,28.93,9.9
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.17,12.67,29.48,22.47,6.21
11,DC,LBR_1,CON_1,LBR_1,122,4,16.45,8.79,30.87,43.89,0.0
12,FL,LBR_1,CUP_1,LBR_1,3350,4,28.87,19.26,30.79,12.18,8.9
13,GA,LBR_1,CUP_1,LBR_1,1489,4,29.33,16.28,27.95,16.28,10.15
15,HI,LBR_1,LIB_1,LBR_1,153,4,25.0,11.3,34.67,24.42,4.61
16,ID,CON_1,CUP_1,CON_1,244,4,29.95,20.02,20.69,13.74,15.6
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.02,15.77,25.62,23.19,9.41
18,IN,CON_1,CUP_1,CON_1,978,4,25.88,18.51,24.5,15.88,15.23
19,IA,CON_1,CUP_1,CON_1,490,4,28.71,17.22,25.47,13.61,14.98
20,KS,CON_1,CUP_1,CON_1,385,3,31.18,13.62,22.07,21.12,12.01
21,KY,CON_1,CUP_1,CON_1,674,4,30.1,17.47,26.49,11.51,14.43
22,LA,CON_1,CUP_1,CON_1,493,4,30.52,19.18,21.76,12.1,16.44
23,ME,LIB_1,LBR_1,LBR_1,236,4,26.31,7.12,27.19,31.18,8.19
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.32,9.86,34.2,25.25,8.37
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.08,9.45,30.59,28.77,9.1
26,MI,CON_1,NAT_1,CON_1,1531,3,30.02,10.39,24.33,19.57,15.7
27,MN,CON_1,LBR_1,LBR_1,811,4,26.68,10.29,20.05,32.29,10.7
28,MS,CON_1,CUP_1,CON_1,349,4,29.22,18.41,34.83,5.62,11.92
29,MO,CON_1,LIB_1,CON_1,1047,4,29.92,12.09,31.76,13.5,12.73
30,MT,LBR_1,LIB_1,LBR_1,185,3,21.0,11.1,24.3,20.2,23.4
31,NE,LBR_1,CUP_1,LBR_1,286,4,23.93,19.19,32.45,13.86,10.57
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.57,8.58,30.44,19.97,12.44
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.43,15.06,31.34,23.24,6.94
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,26.29,12.4,23.74,26.13,11.44
35,NM,LBR_1,LIB_1,LBR_1,309,4,21.72,16.86,36.05,18.16,7.21
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.65,12.15,31.73,22.95,9.53
37,NC,CON_1,NAT_1,CON_1,1444,3,31.02,12.54,24.01,18.05,14.37
38,ND,CON_1,CUP_1,CUP_1,90,4,33.1,22.27,23.58,16.99,4.06
39,OH,CON_1,CUP_1,CON_1,1978,3,31.36,14.77,25.68,15.27,12.92
40,OK,CON_1,NAT_1,CON_1,537,4,30.42,16.03,22.67,12.84,18.03
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.5,6.68,25.16,32.84,16.82
42,PA,LBR_1,LIB_1,LBR_1,2418,4,28.97,10.45,24.36,24.82,11.41
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.61,10.47,29.87,29.6,6.45
45,SC,CON_1,CUP_1,CON_1,736,4,30.71,13.66,30.4,11.64,13.59
46,SD,CON_1,CUP_1,CUP_1,137,4,25.44,20.91,24.81,14.16,14.69
47,TN,CON_1,NAT_1,CON_1,1065,4,38.95,14.23,20.62,7.89,18.31
48,TX,LBR_1,CUP_1,LBR_1,3392,4,29.56,17.13,31.05,11.22,11.04
49,UT,LBR_1,CUP_1,LBR_1,387,4,23.87,14.81,38.59,11.64,11.08
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.74,7.19,19.99,44.05,5.02
51,VA,LBR_1,LIB_1,LBR_1,1234,4,27.98,10.27,28.9,20.78,12.08
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.37,11.2,27.8,28.06,11.57
54,WV,CON_1,CUP_1,CON_1,335,4,32.53,18.78,28.73,8.5,11.46
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.13,11.75,24.91,20.46,11.76
56,WY,CON_1,CUP_1,CON_1,70,4,35.19,23.57,16.37,15.08,9.79
