,F1,F2,F3,F4,F5,h2
relig_church,-0.07298811310320263,0.0046249749119751105,0.39215091675780106,-0.052161188813279066,0.07786553164741787,0.13641041113474764
econ_income,-0.1034039630345174,-0.0017824594661741383,-0.11622065041147894,-0.13513865255280877,0.09486405008099215,0.07957179754674944
imm_legalstatus,0.029443676218234495,0.08964393646633581,-0.12584675710563487,0.7987913880684451,0.04878861648478157,0.6508838365588586
imm_border,0.007257190824861317,0.05159763470345286,0.3294386724694336,0.36730397752054833,0.22606949164294937,0.471585856315275
imm_dreamers,0.04696386630559381,0.07100958225955355,-0.0307090068949958,0.7963857615854366,0.00902803621297657,0.6986173847877819
imm_reducelegal,-0.134540713868716,-0.011608757357602147,0.3869737579272925,0.5432104964635851,0.011486385692045983,0.5146915080106824
gun_concealcarry,0.1904686634516828,-0.03989864635608204,0.3124419976103584,0.32977836722630294,-0.3690312635884867,0.4661593657475558
gun_assaultban,0.46747580333671784,0.013550158708989358,-0.011413812016692042,0.31710673047457805,-0.2636766080654295,0.47561326074035093
gun_bgchecks,-0.16079252017963466,0.03895402787805149,-0.250951889099121,-0.1791884841332654,0.27392737136672646,0.23289609692753957
police_increase,0.09133817355184551,-0.09361496304141952,0.4197223502121552,0.22029122987432115,0.36812214121308184,0.5841712964413689
police_decrease,0.24039657485668234,0.05883348923083177,0.010177078610184622,0.21983912756820306,0.5522602829290271,0.5935974840888278
abortion_rapeincest,0.01563660581740833,0.0032793144875712557,0.48601346084013214,-0.016310668335344166,0.0753142061074633,0.25614071044434195
abortion_20wk,-0.014517475426078829,0.1442265469105909,0.6211624782547953,-0.1279729464784324,0.1310178179012005,0.3965994091782402
abortion_alwaysallow,0.19894012564815944,0.1418576523931707,0.3881628694900493,0.07240514716713635,0.09075148479822208,0.3971054731838723
abortion_employer,0.04524700996628107,0.15009707426170424,0.7288103555846337,0.010499757572593965,-0.043341348748393335,0.6126988861546491
abortion_illegalall,0.040827911843553645,-0.03309635392206639,0.6422539928245894,-0.04884857283684288,-0.1231985949310239,0.3919156064981384
race_problemsrare,0.6041791271129263,-0.023223992151169038,0.19544626365966283,0.11976516965417622,-0.12197520417869086,0.5779808936440072
race_whiteadv,0.7931940275190158,0.077597765377553,0.019348865404013902,0.016440400647434752,0.002372291069395561,0.7176976919803764
race_workedup,0.46545896908994655,0.005469117219657189,0.27910060405952375,0.10800611106770425,0.10496917415272886,0.5557842964548332
race_slavery,0.7294621562598563,0.057510087139656565,0.0375186701963666,-0.012184462567573015,0.17972724493161268,0.6816198770897404
race_privdeny,0.7857305905403444,0.05010671497751583,0.00517926377834132,0.020007657056634064,-0.016155944596308446,0.6693209693705617
race_privgetaway,0.9168276415384398,0.020539824741080005,-0.017897192922065826,-0.00828382808448882,-0.016633241643629663,0.8270068375370321
race_privlengths,0.8215074991841369,0.059033573534937066,-0.09423940242327417,-0.054906516289586996,0.03011712244198887,0.6230236493203224
gender_womenpower,0.177684451458386,0.006292192548427966,0.3328893625900375,0.2123151678351886,-0.11755868851766102,0.328534578631078
spend_welfare,0.08249032936493589,0.5961347952601814,0.016078054957926583,0.12092063086653132,0.237781200056243,0.5397467111923656
spend_health,0.16578536952863515,0.7356703940517952,0.09365185991566966,0.08204075889784451,-0.0013199941066422553,0.770719749152516
spend_education,0.10927210343145428,0.7232790422996377,0.07457082746037282,0.09106966525444701,-0.026669248140836155,0.6875255461573422
spend_lawenforce,0.3361488349332608,-0.42739767992048466,0.2901722285275523,0.09390468130149618,0.3543089834784243,0.6054935297134525
spend_transport,-0.04317195730614257,0.6537007253059567,0.038888295409949786,-0.07788616487950759,-0.04019940869326773,0.3943875954489145
