,F1,F2,F3,F4,F5
F1,1.0,-0.4162,-0.4469,-0.5632,-0.2371
F2,-0.4162,1.0,0.1099,0.2829,-0.0367
F3,-0.4469,0.1099,1.0,0.4305,0.1843
F4,-0.5632,0.2829,0.4305,1.0,0.1376
F5,-0.2371,-0.0367,0.1843,0.1376,1.0
