cluster,share,Dem,Rep,Ind,N_weighted
0,17.737018455846464,14.275632376635153,48.791169801145514,27.62650501647904,8426.392378551496
1,15.963899325295479,45.07923289294068,12.243959222574,30.693094996969187,7584.029973329223
2,13.506071414165119,1.4269466146040422,61.3681748760847,30.282605791443455,6416.380380490615
3,9.38759829216982,54.32388369413716,2.8277929548535825,33.060458571799124,4459.8017924466185
4,9.356101736459767,34.57920628795288,20.288565544147534,31.896697687275207,4444.838604713207
5,8.7588892879725,72.9110627246229,1.2648742986760175,21.658357347643577,4161.118630195708
6,8.566854923833057,2.362805633766413,71.05496697587141,22.153569085932393,4069.8881392068897
7,6.842959197493594,70.89679389127399,0.5181517726474789,22.837680882358203,3250.910482617926
8,5.267958979433209,74.55939146199543,0.12232705125157257,16.960869910503753,2502.669177760603
9,4.612648387330992,18.388059259189387,32.27077030339349,33.98429836636573,2191.3482986275003
