cluster,relig_church,econ_income,imm_legalstatus,imm_border,imm_sanctuary,imm_reducelegal,imm_border25b,gun_registry,gun_assaultban,gun_concealcarry,police_mandatorymin,police_increase,police_decrease,police_chokeholds,police_registry,police_enddod,police_civilsuits,abortion_alwaysallow,abortion_rapeincest,abortion_20wk,abortion_employer,abortion_funding,abortion_illegalall,abortion_statereqs,race_whiteadv,race_problemsrare,gender_womenpower,gender_womenoffended,race_workedup,race_slavery,spend_welfare,spend_health,spend_education,spend_lawenforce,spend_transport,exec_paris,exec_cleanpower,exec_transban,exec_workreqs
0,2.912628987685434,2.9990195168995375,0.4677594151267038,0.9187500471465319,0.35010665983607653,0.6042819347005169,0.8148564614834605,0.38815618876572294,0.4773980899241745,0.43922504026545467,0.4705735736625785,0.7085181304793616,0.9703248256221803,0.3661879608362512,0.2782643874639124,0.8194997749103669,0.3781116462678306,0.5291955999029372,0.6060676529537036,0.7086628334181927,0.48472033781205115,0.5264730963105535,0.24761030642111176,0.6073793457046486,3.3100190620107606,2.9622869094471094,2.8865552576623723,3.32709176241181,4.097057134540933,3.6829219300281824,3.1139350781395474,2.210583705466421,2.197188692163291,4.020249516326144,2.2741441700320166,0.5804000032567248,0.5092280413248016,0.42839688985135566,0.803670712703338
1,2.845219245484331,3.2597003560684636,0.18308143110879313,0.5326828965924754,0.7485495316211273,0.2072446461347282,0.0420162388168651,0.5714498069400313,0.22362063577549587,0.16978027214812008,0.38132284819540796,0.4701813089542653,0.8852124946661364,0.19604703765028914,0.1639356564242784,0.6627219111752621,0.19201864420751735,0.3978182772230618,0.4997579568763208,0.585490559045328,0.31732134189681216,0.3002849852462259,0.1473390996902106,0.6550338575375976,2.188252507836536,2.1282578421455627,2.4267442304679885,2.7612876776464566,3.1383063186024462,2.6419881497924065,2.6869680228875867,1.962478158220948,1.9809945352216938,3.537502157809744,2.3172960130325695,0.10347919395200567,0.3000260162181148,0.14527434931087377,0.6548579935446126
2,3.177080359649219,2.6963273832900865,0.7791948563503882,0.9921993272722046,0.05018884075379155,0.8132921008431987,0.9979675986911604,0.12983990633351195,0.9625331737486206,0.9333916977976484,0.41073728355411737,0.8595194875180012,0.9792722893748596,0.6866002177317357,0.45129941283233327,0.8410281250380857,0.5320642747578481,0.8860123226401965,0.6498100756930147,0.9166612557150274,0.9216635403859792,0.9632966976719772,0.3362624630872463,0.6827940474063953,4.4036575965321685,3.989691972523354,3.309138511653821,3.91458799359165,4.668524444012052,4.520304936085148,3.973666597935176,3.2387769787217575,3.099797087877036,4.052402272862743,2.2873191550077254,0.9911483793043735,0.7750229657458562,0.8664777174831064,0.930499223791904
3,2.3675626610035865,3.3339094862941243,0.07558042229228595,0.30942334684499706,0.8207663449635609,0.12427037799906201,0.009402718140617872,0.5110204973127884,0.21523252603397458,0.2527619727477065,0.07875672713084826,0.058014112834924886,0.014218784587810004,0.03694303867748941,0.026003709259043713,0.09564402446592173,0.02449872660328982,0.21094089283963569,0.2618991613668872,0.4303828765258205,0.2066134829753439,0.22759542786359502,0.041574945412636365,0.6028084817908425,1.500805550491649,1.5235523878942383,1.9895911666927983,2.2067061313676684,2.033975701702382,1.657243069056583,2.1803723095310845,1.5211900540008998,1.6071555715772063,2.3443371789498593,2.0528091591858018,0.05197273358922734,0.18366491276990476,0.06523219199730061,0.41578458477685254
4,2.751205070671595,3.107662757370844,0.25777869446996027,0.6200473373456403,0.34713208220560066,0.5726162921034261,0.5241379484823244,0.28824866201343585,0.5033621782478127,0.6567093243144405,0.14047929054308508,0.3959714946734756,0.17465810758194927,0.15641757424465988,0.12902234323387826,0.2180527372232322,0.08323022258941393,0.20991725816453305,0.561798380595921,0.6055829535133078,0.4490548210105437,0.49190507959324886,0.3124132912049476,0.4751866080035748,2.3598664445292314,2.7837634570107173,3.134876700032373,3.2959141920250747,3.5038526405656514,2.556050725152715,2.20643896625863,1.8154454518334764,1.957586216600979,3.2857129025214964,2.1726203023323527,0.5066720703548934,0.577978677288935,0.38825685604006105,0.620809399472249
5,2.340951013318557,3.3297223908193905,0.06109064568978685,0.2965328532282771,0.9237537391508723,0.06108289369943697,0.0002714978140263585,0.6873523469759449,0.029538503439856978,0.026253585518495867,0.1338538377522336,0.21460974810331485,0.6030394447177487,0.025931578488797177,0.03716847362190507,0.37908036654964866,0.059979866219461705,0.04557566161975161,0.3112357819009502,0.2913062171197979,0.04633914615985595,0.028445349717815906,0.06847060867025499,0.6911592472013238,1.3509752942286548,1.2816652904813275,1.5771418363973304,1.7360270481535698,1.7964120863817223,1.5883612862717227,2.2274601160386513,1.3684422631028044,1.452008740763119,3.007047211040706,1.857894443346812,0.004960311131662737,0.10924034992237266,0.01820748666677373,0.43660903887661273
6,3.801152080011967,2.770520184410345,0.5638848382057581,0.9933711737422876,0.16865444251352812,0.7546281808381657,0.988263065853721,0.2827110630538901,0.6046875040096323,0.597291608014916,0.6504694237566366,0.9623359481904736,0.9983208023455905,0.47578430236427727,0.40266723590691866,0.9563001486665382,0.5326602484922672,0.9769948855661759,0.6903295874173174,0.95242351089067,0.9481628790539569,0.9859328414067817,0.2464974586337881,0.5858689046927936,3.985727359088931,3.425255548214295,3.087711243966318,3.587801028404986,4.51697704655561,4.327870818164574,3.651002776357628,2.7355041654840044,2.5026893211032837,4.40239202229448,2.297947715331605,0.9037248283823616,0.6734885739343612,0.7585408593140044,0.9463175214894475
7,2.002111273610808,3.3630584275707207,0.03154842820616615,0.15214007290878995,0.9538447520650604,0.037800947079881485,0.0,0.6953086914752664,0.03225612963516533,0.014088287863090972,0.029219275526613714,0.011141474482732385,0.0,0.014645964986794473,0.01445496773438262,0.011303200757590086,0.013115553674420766,0.010202358902332483,0.048912586155360524,0.15732314556559573,0.01623621538695751,0.00805483736295399,0.0023765615832302706,0.588968499970433,1.2053863566696277,1.2097365015710897,1.475106871872669,1.6101095290087133,1.4621335846664636,1.2913355149904588,2.071573414788472,1.4191248243695522,1.468169182137676,2.2554505906204074,1.9017704508857067,0.0016534142452365183,0.05419694488807103,0.00634282576892059,0.2741444281834507
8,1.6886413856898952,3.365844391208493,0.0040027232082304595,0.02401057023767764,0.9830367052913124,0.00596803901182931,0.0,0.761609176971334,0.0006617776861103276,0.0,0.007168727993262737,0.0,0.0,0.001536816541176673,0.002951582250860633,0.0,0.0010111164671442756,0.0,0.003086744388051405,0.035172571803587196,0.0032006316756034974,0.0007885080723291932,0.0,0.4724832096858314,1.0309457197914789,1.0633910578865833,1.1459750347796405,1.1569482826388984,1.085577073432532,1.0297068780524534,1.4296466361285938,1.008481694190543,1.0890630176382683,1.518074171122981,1.5218120187276352,0.0,0.025113234567115155,0.002141584001168597,0.062334711561343265
9,3.171076278483203,3.0563266947122063,0.34085862233859676,0.7061145900038779,0.37770872324912114,0.4850278386651884,0.4764507581596061,0.328054946705235,0.524080008774162,0.5820619813927055,0.25655149495640234,0.46376002147933265,0.3917115308385303,0.232550527317832,0.17104669557357668,0.33698328618555906,0.12511320054450414,0.8322842077633216,0.4971943550900966,0.7964318104978713,0.8584156283016595,0.9292300493765087,0.33146074472633424,0.5340266135605914,2.8551925438018997,2.9621189577547336,3.1021949830160347,3.3132132357188766,3.666429016699381,3.029279808822487,3.2574311920089976,2.976446640925526,2.9492740472522967,2.8582520110725023,2.913449511093345,0.5831331559751559,0.5847360559480655,0.5069136480974191,0.7443226316700828
