factor,obs_eigen
1,10.1286
2,2.5388
3,1.7137
4,1.5013
5,1.2964
6,1.0953
7,1.0324
8,0.9377
9,0.9135
10,0.8456
11,0.7354
12,0.5947
13,0.5888
14,0.5518
15,0.4774
16,0.449
17,0.4019
18,0.3926
19,0.3652
20,0.3429
21,0.2974
22,0.2897
23,0.2782
24,0.2542
25,0.2477
26,0.233
27,0.1936
28,0.1672
29,0.136
