,F1,F2,h2
relig_church,0.10268179705105807,0.32935977010522904,0.1445170408110809
econ_income,-0.1674890516188002,-0.22276698518292157,0.10580572208814523
imm_legalstatus,0.6398983585185217,0.07456579749771747,0.45100095981703775
imm_border,0.6621606716118495,0.28649081185057274,0.6635468458803878
gun_concealcarry,0.5353154202101624,0.2320059234747721,0.4340183905187404
abortion_rapeincest,0.31697130521700073,0.31537173262862567,0.27529075916241974
race_problemsrare,0.7156438300209422,0.1100953072894777,0.5836644764836941
race_whiteadv,0.9191654928952455,-0.07551491695128779,0.7982404191147425
race_workedup,0.8487975145389534,0.036289108043458584,0.7449951858830196
race_slavery,0.9450060844756553,-0.13939276829615993,0.8131605884525743
