,F1,F2,F3,F4
F1,1.0,0.3901,0.5977,-0.6509
F2,0.3901,1.0,0.2889,-0.2394
F3,0.5977,0.2889,1.0,-0.5215
F4,-0.6509,-0.2394,-0.5215,1.0
