state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,CUP_1,CON_1,661,3,44.79,11.91,13.62,8.17,21.5
2,AK,LBR_1,CUP_1,STY_1,105,4,25.79,18.2,22.63,14.27,19.12
4,AZ,CON_1,STY_1,STY_1,1159,3,42.31,6.43,17.77,17.76,15.73
5,AR,CON_1,STY_1,STY_1,390,4,35.72,13.12,23.17,10.93,17.06
6,CA,LBR_1,LIB_1,LBR_1,3626,4,27.48,8.62,21.61,24.62,17.68
8,CO,LBR_1,LIB_1,STY_1,785,4,35.18,6.5,19.31,25.2,13.8
9,CT,LBR_1,LIB_1,LBR_1,465,4,32.92,10.39,17.19,28.93,10.56
10,DE,LBR_1,LIB_1,LBR_1,164,4,32.65,10.95,25.61,22.47,8.32
11,DC,LBR_1,STY_1,LBR_1,122,4,9.67,8.53,27.84,43.89,10.07
12,FL,LBR_1,CUP_1,STY_1,3350,4,33.27,16.48,19.33,12.18,18.74
13,GA,LBR_1,STY_1,STY_1,1489,4,35.07,12.2,19.74,16.28,16.7
15,HI,LBR_1,LIB_1,LBR_1,153,4,27.54,10.78,25.39,24.42,11.86
16,ID,CON_1,CUP_1,STY_1,244,4,41.17,16.31,16.8,13.74,11.98
17,IL,LBR_1,LIB_1,LBR_1,1758,4,31.74,14.1,19.39,23.19,11.58
18,IN,CON_1,CUP_1,STY_1,978,4,37.64,14.61,17.51,15.88,14.36
19,IA,CON_1,STY_1,STY_1,490,4,38.27,12.74,19.33,13.61,16.05
20,KS,STY_1,LIB_1,STY_1,385,4,40.51,6.69,15.29,21.12,16.4
21,KY,CON_1,CUP_1,CON_1,674,3,40.02,14.47,16.58,11.51,17.43
22,LA,CON_1,CUP_1,STY_1,493,4,41.78,16.75,13.18,12.1,16.19
23,ME,LIB_1,LBR_1,LBR_1,236,4,27.54,6.83,19.74,31.18,14.71
24,MD,LBR_1,LIB_1,LBR_1,791,4,26.57,8.4,25.1,25.25,14.68
25,MA,LBR_1,LIB_1,LBR_1,906,4,28.84,8.05,23.91,28.77,10.42
26,MI,CON_1,STY_1,STY_1,1531,3,39.66,8.53,19.34,19.57,12.91
27,MN,CON_1,LBR_1,LBR_1,811,4,29.97,8.42,15.46,32.29,13.86
28,MS,STY_1,LBR_1,STY_1,349,4,34.32,14.72,17.62,5.62,27.72
29,MO,CON_1,STY_1,STY_1,1047,4,38.7,10.48,21.13,13.5,16.2
30,MT,LBR_1,LIB_1,CON_1,185,4,43.4,9.95,15.67,20.2,10.78
31,NE,LBR_1,CUP_1,STY_1,286,4,33.42,18.1,21.3,13.86,13.33
32,NV,LBR_1,LIB_1,STY_1,573,4,36.39,6.71,20.35,19.97,16.58
33,NH,LBR_1,LIB_1,LBR_1,252,4,29.67,12.38,26.97,23.24,7.74
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,33.15,9.18,20.23,26.13,11.31
35,NM,LBR_1,LIB_1,LBR_1,309,4,27.59,15.46,26.5,18.16,12.29
36,NY,LBR_1,LIB_1,LBR_1,2585,4,28.21,10.29,23.63,22.95,14.93
37,NC,STY_1,LIB_1,STY_1,1444,4,38.61,10.42,16.83,18.05,16.09
38,ND,CON_1,CUP_1,STY_1,90,4,35.99,17.04,19.21,16.99,10.77
39,OH,CON_1,STY_1,STY_1,1978,4,40.01,13.78,16.69,15.27,14.25
40,OK,CON_1,CUP_1,CON_1,537,4,42.32,14.66,10.54,12.84,19.64
41,OR,LIB_1,LBR_1,LBR_1,810,4,31.51,5.15,21.28,32.84,9.22
42,PA,LBR_1,LIB_1,LBR_1,2418,4,36.11,9.1,18.79,24.82,11.18
44,RI,LBR_1,LIB_1,LBR_1,176,4,25.74,8.42,21.99,29.6,14.25
45,SC,CON_1,STY_1,STY_1,736,4,38.93,10.97,19.99,11.64,18.47
46,SD,CON_1,CUP_1,STY_1,137,4,34.98,18.51,15.34,13.8,17.36
47,TN,CON_1,none,CON_1,1065,1,51.5,13.05,12.02,7.89,15.54
48,TX,LBR_1,STY_1,STY_1,3392,4,35.55,14.82,18.67,11.21,19.75
49,UT,LBR_1,STY_1,STY_1,387,4,30.31,11.49,25.4,11.64,21.16
50,VT,LIB_1,LBR_1,LBR_1,105,4,25.45,7.92,15.48,44.05,7.1
51,VA,LBR_1,LIB_1,STY_1,1234,4,35.34,9.32,22.01,20.78,12.55
53,WA,LBR_1,LIB_1,LBR_1,1112,4,28.65,10.35,22.77,28.06,10.17
54,WV,STY_1,LBR_1,STY_1,335,4,37.46,18.12,15.57,8.5,20.34
55,WI,LBR_1,LIB_1,STY_1,1088,4,38.47,10.28,18.85,20.46,11.93
56,WY,STY_1,LIB_1,CON_1,70,4,39.69,14.22,12.79,15.08,18.22
