round,candidate_code,candidate_name,vote_total,vote_pct,eliminated,winner
1,BE,NAT,8506.8205,18.6426,False,False
1,CO,LIB,11012.8968,24.1346,False,False
1,CON_CTR,CON/CTR,8759.8736,19.1971,False,True
1,CON_SD,CON/SD,8160.6704,17.884,True,False
1,STY_SD,STY/SD,9190.8809,20.1417,False,False
2,BE,NAT,8756.7503,19.1903,True,False
2,CO,LIB,11769.1085,25.7918,False,False
2,CON_CTR,CON/CTR,13590.7851,29.784,False,True
2,STY_SD,STY/SD,11514.4984,25.2339,False,False
3,CO,LIB,11902.8577,26.0849,True,False
3,CON_CTR,CON/CTR,21767.3656,47.7029,False,True
3,STY_SD,STY/SD,11960.919,26.2122,False,False
4,CON_CTR,CON/CTR,23215.278,50.876,False,True
4,STY_SD,STY/SD,22415.8643,49.124,False,False
