party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,159,95,54,308,22.0
1,Labor,131,67,30,228,16.29
4,Liberal,114,46,21,181,12.93
5,Populist,72,44,24,140,10.0
3,Nationalist,72,51,16,139,9.93
2,Solidarity,70,44,9,123,8.79
6,Civic Union Party,55,40,19,114,8.14
9,Progressive,48,15,11,74,5.29
7,Order and Opportunity Party,29,13,6,48,3.43
8,DSA,30,11,4,45,3.21
