state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1
1,AL,CON_1,POP_1,POP_1,661,4,39.7,10.32,26.6,7.27,16.11
2,AK,LBR_1,CUP_1,LBR_1,105,4,21.44,19.15,36.48,12.2,10.73
4,AZ,CON_1,POP_1,POP_1,1159,4,28.34,7.33,24.3,15.77,24.26
5,AR,CON_1,POP_1,POP_1,390,4,33.23,12.66,28.87,9.56,15.68
6,CA,LBR_1,LIB_1,LBR_1,3626,4,17.44,9.93,30.08,21.57,20.98
8,CO,LBR_1,LIB_1,LBR_1,785,4,27.0,7.2,24.22,22.54,19.05
9,CT,LBR_1,LIB_1,LBR_1,465,4,24.24,8.87,22.57,26.0,18.33
10,DE,LBR_1,LIB_1,LBR_1,164,4,28.63,12.43,29.75,20.42,8.77
11,DC,LBR_1,POP_1,LBR_1,122,4,9.64,5.65,31.34,39.76,13.61
12,FL,LBR_1,CUP_1,LBR_1,3350,4,29.87,15.85,28.55,10.59,15.15
13,GA,LBR_1,CUP_1,LBR_1,1489,4,30.51,15.06,26.8,14.22,13.41
15,HI,LBR_1,LIB_1,LBR_1,153,4,23.62,10.95,29.13,22.15,14.15
16,ID,CON_1,POP_1,POP_1,244,4,35.47,12.69,20.82,12.2,18.82
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.31,15.46,24.18,20.74,13.3
18,IN,CON_1,CUP_1,POP_1,978,4,33.72,14.62,24.04,14.0,13.62
19,IA,LBR_1,CUP_1,LBR_1,490,4,35.05,13.25,25.62,12.1,13.98
20,KS,LBR_1,LIB_1,POP_1,385,4,34.19,10.76,22.32,18.65,14.07
21,KY,CON_1,POP_1,POP_1,674,4,32.77,14.32,23.75,10.02,19.13
22,LA,CON_1,CUP_1,POP_1,493,4,36.08,18.33,15.78,10.42,19.39
23,ME,LBR_1,LIB_1,LBR_1,236,4,19.65,7.1,24.67,28.16,20.42
24,MD,LBR_1,LIB_1,LBR_1,791,4,19.35,9.84,30.19,22.24,18.38
25,MA,LBR_1,LIB_1,LBR_1,906,4,25.22,6.27,30.91,25.85,11.74
26,MI,CON_1,POP_1,POP_1,1531,4,33.22,9.49,23.23,17.5,16.55
27,MN,CON_1,LBR_1,LBR_1,811,4,22.32,10.59,18.05,29.27,19.78
28,MS,LBR_1,POP_1,POP_1,349,4,28.93,15.06,30.88,4.75,20.39
29,MO,LBR_1,POP_1,POP_1,1047,4,34.0,10.39,27.78,11.76,16.06
30,MT,LBR_1,POP_1,POP_1,185,4,32.32,10.44,22.47,18.05,16.72
31,NE,LBR_1,POP_1,LBR_1,286,4,25.22,14.97,29.17,12.23,18.42
32,NV,LBR_1,POP_1,LBR_1,573,4,26.51,6.93,28.45,17.62,20.5
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.45,11.76,31.91,20.83,12.05
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,23.77,12.01,24.3,23.39,16.53
35,NM,LBR_1,LIB_1,LBR_1,309,3,20.0,15.42,34.21,15.73,14.64
36,NY,LBR_1,LIB_1,LBR_1,2585,4,22.35,11.27,29.61,20.29,16.46
37,NC,CON_1,POP_1,POP_1,1444,4,32.77,11.07,23.58,15.92,16.67
38,ND,CON_1,CUP_1,POP_1,90,4,28.01,17.06,23.63,15.03,16.27
39,OH,CON_1,POP_1,POP_1,1978,4,33.84,13.77,22.95,13.47,15.96
40,OK,CON_1,CUP_1,POP_1,537,4,38.01,15.41,19.66,11.5,15.43
41,OR,LIB_1,LBR_1,LBR_1,810,4,19.81,6.44,26.44,29.88,17.44
42,PA,LBR_1,LIB_1,LBR_1,2418,4,28.95,9.65,25.06,22.21,14.12
44,RI,LBR_1,LIB_1,LBR_1,176,4,22.29,8.93,25.47,26.54,16.78
45,SC,LBR_1,POP_1,POP_1,736,4,33.58,10.48,31.3,10.21,14.44
46,SD,CON_1,POP_1,CUP_1,137,4,30.71,17.36,17.84,12.58,21.52
47,TN,CON_1,POP_1,CON_1,1065,3,47.58,13.22,19.33,6.96,12.92
48,TX,LBR_1,CUP_1,LBR_1,3392,4,31.05,15.66,29.61,9.72,13.95
49,UT,LBR_1,CUP_1,LBR_1,387,3,23.93,11.25,35.7,10.02,19.11
50,VT,LIB_1,LBR_1,LBR_1,105,4,24.49,8.12,20.54,40.02,6.82
51,VA,LBR_1,LIB_1,LBR_1,1234,4,30.27,9.58,27.38,18.32,14.45
53,WA,LBR_1,LIB_1,LBR_1,1112,4,19.39,11.44,27.99,25.11,16.07
54,WV,CON_1,POP_1,POP_1,335,4,33.97,15.48,26.77,7.28,16.5
55,WI,LBR_1,POP_1,LBR_1,1088,4,31.17,10.08,21.89,18.15,18.7
56,WY,CON_1,POP_1,CUP_1,70,4,37.69,11.8,14.33,13.44,22.75
