code,year,swd,wl_gap,leader_api,pid_strength,efficacy,n
ISR,2003,2.155,0.121,,1.391,1.845,1212.0
ISR,2006,2.007,0.347,3.573,1.188,2.085,1200.0
ISR,2013,2.309,0.309,3.757,1.195,1.95,1017.0
ISR,2020,1.962,-0.167,4.594,1.15,1.781,1209.0
ITA,2006,1.929,-0.576,,0.609,2.307,1439.0
ITA,2018,1.707,-0.501,4.99,1.176,1.869,2001.0
JPN,1996,2.434,,2.501,0.68,2.987,1327.0
JPN,2004,2.594,,,1.248,2.656,1977.0
JPN,2007,2.15,,2.933,1.293,2.666,1373.0
JPN,2013,2.623,,3.379,1.076,2.523,1937.0
JPN,2017,2.469,0.3,2.93,0.638,2.69,1688.0
KEN,2013,2.491,0.185,5.577,0.0,2.151,1200.0
KGZ,2005,1.922,,,0.348,2.208,2000.0
KOR,2000,1.902,,3.545,0.655,2.333,1100.0
KOR,2004,1.544,0.14,,0.955,2.323,1500.0
KOR,2008,1.971,0.322,2.697,1.104,2.197,1000.0
KOR,2012,2.0,0.481,3.422,1.177,2.061,1000.0
KOR,2016,1.948,0.602,1.835,1.449,2.247,1199.0
LTU,1997,2.015,,2.462,0.708,2.059,1009.0
LTU,2016,1.919,-0.125,4.187,0.501,2.69,1500.0
LTU,2020,2.243,0.616,4.509,0.78,2.22,1781.0
LVA,2010,1.756,0.345,3.252,1.155,2.26,1005.0
LVA,2011,1.902,0.187,4.462,0.908,2.257,1004.0
LVA,2014,2.289,0.339,3.49,1.044,2.454,1036.0
LVA,2018,2.19,0.271,2.186,0.91,2.307,1011.0
MEX,1997,2.259,,2.486,1.04,1.921,2033.0
MEX,2000,2.769,,0.961,1.312,1.899,1766.0
MEX,2003,1.959,0.264,,1.193,2.478,1991.0
MEX,2006,2.359,,4.956,1.426,2.03,1591.0
MEX,2009,2.134,0.288,2.661,1.308,1.965,2400.0
MEX,2012,1.836,0.029,4.004,1.243,1.976,2400.0
MEX,2015,1.856,0.476,,1.304,2.219,1197.0
MEX,2018,1.649,-0.051,5.812,0.847,2.245,1239.0
MNE,2012,2.645,0.869,3.242,0.953,2.003,967.0
MNE,2016,2.164,1.19,6.004,1.129,2.168,1213.0
NLD,1998,2.893,,1.926,0.468,2.129,2101.0
NLD,2002,2.454,-0.21,,0.726,1.643,1574.0
NLD,2006,2.69,0.213,1.894,0.585,2.13,2359.0
NLD,2010,2.657,0.108,2.435,0.57,2.15,2153.0
NLD,2017,2.969,0.334,2.765,0.45,2.032,1903.0
NLD,2021,2.809,0.508,3.204,0.31,2.072,3485.0
NOR,1997,3.114,,2.818,1.532,1.913,2055.0
NOR,2001,2.745,0.142,,0.84,2.376,2052.0
NOR,2005,2.978,0.202,3.583,0.999,2.117,2012.0
NOR,2009,3.016,0.403,3.442,1.15,2.084,1782.0
NOR,2013,3.158,-0.151,3.482,1.025,2.194,1727.0
NOR,2017,3.026,0.057,3.885,1.538,2.046,1792.0
NZL,1996,2.688,,3.911,0.0,1.986,4080.0
NZL,2002,2.558,0.472,,1.04,2.305,1741.0
NZL,2008,2.596,-0.186,4.54,1.077,1.98,1149.0
NZL,2011,2.637,0.181,4.235,1.029,1.905,1374.0
