code,year,ENP,n_parties_vs
ALB,2005,2.5074867966543204,9
ALB,2017,2.853621270138012,6
ARG,2015,3.14343670270085,6
AUS,1996,2.8418136637154454,5
AUS,2004,2.905075219049722,7
AUS,2007,2.6263728732546903,4
AUS,2013,2.969983706967205,5
AUS,2019,3.207974658677403,6
AUT,2008,4.618375309023485,7
AUT,2013,5.04920561612317,8
AUT,2017,3.907622640677106,6
BEL,1999,5.430537499931435,6
BEL,2003,7.438122123869706,9
BEL,2019,5.919809765429599,7
BGR,2001,3.153830726629796,5
BGR,2014,5.18162724112353,9
BLR,2008,4.920417525430489,7
BRA,2002,7.096748552178354,9
BRA,2006,5.1778626147194915,6
BRA,2010,7.504584834962525,9
BRA,2014,7.667358258037105,9
BRA,2018,8.07163214364528,9
CAN,1997,3.9560374907049534,5
CAN,2004,3.684818302906177,5
CAN,2008,3.7834979115678293,5
CAN,2011,3.365912136884256,5
CAN,2015,3.281765389578245,5
CAN,2019,3.7372117102652926,6
CHE,1999,4.588265684848124,6
CHE,2003,4.366821750652692,5
CHE,2007,4.887488465260741,8
CHE,2011,5.39507355806392,7
CHE,2019,5.663904622338577,9
CHL,2005,5.1604939980412174,6
CHL,2009,5.607509341312,8
CHL,2017,6.8118625782055355,9
CRI,2018,6.151829157304197,9
CZE,1996,4.268798038230734,6
CZE,2002,4.576868791654009,5
CZE,2006,3.6137656319182936,6
CZE,2010,5.817957640673902,8
CZE,2013,6.676021688150489,9
CZE,2017,6.108315988459026,9
CZE,2021,4.157294907542493,6
DEU,1998,3.125763011221561,6
DEU,2002,3.649417039663023,6
DEU,2005,4.124264962543297,6
DEU,2009,5.09966089978798,7
DEU,2013,4.550582925459611,9
DEU,2017,5.702535584087175,8
DEU,2021,5.898594897705715,9
DNK,1998,3.7404808605176796,6
DNK,2001,4.649423533003029,9
DNK,2007,5.407839927584447,9
DNK,2019,5.665056765177337,9
ESP,1996,2.864936583315271,6
ESP,2000,2.516994362002505,5
ESP,2004,2.7133532686580097,8
ESP,2008,2.498045469368692,7
EST,2011,4.349710374887685,6
FIN,2003,5.170608069881646,7
