code,year,ENP,n_parties_vs
FIN,2007,5.601511493539693,8
FIN,2011,6.213551048869779,8
FIN,2015,6.2572010035669905,8
FIN,2019,6.771256514954055,9
FRA,2007,3.4662869654797746,9
GBR,1997,2.8049657825756946,5
GBR,2005,3.0350297834321798,5
GBR,2015,3.642290817867287,6
GBR,2017,2.7010779180105993,7
GBR,2019,3.0004344360387356,7
GRC,2009,3.014949970407325,6
GRC,2012,4.609820981813389,7
GRC,2015,3.987008540326873,8
GRC,2019,3.507409595505776,9
HKG,1998,2.970939186981752,6
HKG,2000,2.985854402984408,5
HKG,2004,3.465761374874895,7
HKG,2008,5.209495475393578,8
HKG,2012,6.622729629925565,9
HKG,2016,7.621538480478531,9
HRV,2007,4.009618152055894,9
HUN,1998,3.9476417234862624,6
HUN,2002,3.6589576952409337,6
HUN,2018,3.1840997853116844,8
IND,2019,3.1393422254400623,9
IRL,2002,3.2789939064776794,6
IRL,2007,3.278863212610882,6
IRL,2011,3.6512909681503523,6
IRL,2016,4.454403562786377,8
ISL,1999,3.4884428419089186,5
ISL,2003,3.810606942521936,5
ISL,2007,4.059495972979994,6
ISL,2009,4.498556689765701,6
ISL,2013,4.611103721559809,6
ISL,2016,6.014623062763134,9
ISL,2017,6.728377538761301,9
ISR,1996,3.7184211826310327,5
ISR,2003,4.17990667594298,6
ISR,2006,5.068532861036679,6
ISR,2013,6.463889408831489,9
ISR,2020,5.1127134522952495,8
ITA,2006,3.604404782287331,5
ITA,2018,4.208617361448497,6
JPN,1996,3.4184836277567907,6
JPN,2017,4.72170625331626,7
KEN,2013,4.795129374837663,9
KOR,2000,2.7728900360818036,6
KOR,2004,3.1618600837427495,5
KOR,2008,3.907357961436194,7
KOR,2012,2.760187019409405,6
KOR,2016,2.7545095453473616,4
LTU,2016,5.806672583448419,8
LTU,2020,6.004303842834135,9
LVA,2010,4.065852390075609,6
LVA,2011,4.878166137572188,7
LVA,2014,5.088041150688426,6
LVA,2018,7.188688586522201,9
MEX,1997,3.275401059794369,5
MEX,2000,2.8135509740157225,4
MEX,2003,3.715246936302716,9
MEX,2006,6.4015380685590255,8
MEX,2009,3.7375116080735333,8
MEX,2012,4.258094079430389,7
MEX,2015,5.332946207599562,9
MEX,2018,4.337841407719925,9
MNE,2012,3.2933585567844763,9
MNE,2016,3.8547459718400705,9
NLD,1998,4.361973773235063,6
NLD,2002,5.768725649783891,9
NLD,2006,5.4631242994419615,9
NLD,2010,6.652714656720073,9
NLD,2017,6.978578981210632,9
NLD,2021,6.520237203021334,9
NOR,1997,4.3601206351811586,6
NOR,2001,5.547876272776408,7
NOR,2005,4.917593110456647,8
NOR,2009,4.428791577573601,8
NOR,2013,4.706293332017883,9
NOR,2017,5.345152443083475,9
NZL,1996,3.688826275630876,6
NZL,2002,3.873796354479609,8
NZL,2008,2.921076853754761,8
NZL,2011,3.1078257563388854,9
NZL,2014,3.2191681776488728,9
NZL,2017,2.856942936996977,8
NZL,2020,2.909613157645935,8
PER,2000,3.2469179643835733,6
PER,2001,4.067452708697022,6
PER,2006,5.354976867928549,7
PER,2011,5.0875385667254625,6
PER,2016,4.888382335323569,9
PER,2021,8.287387198248865,9
PHL,2010,2.653103697688859,4
PHL,2016,3.5201508409490194,8
POL,1997,3.9006331926238618,6
POL,2001,5.017118625288823,9
POL,2005,5.314737479594993,8
POL,2007,3.04501465984984,4
POL,2011,3.676814456662673,8
POL,2019,3.401414101001591,9
PRT,2002,2.9946453951500054,6
PRT,2005,2.998897972066939,5
PRT,2009,3.5876932200376657,5
PRT,2015,3.1901225146606613,7
PRT,2019,3.683767522178671,9
ROU,1996,3.940423741398941,6
ROU,2004,5.211213659961839,8
ROU,2012,2.3194277880557603,5
ROU,2016,3.4868535330030306,9
RUS,1999,4.5445004111131855,6
SRB,2012,5.203756329677242,8
SVK,2010,4.782676273999855,8
SVK,2016,6.242005299276291,9
SVK,2020,6.0625679495499005,9
SVN,1996,4.6871452958417885,6
SVN,2004,4.71163971875508,7
SVN,2008,4.534580775583659,8
SVN,2011,4.911433992672782,8
SWE,1998,3.9576147218107867,6
SWE,2002,4.235325538586184,7
SWE,2006,4.409218508888847,8
SWE,2014,5.304470088249887,9
SWE,2018,5.664585808592703,9
THA,2001,2.96627830719531,5
THA,2007,2.7413090357591408,7
THA,2011,2.6059864715604055,9
THA,2019,5.291128867984211,9
TUN,2019,4.511127924931832,6
TUR,2011,2.569612118915262,8
TUR,2015,3.486117648435454,6
TUR,2018,3.672528079128547,6
TWN,1996,2.447950276806032,3
TWN,2001,3.5282137805272926,5
TWN,2012,2.0917232707378903,4
TWN,2016,2.393924782144428,7
TWN,2020,2.197515534875354,6
UKR,1998,3.930174357521456,6
URY,2009,2.74578835113502,5
URY,2019,3.5204249863131425,9
USA,1996,2.0249260134687015,3
USA,2004,2.0023762776643474,3
USA,2008,1.975539223474375,2
USA,2012,1.999629464784903,2
USA,2016,2.069388260757564,4
USA,2020,2.027455390139959,3
ZAF,2009,2.0413205391128533,8
ZAF,2014,2.1716935123193744,9
