code,year,AF_raw,cross_prob,AF_norm,fptp,ENP,top2
AUS,1996,0.1640020351806733,0.029407261480672457,5.576923076923077,0.0,2.8418136637154445,0.8232161874334398
AUS,2004,0.3940352194469828,0.06604194647735226,5.966438611589214,0.0,2.905075219049722,0.816793893129771
AUS,2013,0.47589137945472726,0.07421682659905537,6.412176338738584,0.0,2.9699837069672057,0.7985387342860212
AUS,2019,0.9254686222002012,0.16344583606397634,5.662234318639676,0.0,3.207974658677402,0.7656967840735069
AUT,2008,1.9111695268110471,0.2991748947185734,6.388134701639448,0.0,4.618375309023485,0.565439672801636
AUT,2013,1.0915090673516346,0.15852553460932287,6.885383291982559,0.0,5.049205616123169,0.5132841701181938
AUT,2017,2.1205254889904683,0.31305314430188386,6.773691712055127,0.0,3.9076226406771077,0.596360290358859
BGR,2014,0.4737078242998749,0.06657445653756128,7.115459125567313,0.0,5.1816272411235325,0.507978442354433
BRA,2002,0.16006610166703816,0.03806223298433509,4.205378642207226,0.0,7.096748552178354,0.3775981524249423
BRA,2006,0.3605361244812369,0.0498046875,7.238999832721306,0.0,5.1778626147194915,0.4625
CAN,2011,0.4842078376510899,0.090225908902295,5.366616347145199,1.0,3.365912136884256,0.7090395480225988
CAN,2015,2.0616575855448476,0.3460152286843132,5.958285689864245,1.0,3.281765389578245,0.7195564516129032
CAN,2019,2.1305101320577435,0.3331668524396863,6.394724194368745,1.0,3.7372117102652918,0.6797662232970576
CHE,1999,0.07921128543845439,0.012877908368828475,6.150943396226415,0.0,4.588265684848124,0.5108077360637089
CHL,2005,0.3083303680014583,0.08851215513585953,3.4834805177683705,0.0,5.160493998041216,0.4908366533864542
CHL,2009,1.994394402249772,0.3312055857315744,6.0216206735901165,0.0,5.607509341312,0.47691143073429226
CHL,2017,1.2453917853077685,0.15512184945577917,8.028474323101687,0.0,6.8118625782055355,0.4325950582511842
CZE,1996,1.4191371177217245,0.20426130648179663,6.947655149009806,0.0,4.268798038230735,0.6299212598425197
CZE,2002,0.9981569097006453,0.16922226149087446,5.898496456120652,0.0,4.576868791654009,0.5374557609123083
CZE,2006,0.3440310039548391,0.0535329784398715,6.426524620543137,0.0,3.6137656319182923,0.7043279234290469
CZE,2010,2.192058478792345,0.29106857007013415,7.531072414531599,0.0,5.817957640673902,0.4582385440363991
CZE,2013,2.457159015644962,0.351047562881045,6.9995045556763715,0.0,6.676021688150489,0.4193375495765891
CZE,2017,0.923648862167035,0.12551711084442993,7.3587485877669385,0.0,6.108315988459025,0.43695327501600173
CZE,2021,0.7302751804491764,0.11512578104582524,6.343281008087094,0.0,4.157294907542493,0.6214778771076157
DEU,1998,1.838734807309997,0.32011127105865866,5.744048940323188,0.0,3.125763011221561,0.7741607324516786
DEU,2002,0.38257882102940066,0.07327027314273568,5.221473929599116,0.0,3.649417039663023,0.7010309278350515
DEU,2005,2.3824744619868237,0.41045247395833334,5.804507496350669,0.0,4.124264962543297,0.6458333333333334
DEU,2009,1.4826004662554964,0.2572568219630912,5.763114287667777,0.0,5.09966089978798,0.5269222711083176
DEU,2013,0.9654242110526011,0.191521293145036,5.04081919664933,0.0,4.550582925459611,0.6155269922879177
DEU,2017,1.1428274021447073,0.2157666239697608,5.296590274800203,0.0,5.702535584087177,0.49234454744297473
DEU,2021,0.2341209708258193,0.03923133772284081,5.967702974591971,0.0,5.898594897705715,0.4692526017029328
DNK,1998,0.17551722631421113,0.03728479014018999,4.707475237335927,0.0,3.7404808605176796,0.6799091940976163
DNK,2001,0.43496191651719224,0.06984066058937906,6.227918133170387,0.0,4.649423533003029,0.6060301507537689
DNK,2007,0.18207256474934974,0.04460353319779183,4.082021124693402,0.0,5.407839927584447,0.5176376536424503
DNK,2019,0.42501951807604643,0.07720173342618265,5.505310557339154,0.0,5.665056765177337,0.5286831812255541
ESP,1996,2.269719380743926,0.31075845182471373,7.303805793266672,0.0,2.864936583315271,0.816916488222698
ESP,2000,1.842052354617225,0.2851560570222949,6.459804409741871,0.0,2.516994362002505,0.8770581778265643
ESP,2008,0.23764182658375657,0.03563543207346814,6.668694968923624,0.0,2.4980454693686913,0.8903246139300347
EST,2011,0.7197269458711844,0.1062183282131069,6.775920483583483,0.0,4.349710374887686,0.5440251572327044
FIN,2003,0.628747917000509,0.10831830675233281,5.804632068687392,0.0,5.170608069881645,0.5146443514644352
FIN,2007,1.0402277832642388,0.18494214159639347,5.624611969371313,0.0,5.601511493539693,0.46499948754740184
FIN,2011,0.6871582710681745,0.14163603886691167,4.8515778651072194,0.0,6.2135510488697765,0.4026503567787971
FIN,2015,0.3009741267061537,0.05225408909911734,5.7598196025435575,0.0,6.257201003566993,0.4029116259995899
FIN,2019,0.32629393777779264,0.04809841504107395,6.783881287962438,0.0,6.771256514954055,0.3705145743449437
FRA,2007,0.670819950083804,0.10203691737174717,6.574286712718217,0.0,3.4662869654797746,0.7213243546576881
GBR,2015,0.8477194703089999,0.13112985189765816,6.464732919630021,1.0,3.642290817867287,0.6994624201237447
GBR,2017,0.21735325722086368,0.0383860602562435,5.6622965672938825,1.0,2.7010779180105993,0.8514112903225806
GBR,2019,0.2408581883120905,0.034602071521024916,6.960802568301156,1.0,3.0004344360387356,0.786140617096611
GRC,2009,0.7837261350318757,0.11286741419066365,6.94377682568283,0.0,3.014949970407325,0.7922210849539406
GRC,2012,4.046907288617177,0.5077615049337454,7.970094718277694,0.0,4.609820981813389,0.6015317519412828
GRC,2015,0.5584308243124929,0.0787945453368232,7.087176173494847,0.0,3.9870085403268747,0.6763310490247759
GRC,2019,0.4434661678324197,0.0658919160942327,6.730205981538225,0.0,3.507409595505776,0.7316523165231652
HKG,2008,0.8077788971598924,0.12828524687685902,6.296740403323845,0.0,5.209495475393578,0.5280487804878049
HKG,2012,1.2264476237898052,0.16402809431728718,7.477058298424357,0.0,6.622729629925565,0.4170719844357977
HKG,2016,0.29448289598825117,0.04445909143130894,6.623682277521099,0.0,7.621538480478531,0.3559138328139818
HRV,2007,0.18189301173231237,0.025030292781266634,7.266915066548728,0.0,4.009618152055895,0.6798104074223477
HUN,1998,0.22270954152913902,0.0588556270653235,3.783997429539831,0.0,3.9476417234862633,0.6598311218335343
HUN,2002,0.09559975237822048,0.012006956080518423,7.962030654324904,0.0,3.6589576952409337,0.6021879301601101
HUN,2018,0.38073959761440207,0.0448300886830339,8.492947678653474,0.0,3.1840997853116844,0.696321206562723
IND,2019,1.4422087943649398,0.1930144891623578,7.472023476702821,1.0,3.1393422254400623,0.7498018494055482
IRL,2002,0.7291963482131412,0.13273702815301097,5.493541315182747,0.0,3.2789939064776794,0.7191011235955056
IRL,2011,2.0857609890342292,0.3133070471864668,6.657242496664541,0.0,3.6512909681503523,0.6350748828169659
IRL,2016,1.8640356047350164,0.27649614790605404,6.74163317952757,0.0,4.454403562786375,0.6067648132376202
ISL,2003,0.23248895978060546,0.05222742588558038,4.451472685824901,0.0,3.8106069425219373,0.6598264420622766
ISL,2007,0.19958164653085328,0.035259,5.660445461608477,0.0,4.059495972979994,0.634
ISL,2009,1.6003076634646574,0.2545666352238177,6.286399873485579,0.0,4.498556689765701,0.5382293762575452
ISL,2013,1.8089867309374796,0.3018108581301001,5.993776175400849,0.0,4.61110372155981,0.5797052154195012
ISL,2016,1.7394135988796107,0.28695436983914546,6.061638301081293,0.0,6.014623062763134,0.45125628140703516
ISL,2017,0.9811912211420611,0.1645369998662387,5.963346979340368,0.0,6.728377538761301,0.4224137931034483
ISR,1996,0.8765857321782001,0.17070590657880755,5.135063863613403,0.0,3.7184211826310327,0.6868556701030928
ISR,2003,2.2010872725572246,0.35179270204471286,6.256773548069415,0.0,4.17990667594298,0.5839659075775736
ISR,2006,0.932371035611614,0.1419447655694308,6.5685482086731435,0.0,5.068532861036679,0.5169385194479297
ISR,2013,0.9463646541880432,0.1505706205845703,6.285187977003143,0.0,6.463889408831489,0.4417213883677298
ISR,2020,0.8553645084276483,0.1459716339587669,5.859799505082378,0.0,5.112713452295251,0.5650201612903225
ITA,2006,3.0333203534055757,0.48228147128610094,6.289522890681689,0.0,3.60440478228733,0.687937937937938
ITA,2018,0.7897988336546634,0.11790119842269603,6.69881938623812,0.0,4.208617361448499,0.5682094333370153
JPN,2017,0.9441525990617894,0.15379331231225518,6.139100490565048,0.0,4.72170625331626,0.5386563988246023
KEN,2013,0.19447562020626236,0.04126349818133916,4.713018255301758,1.0,4.795129374837663,0.5844679778113969
KOR,2004,0.3914050839390592,0.04946327983845254,7.913043478260868,0.0,3.161860083742751,0.7639175257731958
KOR,2008,0.1004486504154441,0.01850387079535136,5.428520957932723,0.0,3.9073579614361957,0.6588495109895888
KOR,2012,0.6255949832624838,0.09392987558751519,6.660234343434343,0.0,2.760187019409406,0.8329129886506936
KOR,2016,2.0646359443867928,0.33635769707313357,6.138215246306325,0.0,2.7545095453473616,0.8203201568114995
LTU,2016,0.3088555965395912,0.047656612840136586,6.480854977579771,0.0,5.806672583448419,0.489787049109083
LTU,2020,0.2018234074473214,0.029671610683930906,6.801902653590081,0.0,6.0043038428341315,0.485546572156385
LVA,2010,0.2724661689396979,0.039952258178868216,6.819793958074998,0.0,4.065852390075609,0.6110704960835509
LVA,2011,0.8069154544935588,0.1149157322204692,7.021801444431193,0.0,4.878166137572189,0.5054978933305929
LVA,2014,0.7253573101946714,0.1031512720171626,7.031976397479465,0.0,5.088041150688426,0.47471434617012276
LVA,2018,0.9227192201586132,0.11523595460243675,8.007216353107744,0.0,7.188688586522202,0.3656063193851409
MEX,2003,0.7127297999923152,0.12232960935064492,5.8263065154516305,0.0,3.715246936302716,0.6554325343715781
MEX,2012,0.7013709923621563,0.11766105659528349,5.960944195619871,0.0,4.258094079430389,0.6088879528222408
MEX,2015,0.19332927012244244,0.04301534454648379,4.494425702286878,0.0,5.332946207599563,0.5434570841000108
MEX,2018,2.5571750826072805,0.33591222156562356,7.612628890633301,0.0,4.337841407719925,0.5809032529739973
NLD,1998,0.44793879731503417,0.10545715466378394,4.247590395769185,0.0,4.361973773235063,0.5843307943416758
NLD,2002,1.4938719761305705,0.31501993312380566,4.7421506357296614,0.0,5.768725649783891,0.45992425017913807
NLD,2006,0.9329923123405763,0.22270707522764613,4.18932497491107,0.0,5.4631242994419615,0.49210770659238623
NLD,2010,0.7439767068392285,0.15714576054823973,4.7343097532105975,0.0,6.652714656720075,0.4110655737704918
NLD,2017,1.1464877101720758,0.19192892906536266,5.973501315070809,0.0,6.978578981210634,0.38397048960429236
NLD,2021,0.45420848819116993,0.07813397172271908,5.8132010721669145,0.0,6.520237203021334,0.44747695293546824
NOR,1997,1.645532003969406,0.3021901365041572,5.445353124378924,0.0,4.3601206351811586,0.5455531453362256
NOR,2001,2.5080747117901314,0.4341132667058593,5.777466168730382,0.0,5.547876272776408,0.4814814814814815
