code,year,in_letter,n_sup,target,rating,rater_lr,target_lr,target_vs,distance,target_extr,target_bloc,fptp,tier,micro
ARG,2015,6,144.0,0,2.4791666666666665,5.670843776106934,5.281840591618734,37.4,0.3890031844881996,0.2818405916187343,center,0.0,False,0
ARG,2015,7,42.0,0,2.238095238095238,4.912521440823328,5.281840591618734,37.4,0.36931915079540634,0.2818405916187343,center,0.0,False,0
AUS,1996,3,52.0,0,4.423076923076923,4.687640449438202,4.327659574468085,38.699999999999996,0.359980874970117,0.6723404255319148,center,1.0,True,0
AUS,2004,2,83.0,0,2.855421686746988,3.2125,7.03542234332425,40.470000000000006,3.8229223433242505,2.0354223433242504,right,1.0,True,0
AUS,2013,2,234.0,0,2.1326482420592177,2.985480833246824,6.49568265614546,40.940000000000005,3.5102018228986362,1.4956826561454601,right,1.0,True,0
AUS,2019,2,239.0,0,2.6491965990072632,3.0045632024512043,6.424511062536049,36.659999999999975,3.4199478600848447,1.424511062536049,right,1.0,True,0
AUS,2019,3,60.0,0,7.727891333511573,6.175591801910037,6.424511062536049,36.659999999999975,0.24891926062601222,1.424511062536049,right,1.0,True,0
AUS,2019,5,39.0,0,5.052819941293735,6.396461279473314,6.424511062536049,36.659999999999975,0.028049783062734868,1.424511062536049,right,1.0,True,0
AUT,2008,1,277.0,0,3.907331096979716,5.694807606712212,2.993937037431632,29.300000000000008,2.70087056928058,2.006062962568368,left,0.0,True,0
AUT,2008,3,47.0,0,3.923636013994419,7.366314487312008,2.993937037431632,29.300000000000008,4.372377449880376,2.006062962568368,left,0.0,True,0
AUT,2008,4,69.0,0,5.07019209005636,2.5650281672048383,2.993937037431632,29.300000000000008,0.4289088702267936,2.006062962568368,left,0.0,True,0
AUT,2013,2,61.0,0,3.3729946120008685,7.210469541395964,3.8447691152249335,26.819999999999997,3.365700426171031,1.1552308847750665,left,0.0,True,0
AUT,2013,3,86.0,0,4.886230753707453,3.1685284120219372,3.8447691152249335,26.819999999999997,0.6762407032029962,1.1552308847750665,left,0.0,True,0
