code,year,coldness_all,coldness_mid
ALB,2005,7.398667960931864,6.873523502602806
ALB,2017,7.845580471816417,7.845580471816417
ARG,2015,6.290571018988884,6.290571018988884
AUS,1996,6.373533155426807,6.373533155426807
AUS,2004,6.320232771194135,6.320232771194135
AUS,2007,6.4575341251145755,6.4575341251145755
AUS,2013,6.925410730506019,6.925410730506019
AUS,2019,6.413955697095869,6.413955697095869
AUT,2008,6.765270554095149,6.765270554095149
AUT,2013,6.705254100391638,6.705254100391638
AUT,2017,6.374317276155006,6.374317276155006
BEL,1999,5.701635939702782,5.701635939702782
BEL,2003,5.492624752754073,
BEL,2019,6.3870159835483395,5.987673616478203
BGR,2001,6.9966445132722,6.593095831417557
BGR,2014,8.102543601317146,8.404789954333502
BLR,2001,,6.882692307692308
BLR,2008,,6.086019160455218
BRA,2002,6.032087951220982,6.032087951220982
BRA,2006,6.649162840956139,6.649162840956139
BRA,2010,6.226882985497264,6.226882985497264
BRA,2014,6.494908148380891,6.494908148380891
BRA,2018,7.1159165962338715,7.1159165962338715
CAN,1997,7.026664004562921,7.026664004562921
CAN,2004,6.932605915196859,6.932605915196859
CAN,2008,6.758487776399164,6.758487776399164
CAN,2011,6.08611013901508,6.08611013901508
CAN,2015,5.848100603293916,5.848100603293916
CAN,2019,6.235513194241873,6.235513194241873
CHE,1999,5.743761946900897,5.743761946900897
CHE,2003,6.331099470267827,5.456975857355238
CHE,2007,6.072071097606058,4.9772981273742305
CHE,2011,6.013870780717733,5.0144760757347635
CHE,2019,,
CHL,1999,6.434108527131783,
CHL,2005,6.149624747618729,4.267758509881093
CHL,2009,6.077160285644707,4.050984305135063
CHL,2017,7.39743148806196,7.543218783545056
CRI,2018,6.596496492993416,6.596496492993416
CZE,1996,6.729322552378685,6.135486640828418
CZE,2002,6.573395998847845,6.581560283687944
CZE,2006,6.931619225855096,6.202707772927907
CZE,2010,6.789212346013477,6.768845661338568
CZE,2013,6.666353288569639,5.8660098554856654
CZE,2017,6.784341873494158,6.674738812864409
CZE,2021,6.965343595253316,6.965343595253316
DEU,1998,6.065231510800384,6.065231510800384
DEU,2002,6.1084519801943555,6.1084519801943555
DEU,2005,6.288238495091052,5.992293127890777
DEU,2009,5.780216911426569,5.420010681902827
DEU,2013,5.578518531212252,5.360597931310118
DEU,2017,5.306153472425321,4.234099198797293
DEU,2021,5.792634784967401,4.947352204089929
DNK,1998,5.990924936540632,5.77733907634171
DNK,2001,5.897048893710011,5.606594879345467
DNK,2007,5.644923673389596,5.565316721713832
DNK,2019,5.736701637836156,5.5307851819477785
ESP,1996,7.434733403521456,7.434733403521456
ESP,2000,6.781021941628197,6.781021941628197
ESP,2004,7.250155728553288,7.448705645864429
ESP,2008,7.642235887307309,7.776108537067574
EST,2011,6.255070019429317,6.255070019429317
FIN,2003,5.60557066664204,5.60557066664204
FIN,2007,5.290634512636143,5.0925233457698855
FIN,2011,5.696580416243872,5.810602262949587
FIN,2015,5.718584007943891,5.718584007943891
FIN,2019,6.010820029093825,5.965273991585363
FRA,2002,6.774241441608375,6.774241441608375
FRA,2007,6.622626610823943,6.4186328481836945
FRA,2012,6.574989845577067,6.208960282434314
FRA,2017,6.938510209520789,7.979653512719137
GBR,1997,6.4993153136476,6.4993153136476
GBR,2005,6.688430522436714,6.688430522436714
GBR,2015,6.799130413460205,6.799130413460205
GBR,2017,7.11785110181034,7.11785110181034
GBR,2019,7.128073326587475,7.128073326587475
GRC,2009,6.587098133836337,6.440116371726303
GRC,2012,8.01066145533918,7.9714775166229055
GRC,2015,7.7993248862401074,7.458346602850872
GRC,2019,8.386711158803463,8.405568778446419
HKG,1998,4.914556528920001,4.914556528920001
HKG,2000,,5.319088528243822
HKG,2004,5.76634752512104,5.76634752512104
HKG,2008,6.080454262628606,6.080454262628606
HKG,2012,6.366914650998002,6.366914650998002
HKG,2016,6.638982349756271,6.638982349756271
HRV,2007,6.716630074558591,6.716630074558591
HUN,1998,6.48312052644275,6.48312052644275
HUN,2002,6.623826204025302,7.356931156883169
HUN,2018,8.214813721982262,7.439588596737469
IND,2019,7.770978109778573,7.747368968028734
IRL,2002,5.730026800400936,5.730026800400936
IRL,2007,,
IRL,2011,6.457578655542521,6.3856046667618
IRL,2016,6.45018661150141,6.45018661150141
ISL,1999,5.8270661780477555,5.748536386758131
ISL,2003,5.669435017843267,5.248121413838898
ISL,2007,5.757352712384816,5.928266257482385
ISL,2009,6.224500767664921,5.542367581748082
ISL,2013,5.673230252266435,5.642864697648751
ISL,2016,6.047478957975745,5.635027246499751
ISL,2017,6.03752113195784,5.755984528625365
ISR,1996,6.232793140368461,6.365096621914182
ISR,2003,6.331487437150649,6.263694213834949
ISR,2006,6.038905923804277,6.038905923804277
ISR,2013,5.7156693363296185,5.7156693363296185
ISR,2020,6.858488073274922,6.254442051578522
ITA,2006,6.229146894182891,6.229146894182891
ITA,2018,7.090806672405389,7.090806672405389
JPN,1996,5.862504802954225,
JPN,2004,6.61890076754386,
JPN,2007,6.864225781845919,6.864225781845919
JPN,2013,6.613569147727599,6.613569147727599
JPN,2017,6.375684285444807,6.375684285444807
KEN,2013,6.664221123246088,7.65941901276044
KGZ,2005,5.7113412228796845,5.7113412228796845
KOR,2000,6.359581030430123,6.359581030430123
KOR,2004,6.733073689635207,6.733073689635207
KOR,2008,5.991672654206305,5.991672654206305
KOR,2012,6.758532703091751,6.758532703091751
KOR,2016,5.797380680154138,5.797380680154138
LTU,1997,5.751155175601556,5.751155175601556
LTU,2016,6.218835298563167,6.218835298563167
LTU,2020,6.910199084061505,6.910199084061505
LVA,2010,6.598570003464692,6.598570003464692
LVA,2011,6.770261725922275,6.770261725922275
LVA,2014,6.266085724798522,6.266085724798522
LVA,2018,6.824129095584278,6.824129095584278
MEX,1997,6.122072696506091,6.122072696506091
MEX,2000,5.149408156129884,5.149408156129884
MEX,2003,6.3088890462651745,6.3088890462651745
MEX,2006,6.232559799299734,6.232559799299734
