code,year,coldness_all,coldness_mid
MEX,2009,5.184371633579046,5.184371633579046
MEX,2012,5.765798264577517,5.765798264577517
MEX,2015,5.663019473797577,5.663019473797577
MEX,2018,7.095429710080917,7.095429710080917
MNE,2012,7.080660270917731,7.080660270917731
MNE,2016,7.296982937377157,7.296982937377157
NLD,1998,4.8362036415179634,4.8362036415179634
NLD,2002,5.156974929207996,5.156974929207996
NLD,2006,4.731954746682673,4.731954746682673
NLD,2010,5.1578654591957145,5.1578654591957145
NLD,2017,5.179511900199793,4.561347333335711
NLD,2021,5.446787349905314,4.158576109339519
NOR,1997,5.712643427425959,5.33812145600988
NOR,2001,5.6737144830819,5.2822784755173515
NOR,2005,5.666847271695146,5.1208275399867995
NOR,2009,5.642033403871814,5.120998780175556
NOR,2013,5.496271206773398,5.00840067901017
NOR,2017,6.074653423088194,5.929932527113265
NZL,1996,6.056551424442125,6.065787998089748
NZL,2002,6.3068920600586695,6.3068920600586695
NZL,2008,6.119454637661743,6.119454637661743
NZL,2011,6.345356422154288,6.345356422154288
NZL,2014,6.405971831771584,6.405971831771584
NZL,2017,5.913064857016694,5.913064857016694
NZL,2020,5.845907306371475,5.845907306371475
PER,2000,6.937881489414927,6.937881489414927
PER,2001,6.887022961149863,6.887022961149863
PER,2006,7.126344299560257,7.126344299560257
PER,2011,6.815758446255641,6.815758446255641
PER,2016,6.794208974804077,6.794208974804077
PER,2021,7.114290334684798,7.114290334684798
PHL,2004,5.257676448543516,5.257676448543516
PHL,2010,5.044224277098207,5.044224277098207
PHL,2016,4.6186476377120576,4.6186476377120576
POL,1997,6.42581774376552,6.31241187846869
POL,2001,6.632966750701691,6.5036461018539695
POL,2005,6.472955554608024,6.127685126921364
POL,2007,6.907531864263779,6.95828317614419
POL,2011,7.38964650979389,7.38964650979389
POL,2019,,7.413072997456835
PRT,2002,6.521095927135063,6.249306552781385
PRT,2005,6.476447899174242,6.602061128341671
PRT,2009,6.512039264600084,6.512039264600084
PRT,2015,7.137714945698036,7.416290267096668
PRT,2019,6.285892780293823,6.327193597640793
ROU,1996,5.715568941843991,5.715568941843991
ROU,2004,5.728109595007135,5.728109595007135
ROU,2009,6.500480078449396,6.500480078449396
ROU,2012,6.383329622704065,6.383329622704065
ROU,2014,,7.717204713110613
ROU,2016,6.7270521413572615,6.7270521413572615
RUS,1999,6.40821014818598,6.733161496338175
RUS,2000,6.83470044229996,
RUS,2004,7.43493947858473,7.43493947858473
SLV,2019,6.589887719855888,6.589887719855888
SRB,2012,6.682348875735449,6.682348875735449
SVK,2010,6.594028387278909,6.594028387278909
SVK,2016,6.782006871277808,6.782006871277808
SVK,2020,7.334103757823754,6.530425967827362
SVN,1996,6.252724262570176,6.252724262570176
SVN,2004,6.632696675864986,6.632696675864986
SVN,2008,6.440156609926099,6.440156609926099
SVN,2011,7.135218501230661,7.135218501230661
SWE,1998,6.026863853817899,6.0291269267207
SWE,2002,5.645176328237279,5.465097263344516
SWE,2006,5.901598699697861,6.079209222429159
SWE,2014,5.946022909384112,6.185250161315152
SWE,2018,6.43917882439724,5.635558262987423
THA,2001,4.94009000978143,
THA,2007,7.094894620901795,7.094894620901795
THA,2011,7.357862694951372,7.357862694951372
THA,2019,6.095052055798796,6.095052055798796
TUN,2019,,
TUR,2011,8.12511525579365,7.8774712528376565
TUR,2015,8.559048911100053,8.187663317761315
TUR,2018,7.961651403146362,7.476610005588877
TWN,1996,6.5074189286013615,6.5074189286013615
TWN,2001,6.142750331754717,6.142750331754717
TWN,2004,6.718752176196305,6.718752176196305
TWN,2008,7.005843410434756,7.005843410434756
TWN,2012,6.322335376747752,
TWN,2016,6.718228247671091,
TWN,2020,6.9565259706342975,
UKR,1998,7.2208924311670435,7.107895013842654
URY,2009,7.575442978006654,7.575442978006654
URY,2019,7.188349347753384,7.188349347753384
USA,1996,6.285969374242489,
USA,2004,6.768773924115398,6.768773924115398
USA,2008,6.356353591160222,6.356353591160222
USA,2012,6.986178406910919,6.986178406910919
USA,2016,7.258818714581272,7.258818714581272
USA,2020,8.105542608620972,8.105542608620972
ZAF,2009,6.81059310937332,6.81059310937332
ZAF,2014,7.044799357233353,7.044799357233353
