,C0,C1,C2,C3,C4,C5,C6,C8,C9
C0,0.0,8.94,16.77,14.06,0.4,34.48,25.35,0.0,0.0
C1,7.09,0.0,47.79,0.0,19.19,1.91,11.56,10.92,1.55
C2,9.1,42.58,0.0,0.0,0.69,33.09,10.53,3.99,0.01
C3,61.66,0.0,0.04,0.0,0.0,34.51,3.8,0.0,0.0
C4,1.42,52.14,2.71,0.0,0.0,0.04,23.14,7.0,13.55
C5,27.36,1.95,51.03,8.43,0.01,0.0,11.22,0.0,0.0
C6,37.5,17.91,20.81,1.85,9.28,12.66,0.0,0.0,0.0
C8,0.0,63.37,21.98,0.0,5.41,0.0,0.0,0.0,9.25
C9,0.0,9.82,0.22,0.0,55.45,0.0,0.04,34.48,0.0
