,C0,C1,C2,C3,C4,C5,C6,C8,C9
C0,0.0,1.6595,1.8713,1.4781,1.8861,1.6021,1.1215,2.807,2.6336
C1,1.6595,0.0,1.3662,2.4835,0.9656,1.9129,1.6125,1.4049,1.3629
C2,1.8713,1.3662,0.0,2.2018,2.0252,1.5721,2.2074,1.3665,2.043
C3,1.4781,2.4835,2.2018,0.0,2.9152,0.9938,2.0076,3.1616,3.1655
C4,1.8861,0.9656,2.0252,2.9152,0.0,2.593,1.3093,1.9879,1.2006
C5,1.6021,1.9129,1.5721,0.9938,2.593,0.0,2.1406,2.3853,2.6937
C6,1.1215,1.6125,2.2074,2.0076,1.3093,2.1406,0.0,2.7379,2.0124
C8,2.807,1.4049,1.3665,3.1616,1.9879,2.3853,2.7379,0.0,1.4035
C9,2.6336,1.3629,2.043,3.1655,1.2006,2.6937,2.0124,1.4035,0.0
