,C0,C1,C2,C3,C4,C5,C6,C8,C9
C0,0.0,1.7246,3.2328,2.7108,0.0773,6.6472,4.8873,0.0,0.0
C1,1.1175,0.0,7.5382,0.0,3.026,0.3012,1.8231,1.7229,0.2438
C2,1.3423,6.2797,0.0,0.0,0.1019,4.8795,1.5535,0.5889,0.0008
C3,5.3953,0.0,0.0031,0.0,0.0,3.0196,0.3324,0.0,0.0
C4,0.1384,5.0747,0.2638,0.0,0.0,0.0041,2.2522,0.6809,1.3187
C5,2.8641,0.2038,5.3414,0.8819,0.0014,0.0,1.1742,0.0,0.0
C6,4.0868,1.9518,2.2674,0.2014,1.0111,1.3794,0.0,0.0,0.0
C8,0.0,3.6946,1.2813,0.0,0.3152,0.0,0.0,0.0,0.5393
C9,0.0,0.444,0.0101,0.0,2.5075,0.0,0.0016,1.5593,0.0
