,C0,C1,C2,C3,C4,C5,C6,C8,C9
C0,,0.4752,0.6573,0.7417,0.2446,0.8262,0.7113,0.1904,0.1369
C1,0.4752,,0.8722,0.2038,0.7817,0.583,0.6458,0.6956,0.5305
C2,0.6573,0.8722,,0.4646,0.5148,0.8697,0.6516,0.6034,0.396
C3,0.7417,0.2038,0.4646,,0.1579,0.6777,0.4045,0.2138,0.1689
C4,0.2446,0.7817,0.5148,0.1579,,0.324,0.6101,0.52,0.7068
C5,0.8262,0.583,0.8697,0.6777,0.324,,0.6108,0.3375,0.2345
C6,0.7113,0.6458,0.6516,0.4045,0.6101,0.6108,,0.265,0.3146
C8,0.1904,0.6956,0.6034,0.2138,0.52,0.3375,0.265,,0.6577
C9,0.1369,0.5305,0.396,0.1689,0.7068,0.2345,0.3146,0.6577,
