factor,obs_eigen
1,10.3662
2,3.4571
3,2.1224
4,1.6087
5,1.402
6,1.317
7,1.1542
8,1.0241
9,0.8613
10,0.8466
11,0.76
12,0.7294
13,0.704
14,0.678
15,0.6469
16,0.6055
17,0.5463
18,0.5328
19,0.4703
20,0.446
21,0.4296
22,0.3751
23,0.366
24,0.3472
25,0.3274
26,0.2864
27,0.2609
28,0.2352
29,0.2321
30,0.2274
31,0.2017
32,0.1565
33,0.1481
34,0.1275
