,F1,F2,h2
relig_church,-0.00506022643269401,0.38986747706559755,0.14929059370571485
econ_income,0.3409908242484891,-0.053463871798930675,0.09389000502328486
imm_legalstatus,0.6292303443823952,0.096956665527943,0.48980624800205935
imm_border,0.3245003933624567,0.3892036598791397,0.4316567642630811
gun_concealcarry,0.5026950206126277,0.21281715940401164,0.44612621819650417
abortion_rapeincest,0.05161680381137854,0.5814530502649643,0.3823090928074187
race_problemsrare,0.6590691359463772,0.08821744514329767,0.5226599211525698
race_whiteadv,0.9458108367201167,-0.07221099794247808,0.8052038248476331
race_workedup,0.7509013779719835,0.12294984931841772,0.7068048706488127
race_slavery,0.9178869321025904,-0.05559547972974036,0.7749480883499912
