,F1,F2,F3,F4,F5
F1,1.0,0.0525,0.3493,-0.4643,-0.5516
F2,0.0525,1.0,-0.1833,-0.1269,-0.1588
F3,0.3493,-0.1833,1.0,-0.0861,-0.2702
F4,-0.4643,-0.1269,-0.0861,1.0,0.2929
F5,-0.5516,-0.1588,-0.2702,0.2929,1.0
