party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,193,114,66,373,21.61
1,Labor,150,88,36,274,15.87
4,Liberal,123,55,20,198,11.47
3,Nationalist,98,68,29,195,11.3
2,Solidarity,90,53,15,158,9.15
5,Populist,81,51,25,157,9.1
6,Civic Union Party,68,38,20,126,7.3
9,Progressive,64,22,3,89,5.16
7,Order and Opportunity Party,59,16,9,84,4.87
8,DSA,47,18,7,72,4.17
