state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR,first_choice_PRG_dsa,first_choice_DSA_prg,first_choice_DSA_lib,first_choice_LIB_dsa,first_choice_LIB_sd,first_choice_SD_lib,first_choice_SD_sty,first_choice_STY_sd,first_choice_STY_ctr,first_choice_CTR_sty,first_choice_CTR_con,first_choice_CON_ctr,first_choice_CON_ref,first_choice_REF_con,first_choice_REF_nat,first_choice_NAT_ref
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.06016606864866406,0.007771354808043694,0.02775546069269167,0.07322980791712487,0.025929275527881632,0.02586558792989447,0.03726170079300478,0.07639221437429224,0.007671545849023048,0.019007380872444374,0.005153846849540311,0.040812551365022896,0.03307892743069366,0.022630516525678115,0.021551721705948323,0.0204835469842201,0.06605821664733762,0.025892139020998416,0.07212765974351476,0.06336830950296371,0.08553717370292997,0.05556170830523468,0.012955786213448861,0.03475326253407252,0.07898423605533114
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.036983946556804606,0.025773288463816768,0.03142321445663047,0.0634234402243177,0.043762329236700676,0.01508508620103083,0.03400879201994757,0.03317702418426212,0.010838441183387726,0.031407909064328145,0.0042662164658139245,0.023443891476321997,0.08115317596716642,0.002663501323180795,0.06299659644198076,0.026447711210144706,0.031527139483888196,0.011363635855036393,0.08269815281748996,0.017154748485754892,0.14520136447656473,0.04096084143769056,0.07486057081215136,0.018659036813534244,0.050719945342054464
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.055466524285430335,0.013558624552583649,0.031942691432753766,0.07006147899871694,0.04770356527284498,0.04202916437484265,0.032382949917499314,0.03983672963273415,0.046861435918889666,0.026419832361653156,0.010017212950902596,0.046080412114061,0.023778833274328746,0.028957539037421,0.03213697848291293,0.01915198964130386,0.04063805230800097,0.020529095696513712,0.03696716598980506,0.049093037670397376,0.02733053103695197,0.04105897461995061,0.05944164042819227,0.07880715507609427,0.07974838492521502
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.1050898989595449,0.041620065328784484,0.015871802358861917,0.05231841574400047,0.022731393175154355,0.028895248689667145,0.036269213955654155,0.0259585258530925,0.027972331119902095,0.026815529136680484,0.034273845219355656,0.048249647521857335,0.021439132860448684,0.015372735842781166,0.034035192036482295,0.021140845073107893,0.02107822312064519,0.015499011960733559,0.0693725482708014,0.07617570544071935,0.09036075863434598,0.032904045987987414,0.03414646254463175,0.03352762173137012,0.06888179943338964
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.04054866804209955,0.03636282387644394,0.040414173412815016,0.03560017012507397,0.06097169802872255,0.03344306712521694,0.04939196772883044,0.024902691588863525,0.049796580272862885,0.033563150227766035,0.02291908690967302,0.02664048961778317,0.036051574047756677,0.0517380989189264,0.06810836324478019,0.03751037325144397,0.033057208089938166,0.04215494182436195,0.03838588972923503,0.04776419360922139,0.03266380478805284,0.03932742797268842,0.030762206234054516,0.03852496736237388,0.04939638397101558
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.05414662471760792,0.03829216964243686,0.005197769586835511,0.06136540329751817,0.042742697827565096,0.06803349027440195,0.02407120818271845,0.021638181586187927,0.04544191042855274,0.046679110718660224,0.035873295484676264,0.022031258595020097,0.040244137413538786,0.06566443247694373,0.0749986341158308,0.012539004557827667,0.007764010130207385,0.03252299261081136,0.034136257727983184,0.03945809394089882,0.04725092950766686,0.05612249558451504,0.03799523304438268,0.04348563155469188,0.042305026992520485
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.049211201426469495,0.06187085626852724,0.05433765954925747,0.016897149041347925,0.033234078361717746,0.02063288069841634,0.06494116200507224,0.012922619639523247,0.05495404626137471,0.03195530003836622,0.043977145863468424,0.02276352272603092,0.039412279512480435,0.06487321789684823,0.034535918131318885,0.030177184998368384,0.000939734663300555,0.05729200414500648,0.0393674670500416,0.043810648785763975,0.04501111240383886,0.08073259288969957,0.02128701143043231,0.02765577573633128,0.047207430476997554
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.047921393810993904,0.03530389719715433,0.007045560554714363,0.0921818176185584,0.0625652541101321,0.0038431396155511,0.06710122421116281,0.007447761449215581,0.033538352468675356,0.022570647644991892,0.019850253813466168,0.016775130015717284,0.02993992440013479,0.1021504314302994,0.06900919050571042,0.07174222782321896,0.04162790190206951,0.0055813161756807575,0.036332750986371856,0.016220463465443976,0.056282789562426334,0.08473923895754897,0.03684010477548359,0.012063205754598913,0.02132602175067913
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.08609729900490602,0.009095724696893544,0.011919199737175732,0.0,0.14002186329599348,0.0,0.05561161815485426,0.002607450170726084,0.1075643249201685,0.09605602263063204,0.034063279032402666,0.0554196973170035,0.06522269161319484,0.059632142183524535,0.04752981989578101,0.04610433422848446,0.021186472380140313,0.0,0.03385212131455272,0.05156769924010173,0.047598763523717245,0.014263606738564041,0.0,0.014585869921183318,0.0
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.06423603397244472,0.030502481055273492,0.05965057945726406,0.041209559853011585,0.029569931204363072,0.023930611145614573,0.05941628814777248,0.028670269412575205,0.02929407360978867,0.028184724960367526,0.025479532113606505,0.019389014080946718,0.024557945428966627,0.03868475185233869,0.027616440549929715,0.03471607183673409,0.04201740071335607,0.03938470892330492,0.05761041795663261,0.07479236282743992,0.0607055422123735,0.04525928728411766,0.0426074469885465,0.030620154160404152,0.04189437025282686
13,GA,1472.3908250832314,0.1854153116276501,0.16308445993572876,0.17120656454213182,0.0741349891001527,0.08626191909041724,0.096161569256301,0.1181168105539972,0.04985969367961807,0.032859545272296536,0.0228991369417065,0.059976455924687734,0.027700605111364893,0.027457544678167068,0.04889077731662114,0.04099624671714599,0.03472154598640239,0.05822417627669096,0.03108149209776057,0.01828961590459952,0.02142089747328437,0.017823774254279754,0.03451891238764383,0.04077567047184004,0.03666360588179729,0.062158790611398666,0.04643254115196548,0.03970564955019472,0.024616698390825507,0.04712441943492898,0.08588361263410749,0.045812142635486656,0.03601858071136444,0.048004433812147106,0.02238528344176305,0.04331652714353241
15,HI,203.14709000166366,0.17108405849938496,0.23147354641719498,0.11038188953400474,0.03539291021132822,0.15478440131547624,0.1072756776172039,0.05424136985515535,0.09074132814442311,0.024620781399219263,0.020004037006609195,0.025761220253950504,0.05816005274156078,0.014235327117176984,0.011631090823543029,0.07885003291447197,0.07131389220849554,0.05082202410507313,0.08061742810369864,0.014896505410738623,0.0004968378829782845,0.020848130378842717,0.015173462111567884,0.014477146475339969,0.07035958352825555,0.04499617868681934,0.023046946412985814,0.05453452067736536,0.019799608679438467,0.08931588502776633,0.014285890307088558,0.04971333903232592,0.1078874757904968,0.03822831686773762,0.01291267614737931,0.017636428314902856
