,h2,F1,F2,F3,F4
pew_churatd,0.2972337182094827,-0.09180081051748944,-0.09266844306703913,-0.1597908769120819,0.6160519081696182
CC24_302,0.152510012954263,0.12600416284860128,0.24332364926727043,0.11185718140345144,0.10573634669483835
CC24_303,0.24506551485119088,0.22914863932353663,0.2420064962888166,0.08851959169505434,0.17131329238893728
CC24_341a,0.4268443108426316,0.31006066255768555,0.12673261298359242,-0.06643915276003753,0.39144019006872116
CC24_341c,0.5538532912553488,0.10598536559902345,-0.011558496657450837,0.36767327132902955,0.497267556373216
CC24_341d,0.29451264298622837,-0.08737465846899586,0.07148955016093184,0.22679685418915863,0.4746601809361058
CC24_323a,0.7202495489723953,0.506222404840462,0.062434399118904645,0.4598348773598528,0.13534724321325275
CC24_323b,0.6085418199975107,0.7819052636074226,-0.11420112236687988,-0.027557154452157104,-0.0022144035948956455
CC24_323d,0.7228511039575888,0.5002984981538235,0.13611827899590986,0.42040747185773697,0.15275918243044248
CC24_321b,0.47238498890112923,0.2726508480360209,0.07386015995627153,0.26240877046833233,0.33880940829415906
CC24_321d,0.6638411412851819,0.7641431881606506,-0.0021393701128628487,-0.15986045584856062,0.10073294738523139
CC24_321e,0.571993608645182,0.6884057191351898,-0.09533495906667969,-0.042898940710973735,0.10762989338932302
CC24_325,0.5437058785945678,0.11270977233366973,0.08994487238428432,-0.08821587517823486,0.6545925718925965
CC24_324b,0.36360488478234715,0.2758425575385275,0.07860103830055991,-0.1690021453253094,0.39056646758252545
CC24_340b,0.40623792079376425,0.04358563598616445,-0.0014661608200424213,0.054794747181854495,0.5939011058877375
CC24_340c,0.5990897490715332,0.09038497235301342,0.05788210994373837,0.049725011348766765,0.6858862154368204
CC24_340e,0.3338766860472112,0.4161934031336675,0.013980283310059714,-0.5268078344281817,-0.16011183440102422
CC24_340f,0.7419502445549794,0.7918845690088905,0.031589382192972505,0.09058548649669904,0.06371543339726293
CC24_440b,0.4499931418308626,0.276269029549795,-0.0776623231694034,0.17317857548856697,0.4031374621307685
CC24_440c,0.339079102752875,0.17695719203551996,0.0835070118228253,0.037347112440112,0.42024647819249067
CC24_421_1,0.6341709288203873,-0.0942789702431667,0.7893888182064563,-0.031024052367375682,0.07506965693028418
CC24_421_2,0.7349193240752567,-0.023704564600375688,0.8670390585845391,-0.14704685478227944,0.0740097555571129
CC24_423,0.48772174416241354,0.03692691956285107,0.5402388460739783,0.36521897726965147,-0.1693360309194908
CC24_424,0.440275172811356,0.035387001218432954,0.6033380636495895,0.2080091560414256,-0.18529336199445032
