state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1
1,AL,CON_1,POP_1,POP_1,661,4,42.41,9.87,24.49,8.05,15.18
2,AK,LBR_1,CUP_1,LBR_1,105,4,23.25,18.24,34.17,14.02,10.32
4,AZ,CON_1,POP_1,POP_1,1159,4,29.36,6.78,22.91,17.51,23.45
5,AR,CON_1,POP_1,POP_1,390,4,35.0,11.98,27.75,10.75,14.51
6,CA,LBR_1,LIB_1,LBR_1,3626,4,18.14,9.3,28.22,24.23,20.11
8,CO,LBR_1,LIB_1,LBR_1,785,4,27.59,6.77,22.69,24.88,18.08
9,CT,LBR_1,LIB_1,LBR_1,465,4,24.68,8.26,21.0,28.56,17.51
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.61,11.76,28.41,22.19,8.03
11,DC,LBR_1,POP_1,LBR_1,122,4,9.65,5.11,29.56,43.36,12.32
12,FL,LBR_1,CUP_1,LBR_1,3350,4,31.81,15.19,27.15,11.99,13.87
13,GA,LBR_1,CUP_1,LBR_1,1489,4,32.15,13.96,25.36,16.03,12.5
15,HI,LBR_1,LIB_1,LBR_1,153,4,24.1,10.75,27.69,24.12,13.33
16,ID,CON_1,POP_1,POP_1,244,4,37.22,11.84,19.68,13.55,17.71
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.96,14.45,22.84,22.89,12.86
18,IN,CON_1,CUP_1,POP_1,978,4,35.62,13.75,22.59,15.64,12.39
19,IA,CON_1,LIB_1,CON_1,490,4,36.82,12.66,24.23,13.42,12.87
20,KS,CON_1,POP_1,POP_1,385,3,35.61,9.57,20.63,20.82,13.37
21,KY,CON_1,POP_1,POP_1,674,4,34.76,13.81,22.32,11.32,17.79
22,LA,CON_1,CUP_1,CON_1,493,4,38.51,17.29,15.25,11.89,17.06
23,ME,CON_1,LBR_1,LBR_1,236,4,20.2,6.54,23.31,30.8,19.15
24,MD,LBR_1,LIB_1,LBR_1,791,4,20.17,9.16,28.82,24.84,17.01
25,MA,LBR_1,LIB_1,LBR_1,906,4,25.87,5.96,28.8,28.4,10.96
26,MI,CON_1,POP_1,POP_1,1531,3,34.51,8.76,22.01,19.31,15.42
27,MN,CON_1,LBR_1,LBR_1,811,4,22.59,9.68,17.05,31.89,18.79
28,MS,CON_1,POP_1,POP_1,349,4,31.83,15.04,29.09,5.51,18.53
29,MO,LBR_1,POP_1,POP_1,1047,4,35.82,9.76,26.45,13.29,14.68
30,MT,LBR_1,LIB_1,POP_1,185,4,33.99,9.46,20.82,19.95,15.77
31,NE,LBR_1,CUP_1,LBR_1,286,4,26.72,14.08,27.84,13.64,17.71
32,NV,LBR_1,LIB_1,LBR_1,573,4,27.71,6.55,26.79,19.67,19.28
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.91,10.78,30.79,22.93,11.59
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,24.42,10.93,22.99,25.79,15.87
35,NM,LBR_1,LIB_1,LBR_1,309,4,21.04,14.5,32.62,17.83,14.01
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.16,10.59,28.31,22.61,15.33
37,NC,CON_1,POP_1,POP_1,1444,3,33.96,10.33,22.09,17.78,15.83
38,ND,CON_1,CUP_1,CUP_1,90,4,29.27,16.01,22.54,16.73,15.45
39,OH,CON_1,POP_1,CON_1,1978,4,35.56,13.04,21.66,15.05,14.68
40,OK,CON_1,CUP_1,CON_1,537,4,40.18,14.58,18.16,12.69,14.39
41,OR,LIB_1,LBR_1,LBR_1,810,4,20.12,5.75,24.54,32.47,17.12
42,PA,LBR_1,LIB_1,LBR_1,2418,4,29.7,9.03,23.31,24.49,13.48
44,RI,LBR_1,LIB_1,LBR_1,176,4,22.94,8.46,24.24,29.2,15.15
45,SC,CON_1,POP_1,POP_1,736,4,35.48,9.87,29.35,11.47,13.83
46,SD,CON_1,POP_1,CUP_1,137,4,32.79,16.65,17.68,13.96,18.92
47,TN,CON_1,POP_1,CON_1,1065,3,49.87,12.57,17.96,7.78,11.82
48,TX,LBR_1,CUP_1,LBR_1,3392,4,32.9,15.03,28.02,11.05,13.0
49,UT,LBR_1,POP_1,LBR_1,387,4,25.67,10.77,33.89,11.43,18.24
50,VT,LIB_1,LBR_1,LBR_1,105,4,24.42,7.46,18.56,43.54,6.02
51,VA,LBR_1,LIB_1,LBR_1,1234,4,31.45,8.91,25.89,20.46,13.29
53,WA,LBR_1,LIB_1,LBR_1,1112,4,19.67,10.57,26.29,27.69,15.78
54,WV,CON_1,CUP_1,POP_1,335,4,36.56,14.88,25.45,8.36,14.75
55,WI,LBR_1,LIB_1,LBR_1,1088,4,32.17,9.53,20.76,20.16,17.38
56,WY,CON_1,POP_1,CUP_1,70,4,39.28,10.97,13.86,14.89,21.0
