state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_CON_1,first_choice_CON_2,first_choice_CON_3,first_choice_LBR_1,first_choice_LBR_2,first_choice_LBR_3,first_choice_NAT_1,first_choice_NAT_2,first_choice_NAT_3,first_choice_LIB_1,first_choice_LIB_2,first_choice_LIB_3,first_choice_POP_1,first_choice_POP_2,first_choice_POP_3,first_choice_CUP_1,first_choice_CUP_2,first_choice_CUP_3,first_choice_DSA_1,first_choice_DSA_2,first_choice_DSA_3,first_choice_PRG_1,first_choice_PRG_2,first_choice_PRG_3,first_choice_OAO_1
44,RI,163.32349721252046,0.1379976439869844,0.18637828425430564,0.12168955558422608,0.05272773233956452,0.15729971443192994,0.08988200983653494,0.06181620818152778,0.05169978755383732,0.07602663007752103,0.0644824337535682,0.16387883913479695,0.0,0.0,0.19526820896192623,0.0,0.0,0.0563615725870253,0.0,0.0,0.14775116445042688,0.0,0.0,0.15560574207721006,0.0,0.0,0.06232889292319871,0.0,0.0,0.06910732702104082,0.0,0.0,0.08546570621196359,0.0,0.0,0.06423254663241146
45,SC,730.2873741362401,0.20429247181755808,0.1460414558624158,0.15150028796063017,0.10037719732893356,0.06714548837215957,0.10741690523772228,0.08546992851293903,0.03881345385689055,0.07785776749428709,0.021085043556463717,0.22854524514931457,0.0,0.0,0.22712922576398628,0.0,0.0,0.11521808888606115,0.0,0.0,0.07256782565449112,0.0,0.0,0.1241600282907763,0.0,0.0,0.0824643301110584,0.0,0.0,0.08597642774553166,0.0,0.0,0.019726055291838247,0.0,0.0,0.04421277310694222
46,SD,141.47968207446456,0.17713332942872745,0.106538425288778,0.15713624467859028,0.11134418950068449,0.06696443948671668,0.10312237226526295,0.13862512689050854,0.054180012065184496,0.05399695575870123,0.0309589046368459,0.18407887936184844,0.0,0.0,0.11220509516075194,0.0,0.0,0.12412782635954028,0.0,0.0,0.06576445396558754,0.0,0.0,0.20843674789879782,0.0,0.0,0.13740308923192104,0.0,0.0,0.059753358732191515,0.0,0.0,0.04057768652718809,0.0,0.0,0.06765286276217351
47,TN,1143.4242417308235,0.2759293791137572,0.09258259536369945,0.12869560516510342,0.1327659456738824,0.0408765592153373,0.10031665099437498,0.10467143152373701,0.05304357836356796,0.049150346722716835,0.02196790786382339,0.3002514087316529,0.0,0.0,0.1260400697284512,0.0,0.0,0.1530142530807847,0.0,0.0,0.04096733938511129,0.0,0.0,0.1287308903898877,0.0,0.0,0.09473036852847369,0.0,0.0,0.06914958602929804,0.0,0.0,0.021853810908594513,0.0,0.0,0.06526227321774619
48,TX,3555.0723528383005,0.18848924052160212,0.14272610370818783,0.1918199359991485,0.07745010102724938,0.06150129157747221,0.09059322786100446,0.11369250919330688,0.05037148907430509,0.06554749101726487,0.017808610020458394,0.2172596485583492,0.0,0.0,0.22002281986409525,0.0,0.0,0.08947219937743353,0.0,0.0,0.06725164180764324,0.0,0.0,0.12749179328814608,0.0,0.0,0.12119477641271255,0.0,0.0,0.07705757546359936,0.0,0.0,0.02099183534975972,0.0,0.0,0.05925770987826093
49,UT,462.14033775990276,0.13348391281885394,0.16928449336789483,0.18205731580636936,0.08433024909724349,0.06827145860680814,0.12288549060965352,0.1072168004382353,0.03253253940087948,0.07466523337996245,0.02527250647409933,0.15592786084136548,0.0,0.0,0.26480401878867554,0.0,0.0,0.09017537302510178,0.0,0.0,0.059828881646373074,0.0,0.0,0.16993201210381131,0.0,0.0,0.09848168723024922,0.0,0.0,0.09672513538454534,0.0,0.0,0.029475426163386866,0.0,0.0,0.034649604816491375
50,VT,107.66981767451233,0.12417348679308005,0.1375937667525224,0.08165685537115674,0.03500770805062681,0.12195734772023126,0.057750198776262994,0.07958668128269138,0.08467409249087833,0.06104273846865002,0.21655712429389973,0.12329787783291526,0.0,0.0,0.15963035553871852,0.0,0.0,0.04607958420661993,0.0,0.0,0.12533461089428422,0.0,0.0,0.07134332892987919,0.0,0.0,0.06260772382806706,0.0,0.0,0.05333362903210642,0.0,0.0,0.25830045950098796,0.0,0.0,0.10007243023642157
51,VA,1326.7153253861266,0.18035315682808828,0.1661645572093244,0.13252647325167952,0.09101939263873574,0.0906336116333327,0.08763690071531018,0.08782836208038432,0.04043773362859461,0.05650424199373624,0.06689557002081392,0.20059933302303543,0.0,0.0,0.21494427042330053,0.0,0.0,0.10280414459455924,0.0,0.0,0.08681868605043726,0.0,0.0,0.12860634942610963,0.0,0.0,0.08019845692942568,0.0,0.0,0.056959395431224184,0.0,0.0,0.08149868180733091,0.0,0.0,0.04757068231457721
53,WA,1221.7758385722857,0.13240149109520757,0.15935631461231092,0.10236605937249423,0.08369442774811775,0.11779351238245443,0.09128093493235052,0.07525456516900149,0.05870310076804367,0.08949646741339264,0.08965312650662667,0.1398958937673546,0.0,0.0,0.17977666827826153,0.0,0.0,0.092028275602334,0.0,0.0,0.11984190053412704,0.0,0.0,0.09898262175514261,0.0,0.0,0.09172666373807399,0.0,0.0,0.09947514455765445,0.0,0.0,0.10521992000172671,0.0,0.0,0.07305291176532513
54,WV,360.2592516454194,0.20704278003948062,0.15699593569289136,0.16141012318609013,0.0899001833378914,0.05080197946905454,0.11883739443523943,0.11076406792087999,0.05308523617996143,0.03507666365556979,0.01608563608294125,0.20010629225891652,0.0,0.0,0.21364434442357041,0.0,0.0,0.09434568333543285,0.0,0.0,0.05104657724196456,0.0,0.0,0.1710835851017069,0.0,0.0,0.1315735050546026,0.0,0.0,0.04696195370052223,0.0,0.0,0.016225235120394307,0.0,0.0,0.07501282376288969
55,WI,969.409978341477,0.19551048814753225,0.147886184861648,0.11637739595472457,0.08761828439024992,0.08356130675895124,0.11901342397914753,0.08229901242416603,0.053967244841946,0.05447441533062356,0.05929224331101062,0.2262030954042414,0.0,0.0,0.15588328623575862,0.0,0.0,0.09740863687952098,0.0,0.0,0.08985077937022064,0.0,0.0,0.15673994375951888,0.0,0.0,0.07071555764979279,0.0,0.0,0.06232268145771068,0.0,0.0,0.07114572953127621,0.0,0.0,0.06973028971195962
