party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,106,67,28,201,23.02
1,Social Democrat,90,51,18,159,18.21
2,Solidarity,72,49,8,129,14.78
5,Populist,54,37,15,106,12.14
4,Liberal,63,24,6,93,10.65
6,Civic Union Party,47,31,11,89,10.19
3,Nationalist,14,16,11,41,4.7
8,DSA,15,8,2,25,2.86
9,Progressive,11,3,1,15,1.72
7,Working Families Party,9,4,2,15,1.72
