state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
1,AL,CON_hi_pc,CON,pc,hi,503.91,5,0.0,3.822,7.701,7.16,11.759,1.606,3.683,3.224,0.0,5.259,4.2,0.0,2.045,0.555,2.037,0.926,1.828,3.368,0.548,1.559,1.143,0.476,1.991,9.46,2.202,0.0,0.413,2.83,2.615,4.08,0.307,0.0,4.187,0.923,1.739,2.684,0.796,2.873
2,AK,LBR_lo_so,LBR,so,lo,89.99,5,0.0,5.581,4.101,11.944,0.381,0.0,9.946,2.37,0.0,2.038,0.297,0.0,0.0,1.827,0.745,3.228,8.275,7.829,2.493,4.787,2.093,1.552,2.388,5.065,0.747,0.0,2.139,1.482,1.482,0.662,2.037,1.04,0.443,0.243,0.53,8.716,0.957,2.583
4,AZ,LBR_lo_id,LBR,id,lo,841.7,5,0.102,6.39,8.218,6.102,3.702,0.13,0.71,1.159,1.414,2.132,6.672,0.018,2.511,1.47,1.297,4.113,1.599,2.106,1.709,1.714,2.221,0.0,10.254,5.105,2.947,0.0,5.448,2.825,1.405,1.633,6.528,0.149,1.388,2.104,0.411,3.882,0.354,0.078
5,AR,LBR_hi_so,LBR,so,hi,292.37,5,0.0,3.322,8.041,5.198,10.018,0.0,3.05,2.808,0.0,2.311,5.106,0.0,3.112,0.093,4.247,5.22,0.998,3.255,2.352,1.555,0.869,0.639,0.741,8.434,2.89,0.0,1.794,2.608,5.768,2.216,4.566,0.18,0.716,2.998,0.695,1.857,1.235,1.108
6,CA,STY_lo_id,STY,id,lo,2811.57,5,0.345,4.187,3.252,3.335,5.92,0.22,1.891,3.763,0.299,1.128,3.553,0.061,2.231,1.16,5.467,4.159,1.97,4.067,3.825,3.67,4.181,0.027,8.299,1.607,3.971,0.061,2.888,0.678,1.032,1.815,7.569,0.001,1.943,1.826,1.648,4.782,1.267,1.9
8,CO,LBR_lo_so,LBR,so,lo,603.64,5,0.073,5.913,12.579,2.082,3.111,0.234,0.616,3.311,0.345,0.504,5.942,0.0,1.987,0.393,1.644,2.342,1.379,8.276,2.676,2.919,5.284,0.098,5.218,2.683,4.259,0.0,3.749,2.519,2.098,2.229,9.203,0.413,1.145,0.984,0.175,1.71,0.646,1.261
9,CT,CON_hi_id,CON,id,hi,355.22,5,0.969,6.374,2.737,2.01,8.9,0.374,2.482,3.487,0.152,1.047,3.59,0.0,1.984,3.017,4.507,2.736,1.314,2.161,3.537,5.484,2.806,0.121,5.947,2.899,4.204,0.161,1.131,0.964,2.63,4.861,10.112,0.608,0.003,0.385,0.142,3.542,1.62,1.001
10,DE,CON_lo_pc,CON,pc,lo,155.88,5,0.0,4.867,9.863,3.76,7.704,0.212,0.0,3.5,0.0,0.222,5.806,0.0,1.842,1.202,10.422,6.785,1.671,2.206,2.658,2.023,2.399,0.0,3.216,2.918,12.149,0.0,1.299,0.0,3.042,0.986,2.65,0.0,1.828,0.0,1.753,2.588,0.428,0.0
11,DC,LBR_lo_so,LBR,so,lo,86.93,5,0.0,1.462,0.0,2.41,5.192,0.0,2.149,5.793,0.917,0.0,9.734,0.0,2.135,0.432,3.353,4.451,6.191,11.129,7.501,0.712,6.852,0.0,0.0,0.0,1.63,0.0,0.0,0.0,3.773,6.846,12.882,0.0,0.0,0.981,0.0,1.88,1.305,0.291
12,FL,LBR_lo_so,LBR,so,lo,2211.18,5,0.071,2.735,7.091,7.552,6.696,0.986,5.371,5.608,0.099,3.528,3.389,0.0,2.312,0.73,3.746,3.174,1.608,2.658,1.834,1.859,2.673,0.264,0.513,7.23,3.874,0.774,0.84,0.748,4.375,1.783,2.562,0.039,3.923,1.222,0.911,4.151,1.21,1.859
13,GA,LBR_hi_id,LBR,id,hi,1035.56,5,0.271,3.441,6.552,7.468,7.993,0.737,2.621,5.997,0.053,0.979,2.216,0.0,5.204,1.049,3.852,2.041,1.393,4.914,3.512,2.675,3.462,0.739,1.773,6.461,2.731,0.0,2.709,0.627,2.094,1.243,2.922,0.139,1.976,2.428,1.046,3.922,2.001,0.757
15,HI,LBR_hi_so,LBR,so,hi,147.52,5,0.0,11.173,0.497,4.638,5.312,0.0,0.5,1.062,0.0,0.0,3.741,0.0,0.592,4.419,5.687,3.402,1.871,9.138,8.593,4.254,3.78,0.0,2.779,1.781,9.813,0.328,4.734,2.159,1.66,0.19,1.054,0.0,0.828,0.345,1.012,3.939,0.526,0.192
16,ID,CON_hi_pc,CON,pc,hi,234.21,5,0.0,2.801,18.456,4.584,2.586,0.186,7.318,0.782,0.0,3.907,2.459,0.0,2.845,0.0,2.435,0.331,0.277,4.984,2.009,1.997,2.754,0.255,1.545,9.338,2.617,0.0,0.125,2.417,9.767,1.919,4.259,0.0,0.131,0.73,0.802,4.1,0.55,0.733
17,IL,STY_lo_id,STY,id,lo,1059.26,5,0.238,5.455,4.928,5.272,7.357,0.314,2.863,4.768,0.456,2.016,3.669,0.114,2.058,0.595,3.575,3.601,1.571,4.051,3.379,1.735,5.86,0.0,5.389,1.857,6.008,0.01,2.327,0.698,1.43,2.882,7.463,0.158,0.341,0.867,1.016,4.315,0.378,0.989
