district_id,state_fips,state_abbr,density_tier,seat_count,quota,total_weight,n_ballots,elected_party_0,elected_party_1,elected_party_2,elected_party_3,elected_party_4,elected_party_5,elected_party_6,round_elim_c0,round_elim_c1,round_elim_c2,round_elim_c3,round_elim_c4,round_elim_c5,round_elim_c6,round_elim_c7,round_elim_c8,round_elim_c9
48-07,48,TX,URBAN,5,18.0,106.5831,128,2,1,5.0,0.0,6.0,,,-1.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,,,2.0
48-08,48,TX,URBAN,5,23.0,134.9177,139,2,0,6.0,1.0,5.0,,,-1.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,,,1.0
48-09,48,TX,SUBURBAN,5,88.0,526.8491,474,0,2,6.0,5.0,1.0,,,-1.0,-1.0,-1.0,2.0,,-1.0,-1.0,,3.0,1.0
48-10,48,TX,SUBURBAN,5,76.0,453.7645,431,0,1,2.0,5.0,6.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
48-11,48,TX,SUBURBAN,5,80.0,474.2651,443,0,6,1.0,2.0,3.0,,,-1.0,-1.0,-1.0,-1.0,2.0,3.0,-1.0,,,1.0
48-12,48,TX,SUBURBAN,5,73.0,437.3207,441,1,2,0.0,5.0,6.0,,,-1.0,-1.0,-1.0,2.0,,-1.0,-1.0,,,1.0
48-13,48,TX,RURAL,5,28.0,165.5357,165,0,5,6.0,2.0,1.0,,,-1.0,-1.0,-1.0,,2.0,-1.0,-1.0,,3.0,1.0
48-14,48,TX,RURAL,5,34.0,203.2949,207,0,6,5.0,3.0,2.0,,,-1.0,,-1.0,-1.0,,-1.0,-1.0,,,
48-15,48,TX,RURAL,5,35.0,207.2915,199,2,0,5.0,1.0,6.0,,,-1.0,-1.0,-1.0,3.0,,-1.0,-1.0,,2.0,1.0
49-01,49,UT,URBAN,3,13.0,49.5886,55,5,2,0.0,,,,,-1.0,3.0,-1.0,2.0,6.0,-1.0,4.0,,5.0,1.0
49-02,49,UT,URBAN,3,20.0,77.4221,50,2,0,5.0,,,,,-1.0,6.0,-1.0,4.0,2.0,-1.0,5.0,,3.0,1.0
49-03,49,UT,SUBURBAN,3,84.0,335.1296,282,1,0,2.0,,,,,-1.0,-1.0,-1.0,4.0,3.0,2.0,,,5.0,1.0
50-01,50,VT,RURAL,2,36.0,107.6698,105,1,0,,,,,,-1.0,-1.0,4.0,1.0,5.0,3.0,6.0,,2.0,
51-01,51,VA,URBAN,5,20.0,118.6085,105,1,2,8.0,0.0,4.0,,,-1.0,-1.0,-1.0,3.0,-1.0,2.0,,,-1.0,1.0
51-02,51,VA,URBAN,5,23.0,134.5889,122,2,0,6.0,1.0,4.0,,,-1.0,-1.0,-1.0,1.0,-1.0,,-1.0,,2.0,3.0
51-03,51,VA,SUBURBAN,5,64.0,383.9368,356,0,1,2.0,4.0,6.0,,,-1.0,-1.0,-1.0,,-1.0,2.0,-1.0,,1.0,3.0
51-04,51,VA,SUBURBAN,5,60.0,355.0449,360,1,0,4.0,2.0,5.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,2.0,,3.0,1.0
51-05,51,VA,RURAL,3,84.0,334.5362,291,0,2,1.0,,,,,-1.0,-1.0,-1.0,,5.0,4.0,3.0,,1.0,2.0
53-01,53,WA,URBAN,5,33.0,194.1302,163,0,4,8.0,1.0,2.0,,,-1.0,-1.0,-1.0,3.0,-1.0,1.0,,,-1.0,2.0
53-02,53,WA,URBAN,5,27.0,156.0307,157,1,0,4.0,5.0,2.0,,,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,,3.0,
53-03,53,WA,SUBURBAN,5,106.0,635.3352,561,0,1,5.0,4.0,6.0,,,-1.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,,,3.0
53-04,53,WA,RURAL,5,40.0,236.2797,231,2,1,0.0,5.0,4.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,3.0,,1.0,2.0
54-01,54,WV,SUBURBAN,5,61.0,360.2593,335,0,2,6.0,1.0,5.0,,,-1.0,-1.0,-1.0,,3.0,-1.0,-1.0,,2.0,1.0
55-01,55,WI,URBAN,5,20.0,116.4277,183,0,4,2.0,5.0,1.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,,1.0,
55-02,55,WI,URBAN,5,24.0,140.4992,163,2,5,1.0,0.0,4.0,,,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,,,2.0,1.0
55-03,55,WI,SUBURBAN,3,127.0,505.3744,505,0,1,2.0,,,,,-1.0,-1.0,-1.0,3.0,4.0,,2.0,,5.0,1.0
55-04,55,WI,RURAL,3,52.0,207.1087,237,5,1,0.0,,,,,-1.0,-1.0,4.0,5.0,3.0,-1.0,,,1.0,2.0
56-01,56,WY,SUBURBAN,2,33.0,98.2982,70,5,0,,,,,,-1.0,,3.0,5.0,,-1.0,4.0,,1.0,2.0
