party_i,party_j,i_to_j_pct,j_to_i_pct,asymmetry,total_flow
C2 Disaffected Outsider,C5 RW Populist,3.5509,3.6706,-0.1196,7.2215
C3 Nationalist Conservative,C5 RW Populist,5.0621,1.5591,3.503,6.6212
C4 Institutionalist Liberal,C9 Progressive Elite,0.4534,5.6514,-5.198,6.1048
C1 Christian Democrat,C2 Disaffected Outsider,2.8028,2.8571,-0.0543,5.66
C1 Christian Democrat,C4 Institutionalist Liberal,1.7605,3.345,-1.5846,5.1055
C1 Christian Democrat,C8 Progressive Activist,0.9514,3.6868,-2.7355,4.6382
C0 Mainstream Conservative,C5 RW Populist,3.1182,1.493,1.6253,4.6112
C0 Mainstream Conservative,C3 Nationalist Conservative,1.2899,2.9854,-1.6956,4.2753
C6 Pragmatic Traditionalist,C7 Blue Dogs,0.5853,3.5929,-3.0076,4.1782
C2 Disaffected Outsider,C8 Progressive Activist,0.5033,3.6293,-3.126,4.1326
C0 Mainstream Conservative,C6 Pragmatic Traditionalist,2.2824,1.6083,0.6742,3.8907
C4 Institutionalist Liberal,C6 Pragmatic Traditionalist,2.1289,1.1911,0.9377,3.32
C2 Disaffected Outsider,C6 Pragmatic Traditionalist,1.6662,1.5348,0.1315,3.201
C5 RW Populist,C6 Pragmatic Traditionalist,1.2135,1.9592,-0.7458,3.1727
C4 Institutionalist Liberal,C8 Progressive Activist,1.2656,1.8994,-0.6338,3.1651
C8 Progressive Activist,C9 Progressive Elite,0.772,2.0254,-1.2534,2.7974
C4 Institutionalist Liberal,C7 Blue Dogs,0.4089,2.356,-1.9471,2.7649
C0 Mainstream Conservative,C2 Disaffected Outsider,1.8252,0.5978,1.2274,2.423
C0 Mainstream Conservative,C7 Blue Dogs,0.6928,1.6062,-0.9133,2.299
C3 Nationalist Conservative,C6 Pragmatic Traditionalist,1.3575,0.9066,0.4509,2.264
C1 Christian Democrat,C6 Pragmatic Traditionalist,0.8015,1.4377,-0.6362,2.2391
C1 Christian Democrat,C7 Blue Dogs,0.1864,1.6709,-1.4845,1.8572
C2 Disaffected Outsider,C4 Institutionalist Liberal,0.751,0.764,-0.013,1.5149
C1 Christian Democrat,C5 RW Populist,1.0098,0.4236,0.5862,1.4334
C2 Disaffected Outsider,C7 Blue Dogs,0.2769,1.0371,-0.7602,1.3139
C4 Institutionalist Liberal,C5 RW Populist,0.5464,0.6472,-0.1009,1.1936
C2 Disaffected Outsider,C3 Nationalist Conservative,0.482,0.516,-0.034,0.9981
C1 Christian Democrat,C9 Progressive Elite,0.1463,0.6497,-0.5034,0.796
C5 RW Populist,C7 Blue Dogs,0.4136,0.3653,0.0482,0.7789
C6 Pragmatic Traditionalist,C8 Progressive Activist,0.171,0.5859,-0.4149,0.757
C0 Mainstream Conservative,C1 Christian Democrat,0.4555,0.2304,0.2251,0.686
C5 RW Populist,C9 Progressive Elite,0.326,0.2443,0.0817,0.5704
C3 Nationalist Conservative,C4 Institutionalist Liberal,0.2846,0.2789,0.0057,0.5635
C5 RW Populist,C8 Progressive Activist,0.298,0.1726,0.1254,0.4706
C2 Disaffected Outsider,C9 Progressive Elite,0.0594,0.3287,-0.2692,0.3881
C3 Nationalist Conservative,C7 Blue Dogs,0.1657,0.1971,-0.0315,0.3628
C3 Nationalist Conservative,C8 Progressive Activist,0.1449,0.1962,-0.0513,0.3411
C1 Christian Democrat,C3 Nationalist Conservative,0.3159,0.014,0.3018,0.3299
C6 Pragmatic Traditionalist,C9 Progressive Elite,0.0424,0.2661,-0.2236,0.3085
C3 Nationalist Conservative,C9 Progressive Elite,0.0463,0.2473,-0.201,0.2936
C0 Mainstream Conservative,C4 Institutionalist Liberal,0.1458,0.1456,0.0002,0.2914
C7 Blue Dogs,C8 Progressive Activist,0.091,0.1794,-0.0884,0.2705
C0 Mainstream Conservative,C8 Progressive Activist,0.1401,0.0698,0.0703,0.2099
C7 Blue Dogs,C9 Progressive Elite,0.1011,0.0176,0.0835,0.1187
C0 Mainstream Conservative,C9 Progressive Elite,0.0468,0.0197,0.0271,0.0665
