candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CUP_1,18212.789374068365,18923.654877369405,710.87,1.9142,True,9,LBR_1
CON_1,LBR_1,17143.05959487409,19993.384656563678,2850.33,7.6753,True,7,LBR_1
CON_1,LIB_1,22689.126517816614,14447.317733621156,8241.81,22.1933,True,5,LBR_1
CON_1,POP_1,14810.657354375548,22325.786897062222,7515.13,20.2365,True,6,LBR_1
CUP_1,LBR_1,14318.883458636214,22817.560792801556,8498.68,22.885,True,4,LBR_1
CUP_1,LIB_1,24679.610182596916,12456.834068840852,12222.78,32.9132,True,3,LBR_1
CUP_1,POP_1,18446.290716485404,18690.153534952362,243.86,0.6567,True,10,LBR_1
LBR_1,LIB_1,30121.829973976368,7014.614277461399,23107.22,62.2225,True,1,LBR_1
LBR_1,POP_1,19932.770140926143,17203.674110511623,2729.1,7.3488,True,8,LBR_1
LIB_1,POP_1,11900.718167016495,25235.726084421272,13335.01,35.9081,True,2,LBR_1
