state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CON_2,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,none,CON_1,661,1,51.01,0.0,15.13,8.97,24.89
2,AK,LBR_1,STY_1,STY_1,105,4,36.38,0.0,23.46,15.61,24.54
4,AZ,CON_1,STY_1,STY_1,1159,3,45.03,0.0,20.32,18.75,15.89
5,AR,CON_1,STY_1,STY_1,390,4,42.59,0.0,23.55,11.65,22.22
6,CA,LBR_1,LIB_1,LBR_1,3626,4,31.35,0.0,23.16,25.84,19.66
8,CO,LBR_1,LIB_1,LBR_1,785,4,38.23,0.0,20.83,26.55,14.39
9,CT,CON_1,LBR_1,LBR_1,465,4,34.68,0.0,19.62,30.72,14.97
10,DE,LBR_1,LIB_1,LBR_1,164,4,35.75,0.0,30.94,24.82,8.49
11,DC,LBR_1,STY_1,LBR_1,122,4,11.73,0.0,27.64,45.07,15.56
12,FL,LBR_1,STY_1,STY_1,3350,4,42.17,0.0,21.46,13.69,22.68
13,GA,LBR_1,STY_1,STY_1,1489,4,41.52,0.0,20.92,17.52,20.05
15,HI,LBR_1,LIB_1,LBR_1,153,4,32.71,0.0,25.56,28.21,13.52
16,ID,CON_1,STY_1,STY_1,244,4,45.74,0.0,17.41,14.42,22.43
17,IL,LBR_1,LIB_1,LBR_1,1758,4,34.9,0.0,25.37,25.01,14.72
18,IN,CON_1,STY_1,STY_1,978,3,45.77,0.0,18.38,17.93,17.92
19,IA,CON_1,STY_1,STY_1,490,4,44.19,0.0,22.5,15.19,18.12
20,KS,CON_1,STY_1,STY_1,385,3,43.94,0.0,17.24,22.26,16.56
21,KY,CON_1,none,CON_1,674,1,50.7,0.0,18.05,12.43,18.82
22,LA,CON_1,STY_1,CON_1,493,4,47.66,0.0,19.05,12.96,20.32
23,ME,LIB_1,LBR_1,LBR_1,236,4,31.95,0.0,20.62,32.05,15.38
24,MD,LBR_1,LIB_1,LBR_1,791,4,31.76,0.0,26.16,26.18,15.9
25,MA,LBR_1,LIB_1,LBR_1,906,4,31.44,0.0,24.87,30.88,12.81
26,MI,CON_1,STY_1,STY_1,1531,3,43.28,0.0,20.62,20.56,15.54
27,MN,CON_1,LBR_1,LBR_1,811,4,34.44,0.0,17.07,33.96,14.53
28,MS,STY_1,LBR_1,STY_1,349,4,41.38,0.0,20.55,9.29,28.77
29,MO,CON_1,STY_1,STY_1,1047,4,43.3,0.0,22.56,14.51,19.62
30,MT,CON_1,STY_1,CON_1,185,3,47.9,0.0,17.99,20.88,13.23
31,NE,LBR_1,STY_1,STY_1,286,4,41.34,0.0,23.63,14.31,20.72
32,NV,LBR_1,LIB_1,STY_1,573,4,40.36,0.0,21.0,21.55,17.09
33,NH,LBR_1,LIB_1,LBR_1,252,4,33.59,0.0,31.55,23.97,10.89
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,37.77,0.0,22.57,27.52,12.14
35,NM,LBR_1,LIB_1,LBR_1,309,4,36.75,0.0,32.06,19.37,11.82
36,NY,LBR_1,LIB_1,LBR_1,2585,4,31.99,0.0,26.07,24.62,17.32
37,NC,STY_1,LIB_1,STY_1,1444,4,43.34,0.0,17.72,19.65,19.29
38,ND,CON_1,STY_1,STY_1,90,4,39.92,0.0,22.88,17.52,19.68
39,OH,CON_1,STY_1,STY_1,1978,4,44.78,0.0,19.63,16.71,18.88
40,OK,CON_1,LBR_1,CON_1,537,3,49.6,0.0,11.29,13.21,25.9
41,OR,LIB_1,LBR_1,LBR_1,810,4,34.75,0.0,22.31,33.94,9.0
42,PA,LBR_1,LIB_1,LBR_1,2418,4,41.3,0.0,20.02,26.47,12.21
44,RI,LBR_1,LIB_1,LBR_1,176,4,29.59,0.0,23.94,31.29,15.17
45,SC,CON_1,STY_1,STY_1,736,4,43.9,0.0,22.15,13.58,20.37
46,SD,CON_1,STY_1,STY_1,137,4,43.81,0.0,17.46,14.63,24.11
47,TN,CON_1,none,CON_1,1065,1,58.99,0.0,13.61,9.45,17.95
48,TX,CON_1,STY_1,STY_1,3392,4,42.69,0.0,21.21,12.54,23.56
49,UT,LBR_1,STY_1,STY_1,387,4,35.35,0.0,26.57,12.34,25.75
50,VT,LIB_1,LBR_1,LBR_1,105,4,28.69,0.0,17.64,46.19,7.48
51,VA,LBR_1,LIB_1,STY_1,1234,4,40.01,0.0,23.48,21.96,14.54
53,WA,LBR_1,LIB_1,LBR_1,1112,4,31.62,0.0,26.39,29.78,12.21
54,WV,STY_1,LBR_1,STY_1,335,4,45.98,0.0,16.57,8.94,28.51
55,WI,LBR_1,LIB_1,STY_1,1088,4,41.77,0.0,22.76,21.62,13.84
56,WY,STY_1,LIB_1,STY_1,70,4,41.73,0.0,17.41,17.92,22.95
