,pew_churatd,pew_religimp,pew_prayer,pew_bornagain,CC24_302,CC24_303,CC24_341a,CC24_341b,CC24_341c,CC24_341d,CC24_323a,CC24_323b,CC24_323d,CC24_321b,CC24_321c,CC24_321d,CC24_321e,CC24_325,CC24_324b,CC24_324c,CC24_324d,CC24_340a,CC24_340b,CC24_340c,CC24_340e,CC24_340f,CC24_440a,CC24_440b,CC24_440c,CC24_440d,CC24_441a,CC24_441b,CC24_421_1,CC24_421_2,CC24_423,CC24_424
CC24_340e,0.0616,0.0986,0.0648,0.0526,-0.0533,-0.0434,0.1171,-0.1318,-0.1814,-0.0906,-0.1248,0.1505,-0.1126,-0.1103,-0.2667,0.2135,0.152,0.0563,0.1269,0.0067,-0.0978,0.0652,-0.0369,-0.053,1.0,0.1453,-0.0419,-0.0045,0.0284,0.021,0.0752,0.0095,-0.1088,-0.0491,-0.2527,-0.164
CC24_340f,0.2551,0.3829,0.3507,0.3484,0.2341,0.3747,0.5063,0.4646,0.4658,0.2587,0.657,0.7028,0.6569,0.5196,0.3051,0.5873,0.5691,0.4866,0.4254,0.2434,0.5949,0.1979,0.3776,0.506,0.1453,1.0,0.6318,0.5126,0.4181,0.512,0.6437,0.6366,0.0345,0.0596,0.0895,0.0235
CC24_440a,0.2399,0.3362,0.3024,0.2959,0.285,0.3739,0.4857,0.5704,0.5604,0.3432,0.6101,0.5174,0.6082,0.5588,0.3839,0.5271,0.5488,0.4886,0.3762,0.2649,0.6538,0.2305,0.4234,0.5093,-0.0419,0.6318,1.0,0.6579,0.4162,0.5167,0.7129,0.8002,0.1178,0.1243,0.1829,0.0856
CC24_440b,0.2284,0.2966,0.2202,0.2717,0.1636,0.2059,0.4306,0.5221,0.5076,0.309,0.4908,0.3905,0.491,0.5178,0.361,0.4608,0.4178,0.3906,0.3488,0.3055,0.571,0.2103,0.3894,0.4345,-0.0045,0.5126,0.6579,1.0,0.4842,0.5317,0.6397,0.6039,0.0275,0.0641,0.0418,-0.0082
CC24_440c,0.2125,0.2807,0.2191,0.277,0.1614,0.2081,0.3784,0.4118,0.3701,0.2663,0.3803,0.3242,0.4289,0.4316,0.367,0.3506,0.298,0.3873,0.3296,0.3339,0.4411,0.2626,0.35,0.4509,0.0284,0.4181,0.4162,0.4842,1.0,0.7478,0.537,0.4153,0.1374,0.1874,0.0465,0.0638
CC24_440d,0.2099,0.3073,0.2391,0.2844,0.2042,0.2781,0.4137,0.4616,0.4455,0.292,0.4597,0.3956,0.4786,0.4858,0.3634,0.4354,0.3795,0.427,0.3685,0.3109,0.5287,0.2589,0.3778,0.4969,0.021,0.512,0.5167,0.5317,0.7478,1.0,0.6306,0.5265,0.1154,0.1584,0.0863,0.0675
CC24_441a,0.2393,0.3596,0.306,0.3251,0.2336,0.3417,0.4956,0.5063,0.4699,0.3063,0.5542,0.5191,0.5651,0.5209,0.3432,0.5837,0.5259,0.4917,0.4283,0.2897,0.5857,0.261,0.4054,0.5417,0.0752,0.6437,0.7129,0.6397,0.537,0.6306,1.0,0.7683,0.0704,0.0981,0.0808,0.0287
CC24_441b,0.2126,0.3329,0.304,0.2846,0.2748,0.3816,0.4735,0.5507,0.5218,0.3438,0.5771,0.522,0.6,0.5207,0.3295,0.5517,0.5494,0.4808,0.3889,0.2289,0.6055,0.2481,0.4,0.53,0.0095,0.6366,0.8002,0.6039,0.4153,0.5265,0.7683,1.0,0.1178,0.1237,0.173,0.0835
CC24_421_1,-0.0141,0.0292,0.0512,0.0482,0.214,0.2167,0.1476,0.1836,0.1325,0.1837,0.1587,-0.1135,0.2163,0.155,0.1961,-0.014,-0.0723,0.1413,0.0748,0.0771,0.1207,0.0947,0.0928,0.1533,-0.1088,0.0345,0.1178,0.0275,0.1374,0.1154,0.0704,0.1178,1.0,0.7421,0.4736,0.3707
CC24_421_2,-0.0018,0.055,0.0667,0.0405,0.2155,0.1709,0.1601,0.1821,0.1253,0.1911,0.1409,-0.0678,0.202,0.1546,0.2017,0.0379,-0.0323,0.1651,0.1278,0.0964,0.1013,0.1544,0.1119,0.1685,-0.0491,0.0596,0.1243,0.0641,0.1874,0.1584,0.0981,0.1237,0.7421,1.0,0.3463,0.5293
CC24_423,-0.0591,-0.0423,-0.0057,-0.0136,0.2087,0.2309,0.055,0.1819,0.2033,0.1471,0.2434,-0.0568,0.2602,0.1895,0.2461,-0.0143,-0.0116,0.0807,-0.009,-0.0022,0.1833,-0.0068,0.065,0.113,-0.2527,0.0895,0.1829,0.0418,0.0465,0.0863,0.0808,0.173,0.4736,0.3463,1.0,0.5914
CC24_424,-0.0756,-0.0502,-0.0227,-0.0641,0.1607,0.1512,0.0142,0.1075,0.1137,0.1264,0.1434,-0.0704,0.1723,0.1112,0.1543,-0.0505,-0.0561,0.0485,-0.0078,-0.0155,0.0719,0.0274,0.0412,0.0545,-0.164,0.0235,0.0856,-0.0082,0.0638,0.0675,0.0287,0.0835,0.3707,0.5293,0.5914,1.0
