w,prod_cluster,prod_party,sixdim,conf5,conf6,fp_engage
0.1800566087375773,4,LIB,1,0.8806379076322919,0.5394827656880862,-0.9506991224526146
0.7008973607552659,4,LIB,8,0.4227965507069834,0.29125901282598854,0.46332163384237784
0.04627502488318098,8,DSA,4,0.8475400763674885,0.6875372032018692,1.108302016807284
0.008897234624817188,1,SD,6,0.8731255273394337,0.5104680298152068,-1.7070856577988638
0.5553947818748659,2,STY,0,0.7409185144851372,0.9886594471844125,0.33163059980096804
0.1232077524658231,9,PRG,3,0.8925882988738708,0.9479511936798334,1.2393631512361083
0.4341394759415876,9,PRG,4,0.5019942067244844,0.365711970428978,0.050116559211513936
1.436450539884464,3,NAT,2,0.8645604789367496,0.7175649772327536,-2.019831925564112
0.8732044875489118,5,POP,7,0.9953144574536829,0.8164169361866811,-2.019831925564112
0.0001619969814628041,2,STY,0,0.9990832277523084,0.5888514025182804,-1.3640718983711162
5.470331987680804,5,POP,7,0.7650363681813181,0.7313728281836877,-1.6069512593784532
1.183034045287737,3,NAT,2,0.8811328019086528,0.8522400874077404,0.46958877889530465
0.07721123524294693,6,CUP,8,0.6686885493753519,0.7715928858839741,-0.17931660863485288
1.464401682421841,5,POP,0,0.8856684869202208,0.6709636870299831,-1.2957569451461202
0.03806311575610385,0,CON,5,0.790857904940477,0.7731212803214591,-0.9392847745097557
0.8805369769457095,6,CUP,8,0.5500959050165306,0.53807778290311,-0.9506991224526146
0.007861584929511483,0,CON,5,0.8865320258936077,0.9324510422679059,0.34989621734053206
0.3572333099465297,0,CON,5,0.6202420829503559,0.843298906258147,0.11215836112530612
1.267905490028907,7,C7,5,0.6786190061666734,0.9606446643792911,-0.331446840967476
0.3840612569219607,4,LIB,1,0.9036741430813068,0.8938945425389841,0.005941542782361331
1.154485073003468,1,SD,9,0.3747399440426713,0.46552624757346145,1.0997135507317521
0.6971256429707643,9,PRG,3,0.8219684170994674,0.6936446475955808,0.28194754965457863
0.06932926903206077,2,STY,6,0.9233599369150836,0.9437121818198327,-0.028129033566447373
0.3531294866450464,3,NAT,2,0.936311333962296,0.9341674215544674,-1.144538240426985
0.0216278225341757,2,STY,7,0.5650620463908094,0.7727514919882411,-2.019831925564112
0.0009265566116692584,9,PRG,3,0.7750115729589238,0.8886051716187992,0.7163773554030892
1.522485458389949,8,DSA,9,0.6421854985446096,0.5372416817240162,0.9627851581515801
3.311319732374418,9,PRG,3,0.8323091292454609,0.8617329950210589,0.5539037139326328
1.600430825103686,0,CON,5,0.7216203429898777,0.8655623368278011,0.7246056694088878
1.111001774533817,2,STY,6,0.9469007078161664,0.9977026186479018,0.6190706202004136
0.4489246983096729,2,STY,7,0.9727797242538636,0.9696904495377644,-1.5264774554329836
0.8660720949880162,7,C7,5,0.7201271290583252,0.5128210697166012,0.21999512350585465
0.4904538149507803,6,CUP,1,0.6704335233661887,0.36782622520535174,0.5106940782759376
1.783225025961243,7,C7,5,0.9061004045155244,0.4766904102902079,1.354805975061294
0.4113380885555183,4,LIB,1,0.9046574775804462,0.9477780712595552,0.6507097953037617
0.9082579378988657,6,CUP,8,0.577014420104562,0.5665771541591985,-1.3693214540012584
2.344500693791797,6,CUP,8,0.8528400636905994,0.8449900174429791,-0.5616181913134322
0.9744791207903959,5,POP,0,0.5393699171369875,0.9988566642323303,-0.653618766211772
0.8952789019088786,5,POP,0,0.9571267572267612,0.9996386247875145,-0.6292698712243882
0.4375657345530578,8,DSA,4,0.8693067892517234,0.9001871154291606,-0.003126255317129198
0.2490369289195526,2,STY,6,0.9262839470471398,0.9814991971827227,0.1937134208070612
0.0001277004237352177,0,CON,5,0.8157438352608393,0.7031521318733798,-0.03815086522227951
0.727025921506796,4,LIB,1,0.5884157566338506,0.47839859700620857,1.1999285294067545
0.01726522718759697,9,PRG,3,0.8723127022828573,0.9047265896950348,1.3589450343527043
0.2239028812910668,4,LIB,1,0.7075873860773532,0.5218556418100312,0.4968179937411338
0.0001108037711122407,1,SD,4,0.6523668811668129,0.4203253088505839,-0.1595216220645737
1.338810497348719,9,PRG,3,0.9026999292469852,0.9418199994952237,1.0975356792845767
0.0003857230980972854,2,STY,0,0.396883822006993,0.5021226928946002,-1.2957569451461202
0.7250238590341614,1,SD,6,0.8104059630904268,0.500767535720883,0.4016390138574962
0.835187034515306,3,NAT,2,0.5646048694996307,0.6991540059578173,-1.3570685284159492
0.6686009483088667,2,STY,6,0.5456671763925756,0.8564377187668466,1.6777575993276233
2.597283656590816,8,DSA,4,0.7546729171812273,0.6498916045434026,0.501861339849589
0.8249358205635353,1,SD,6,0.927218093542532,0.8056751031251473,-0.42289825592490865
1.554774045123902,5,POP,7,0.7874343458146205,0.6821105332354253,-2.019831925564112
0.7170268433691257,7,C7,1,0.856511970656772,0.8420234505927409,1.8618320420013932
0.2391717757363975,2,STY,7,0.9169378209219822,0.7631289128846109,-2.019831925564112
1.730860528371555,0,CON,5,0.5665932078098751,0.6241656878569836,0.2128707211062132
13.440766200221459,8,DSA,4,0.981242143201192,0.9285667705884754,-0.700424184079207
0.6349933792022086,9,PRG,1,0.5054591783108175,0.7319140884311206,-1.001752299100609
0.0003299918912423916,4,LIB,1,0.88314593946271,0.719227290939138,0.27497221863770954
0.5498847153726232,2,STY,6,0.580863198165968,0.8563918066233557,0.4213433008448318
0.0006199168765479234,1,SD,5,0.5925859227345971,0.36882246132503366,0.5106940782759376
1.346448737700088,4,LIB,1,0.9235349272844744,0.9285150176028276,1.4681194568394111
1.917349892889358,5,POP,7,0.8230278298049587,0.47267694526419274,-1.37623074909159
1.476286173260118,7,C7,1,0.8783867348497948,0.4906574343286082,-0.06678628769472017
0.4410727158354986,3,NAT,2,0.8480072812607831,0.8871538084477296,-1.4975444930976967
4.071452309009937,7,C7,9,0.7229496527208608,0.4808442809713823,1.4299453023018291
0.01229478367534787,3,NAT,2,0.6792676548374739,0.6898332697416362,-1.37623074909159
1.719278730872779,1,SD,6,0.9448930133721126,0.8549640136299359,-0.4283645667558936
0.006058541176272829,2,STY,6,0.8239866666735096,0.8215396670389731,-0.368732596993876
2.552328779187115,1,SD,6,0.5629377707973722,0.5151754594476902,0.852794957447062
0.9414537091563521,6,CUP,8,0.5439185069348812,0.5797373749164049,-0.03288159429532533
0.5058641076917797,5,POP,0,0.9725681002257438,0.7104451932846573,-1.3501592333256178
0.4439615606696335,7,C7,9,0.6105408983174344,0.6216910336745065,1.1649536028174552
0.3996408653851701,4,LIB,1,0.6496915231167438,0.507470735595957,1.363135837077859
0.4624709958796163,4,LIB,1,0.8260724368525107,0.9040103282178877,1.0085750099820905
1.428015819819985,0,CON,5,0.8400537477491814,0.8169401513396845,0.5761468683735013
0.2429338937292236,6,CUP,8,0.6447413027609857,0.8836175274801921,1.8618320420013932
3.918470493733673,4,LIB,1,0.7430767988076449,0.5479952941617091,1.190069762151059
0.2067115513456271,3,NAT,2,0.7053597157792889,0.7062707357758907,0.3780607715039261
0.8166083762809886,0,CON,5,0.9287234909336932,0.9206137230334859,-0.9818901370486762
4.365400726027422,5,POP,7,0.6879616105083304,0.8304031275209036,-2.019831925564112
1.096246282415298,0,CON,5,0.7673167698104789,0.9198791583324238,0.08924314030433868
0.9630476866452917,6,CUP,5,0.5510018026574423,0.5965895704897274,-0.5201605430437801
0.629386799366635,1,SD,9,0.6805826688068902,0.5590010284985018,0.41448237937615784
0.0004072386063130187,5,POP,8,0.5209518473163796,0.5126018294688268,-0.2718602935824056
0.2140746602777291,9,PRG,3,0.7631779173310687,0.9256606992185915,1.1296462973895514
0.4785934841680062,4,LIB,1,0.6832969459715448,0.6042255819469667,0.6162331244743944
0.0751036304027724,4,LIB,1,0.9288839504919464,0.947623928493133,0.7295420932156129
0.1987727312630032,9,PRG,3,0.7982730116922361,0.8978110528878347,0.6139448166349845
0.3087922321150941,7,C7,1,0.6737065980882094,0.4946630122026846,0.7733977520169267
0.09041477598903862,7,C7,5,0.8448307483306402,0.4822608512647895,-0.17475986958987585
0.01561479506978168,3,NAT,2,0.7958160320009687,0.8250297177414042,-0.2394514872204123
1.952861765681224,5,POP,7,0.9243856284673732,0.6690927776874437,-1.7985370727562966
0.3527398901159622,6,CUP,8,0.6893345729907495,0.5710336381411261,0.5429622031207119
0.8100531135914942,3,NAT,2,0.9343257848003992,0.9556061925371585,-1.5487435087737367
0.03918089706624318,1,SD,6,0.5629722138810843,0.9924738040125457,-0.9750480174399982
1.431364509604157,5,POP,0,0.8125487840856119,0.6798400378719985,-1.2760963506711787
0.8895557079455738,0,CON,5,0.93982426155256,0.9745379068432921,-0.21198913773266298
5.284381371618876,0,CON,5,0.9248817414783554,0.6856603476214584,-1.6274485322314511
1.263684063187341,9,PRG,3,0.7278046312216153,0.8656775156073172,0.8538715559623964
0.01474949523189958,9,PRG,3,0.8852417930315919,0.9132060729421193,0.6105599611670746
1.808824025557393,2,STY,6,0.7779536776251157,0.9171740597080705,-0.9271259237892819
0.5500068153256844,1,SD,9,0.913117386897956,0.6202915267666967,0.4902994072614773
0.4544752013134005,6,CUP,7,0.819081101701211,0.4621371951274915,-1.7070856577988638
2.571357524012834,4,LIB,1,0.8881988997759542,0.9015188608036195,-0.28114077764606266
0.9909049143370575,0,CON,5,0.7692345993521379,0.7828872717337082,0.5617064067890004
0.6565669181330852,2,STY,7,0.5931714471121288,0.7375197278282866,-2.019831925564112
0.6269225092663048,4,LIB,1,0.6046399049964811,0.9033816531768243,0.7335176098046048
2.429413799326555,2,STY,0,0.6509234206080082,0.6110976436407692,-0.609335793447848
0.196016337477446,9,PRG,3,0.7595898925188168,0.5526605717677703,0.289562943726833
1.022922774950709,4,LIB,1,0.7063049445240194,0.776225303252403,0.7280730323874041
1.239796613190881,5,POP,0,0.9628833787613682,0.9686055673482541,-0.840485428266702
0.6420832264964578,8,DSA,4,0.9409206154515452,0.9669762869481938,-0.003126255317129198
0.1229487202950901,1,SD,0,0.5117436512164097,0.3921749993998623,-0.36404452082985483
0.6082720158865387,4,LIB,1,0.9154684355226612,0.9423008042554282,0.21013985565900997
0.001084749655996626,6,CUP,8,0.7079345301099846,0.6471416411791657,-0.9267304587680696
0.003229070332516662,0,CON,5,0.4872055136261554,0.890035655470857,-1.0928075774118682
0.4809911659784388,8,DSA,4,0.9485479283572678,0.9681903202291007,0.14687568692400718
0.6593364657211757,0,CON,5,0.8965975123041006,0.9053676644756872,0.7741157879488482
1.072682782938148,5,POP,0,0.9485726383557944,0.9871658095013562,-0.7467958757561856
0.7850428011740745,4,LIB,1,0.7195449977982123,0.5267648427693669,1.8145551957664525
4.523329886919959,3,NAT,2,0.9571455173413664,0.9415538768862983,-0.5039214636901731
0.8255793656251403,4,LIB,1,0.8820747024413579,0.7575655982715453,0.5586143604864733
0.04055205433993397,1,SD,9,0.9531640512775454,0.9065086603783645,0.7478102192962913
0.03067532989012168,7,C7,1,0.5081912685834042,0.568912748454967,-0.7579982869877826
4.386224018079219,8,DSA,4,0.9501852420707594,0.9360549323160747,1.419122077862623
2.766036682445712,0,CON,7,0.7195391422870151,0.5621572810271702,-2.019831925564112
1.390745411407064,2,STY,6,0.9977423323452904,0.9974919866624814,0.31790698369920656
1.343748199082357,0,CON,5,0.877010628809638,0.8548743722628599,-0.700424184079207
0.3377910339744654,8,DSA,4,0.945888325021971,0.9569149643708,0.37822657030327056
0.6024871503352479,0,CON,5,0.8425412634598846,0.758458834418979,-0.08440777318554447
0.5376330770796983,6,CUP,8,0.9688729491607604,0.9663577822911603,-0.6685532422734788
1.028379478890106,5,POP,0,0.9998129829498223,0.999991492055757,1.1540000243666648
0.364200607551568,4,LIB,1,0.7931763884361211,0.5343230249856504,1.5100284190721547
0.003932947235406447,6,CUP,8,0.6848209368282229,0.7599179181672859,-0.44920640093934566
0.0001235119842065554,6,CUP,0,0.4242977713440536,0.5264815577715474,0.3983002881898309
0.22812401610728,7,C7,9,0.7123956253337465,0.6775524618336265,1.3518066444333006
0.4511447941092356,3,NAT,2,0.9084956585583082,0.9013096219759973,-0.7191146001524615
0.04119380928743494,8,DSA,4,0.9037011542432616,0.8495843111555053,0.4515107881632792
0.2120525845393567,7,C7,1,0.6761005058485687,0.8667725507053423,0.9810645038999123
0.7099132234913125,0,CON,5,0.4609813721577495,0.4697474873514416,1.1305502537508965
1.818360213576135,0,CON,5,0.6628343709185073,0.7597978362738911,-0.6002516585461082
1.608486762018628,0,CON,0,0.5096091804981592,0.7032156014546935,-0.8473791057154412
0.8775586371563711,1,SD,9,0.938643854173183,0.9424291523177891,1.331004021762787
0.5929252104060986,0,CON,5,0.6626944329593841,0.7558343708533038,1.023017900288322
0.1370660629909603,0,CON,5,0.6719995460615268,0.9222741377031553,0.5271890207172142
0.346237583039721,4,LIB,3,0.6405203493898275,0.47596196490505827,0.5536515214694743
0.3695429139216554,4,LIB,1,0.8857883936952187,0.7974147043571713,1.4515680620690419
1.007632809735253,6,CUP,8,0.870350686601762,0.9277999824373874,1.2467928939087594
0.6317330149538171,1,SD,9,0.9076975696292384,0.6410779299657849,0.681946337059494
0.5120934952090513,0,CON,5,0.6770341660487652,0.9412298801049321,-0.8335761331763704
0.0002483385669313628,9,PRG,9,0.3977979991168598,0.348295353960312,0.008688848224438802
0.09102929048062139,8,DSA,4,0.740736899534403,0.8856651037727205,-0.011433833153761789
0.2637504990772299,0,CON,5,0.8801934213462842,0.8668395065636347,0.0884675338634808
0.4196929431265994,4,LIB,1,0.9108082971068456,0.9162023208471153,0.8796652433287854
1.360897178644921,7,C7,1,0.7676842477261111,0.6199965591487171,1.1377393485248326
0.6142514523278673,4,LIB,9,0.582074329684043,0.5670599202621183,0.9015769689571203
0.8371868848016412,7,C7,1,0.486471114017369,0.4531227770937673,0.6388675473677428
6.788517428479898,1,SD,6,0.6488782155789574,0.977330442970018,-0.20167035241890297
0.2939728860723812,7,C7,5,0.7618654360607758,0.8725783566880806,0.041932946230298425
0.1583336647811306,6,CUP,5,0.4683111465850544,0.4769774335024881,-1.6205392371411198
0.1348571710462542,8,DSA,4,0.929597370854069,0.9657306777633016,1.7326677034586513
1.425841537074552,8,DSA,4,0.9015360626085928,0.8216619492961522,0.8946222210359955
1.146920427372329,2,STY,6,0.9382029878370286,0.9844630195223831,1.1050893391022578
0.821537529479376,1,SD,9,0.7185159777231652,0.7737710569809313,0.5394314309619546
0.3578181020350409,0,CON,2,0.5417095388899481,0.4918860003048139,0.36742265253478545
0.05994417668890469,1,SD,9,0.7058003498195046,0.5969332028446818,0.08402498958962466
0.05962872521462188,4,LIB,1,0.6332787147182677,0.46830294680150164,0.6603143519793265
0.2983656615413488,4,LIB,1,0.5481828544433718,0.7956338556925701,0.49905754701807425
0.3636693067942394,4,LIB,1,0.7705886478861949,0.839488392871811,1.551732152335993
0.4208599561481733,7,C7,5,0.698401792535496,0.6498269668400122,-0.6161408508877182
0.6639250735760385,1,SD,9,0.917837515100987,0.7565510526493873,0.2820764206029299
0.3817697977861823,0,CON,5,0.8934136934400384,0.8839498384888206,0.057322762869385514
0.01519157947233333,1,SD,9,0.940364208443489,0.9020765061098971,1.3568343702736745
0.4287001179492539,9,PRG,3,0.7436132388617475,0.6907515968493929,0.3491966301809395
0.3300414261771923,0,CON,5,0.7772058139921875,0.6454572429479014,0.10173003446384203
0.5580101608449218,4,LIB,1,0.865815438819306,0.9211405466090966,0.10372599046604644
1.74743628404694,0,CON,5,0.9213546276566904,0.899291570771619,0.629370525671384
0.9875526703820409,0,CON,5,0.644878136579438,0.7110732580208136,-0.6389556658978759
1.428015819819985,0,CON,5,0.4705329568342332,0.7540054895531692,0.5501636709766747
