state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_PRG,inc_NAT
11,DC,LIB_1,LIB,30.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.34,0.0,0.0,0.0,1.29,12.2,3.12,0.0,0.0
11,DC,POP_1,POP,10.36,12.86,0.0,0.0,2.81,0.0,1.6,0.0,0.0,0.0,0.0
11,DC,PRG_1,PRG,13.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0
12,FL,CON_1,CON,22.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.25,2.2,4.11,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.54,0.0,1.09,0.0,0.0,0.0,0.0,9.31,5.02,0.0,0.0
12,FL,POP_1,POP,8.62,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07
12,FL,STY_1,STY,11.14,0.7,0.0,3.59,0.0,2.67,0.0,0.0,1.5,0.0,0.0
13,GA,CON_1,CON,22.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27
13,GA,CUP_1,CUP,9.21,2.59,2.42,0.72,4.84,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,15.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
13,GA,LIB_1,LIB,12.59,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0
13,GA,STY_1,STY,9.57,2.58,0.0,8.5,0.0,1.39,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.26,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,0.87,1.8,5.34,2.47,1.85,1.51,3.35,0.0
15,HI,LIB_1,LIB,19.3,0.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,9.02,3.22,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.0,4.67
16,ID,CON_1,CON,22.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,9.55,0.88,1.41,0.0,2.35,0.0,0.0,0.0,5.91,0.0,0.0
16,ID,LIB_1,LIB,8.46,0.0,1.17,0.0,0.0,2.22,15.2,0.0,2.73,1.73,0.0
16,ID,NAT_1,NAT,15.83,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,14.84,2.62,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,9.16,0.75,5.12,5.19,0.66,0.59,0.0,0.0,0.0,0.0,0.91
17,IL,LBR_1,LBR,12.54,0.0,0.0,0.0,2.8,0.0,0.0,0.0,5.08,1.48,0.0
17,IL,LIB_1,LIB,13.24,0.0,2.31,0.0,0.0,1.12,5.61,0.0,0.0,8.56,0.0
17,IL,POP_1,POP,7.81,1.61,1.22,0.0,1.55,2.13,0.0,0.0,0.0,0.0,8.11
18,IN,CON_1,CON,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,9.78,0.72,3.57,1.69,0.58,0.0,0.0,0.0,0.0,0.0,16.37
18,IN,LBR_1,LBR,12.06,0.0,2.39,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0
18,IN,LIB_1,LIB,8.93,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,5.78,0.0
18,IN,STY_1,STY,8.1,0.0,0.0,7.02,0.0,1.53,0.0,0.0,0.57,0.0,0.0
19,IA,CON_1,CON,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.42,1.42,4.16,0.0,0.0,0.0,0.0,2.13,0.0,0.0,11.61
19,IA,LBR_1,LBR,12.84,0.0,1.66,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,LIB_1,LIB,7.34,0.0,1.67,0.0,0.0,0.0,0.0,0.0,7.34,2.78,0.0
19,IA,POP_1,POP,9.75,1.0,0.0,0.0,2.57,0.0,0.0,0.0,3.4,0.0,4.37
20,KS,CON_1,CON,25.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88
20,KS,CON_2,CON,0.0,8.08,0.67,3.41,4.28,0.0,2.76,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,9.01,0.0,0.0,0.0,0.0,0.0,2.06,0.0,5.77,0.0,0.0
20,KS,LIB_1,LIB,13.87,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.51,6.87,0.0
20,KS,STY_1,STY,8.96,0.0,0.0,6.51,0.0,0.0,0.63,4.99,0.0,0.0,0.0
21,KY,CON_1,CON,23.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,9.2,2.28,3.96,1.17,3.16,0.0,0.0,1.53,0.0,0.0,0.0
21,KY,LBR_1,LBR,11.57,0.0,0.67,0.0,0.0,0.0,0.0,10.34,4.19,0.0,0.0
21,KY,NAT_1,NAT,14.12,1.52,0.0,1.33,0.7,0.0,1.15,0.0,0.0,0.0,0.0
21,KY,STY_1,STY,10.4,1.12,0.0,9.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CON_1,CON,22.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,12.95,1.62,3.66,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.37,0.0,1.77,0.0,5.03,0.0,0.64,10.55,2.55,0.0,0.0
22,LA,NAT_1,NAT,16.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,11.0,0.76,0.0,8.98,0.0,0.0,0.72,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,14.23,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,5.27
23,ME,LBR_1,LBR,12.24,0.0,6.26,0.0,2.64,0.0,1.33,0.72,0.0,0.0,0.0
23,ME,LIB_1,LIB,18.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ME,POP_1,POP,13.83,0.0,0.0,0.0,2.02,4.71,1.23,0.0,0.0,0.0,2.79
23,ME,PRG_1,PRG,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,0.0,0.0
24,MD,CON_1,CON,14.22,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,5.22
24,MD,LBR_1,LBR,19.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
24,MD,LIB_1,LIB,11.34,0.0,5.04,0.0,1.88,0.0,0.0,0.0,0.6,11.95,0.0
24,MD,POP_1,POP,9.35,3.98,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,3.12
24,MD,STY_1,STY,7.91,0.69,4.41,0.61,0.0,1.19,1.67,0.0,2.26,0.0,0.0
25,MA,CON_1,CON,18.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93
25,MA,LBR_1,LBR,15.44,0.0,0.0,0.0,3.91,0.0,0.75,0.0,0.0,0.0,0.0
25,MA,LIB_1,LIB,15.22,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0
25,MA,POP_1,POP,5.94,0.89,8.17,0.0,2.7,0.95,1.01,0.0,0.0,0.0,2.83
25,MA,PRG_1,PRG,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61,0.0,0.0
26,MI,CON_1,CON,22.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08
26,MI,CUP_1,CUP,5.8,2.26,2.03,0.0,0.64,0.0,0.0,5.78,0.0,0.0,0.0
26,MI,LBR_1,LBR,12.64,0.0,0.77,0.0,1.67,0.0,0.0,0.0,5.59,0.0,0.0
26,MI,LIB_1,LIB,11.6,0.0,1.55,0.0,0.0,1.64,0.0,0.0,0.0,7.72,0.0
26,MI,POP_1,POP,8.68,3.72,0.0,0.0,2.82,1.4,0.0,0.0,0.0,0.0,3.47
27,MN,CON_1,CON,15.59,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,11.7,0.0,0.0,0.0,2.55,0.0,0.75,0.0,2.03,0.0,0.0
27,MN,LIB_1,LIB,16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0
27,MN,NAT_1,NAT,10.62,0.0,0.0,5.67,0.0,0.0,0.0,0.0,0.0,16.1,0.0
27,MN,POP_1,POP,10.02,0.77,9.35,0.0,2.58,0.0,0.93,0.0,0.0,0.0,0.0
28,MS,CON_1,CON,20.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.94
28,MS,LBR_1,LBR,12.09,0.0,0.0,0.0,1.22,0.0,0.0,4.1,2.8,0.0,0.0
28,MS,OAO_1,OAO,11.59,0.0,0.0,4.75,0.0,0.0,0.53,0.73,0.0,0.0,0.0
28,MS,POP_1,POP,8.51,1.6,0.0,0.0,1.05,1.56,10.55,0.0,0.0,0.0,0.73
28,MS,STY_1,STY,19.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,CON_1,CON,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05
29,MO,CUP_1,CUP,7.07,2.76,1.75,1.51,0.0,1.56,0.0,2.21,0.0,0.0,0.0
29,MO,LBR_1,LBR,12.74,0.0,0.78,0.0,1.42,0.0,0.0,0.0,8.32,0.0,0.0
29,MO,LIB_1,LIB,8.6,0.0,0.89,0.0,0.0,5.12,0.0,0.0,1.61,2.83,0.0
29,MO,STY_1,STY,9.96,4.23,0.0,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,CON_1,CON,16.44,0.0,0.0,3.18,0.0,0.0,3.87,0.0,0.0,0.0,0.0
30,MT,LBR_1,LBR,11.93,0.0,0.0,0.0,0.0,0.0,2.5,3.27,3.42,0.0,0.0
30,MT,LIB_1,LIB,15.05,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0
30,MT,NAT_1,NAT,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,STY_1,STY,8.02,1.21,0.0,0.97,0.0,1.28,3.24,0.0,1.04,0.0,4.85
31,NE,CON_1,CON,19.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,12.68,0.75,1.26,6.72,0.0,0.0,0.0,0.0,0.0,0.0,2.05
31,NE,LBR_1,LBR,14.38,0.0,0.95,0.0,4.34,0.0,0.0,0.0,8.63,0.0,0.0
31,NE,LIB_1,LIB,7.79,0.0,1.16,0.0,0.0,0.98,6.82,0.0,2.61,2.68,0.0
31,NE,POP_1,POP,9.84,0.94,0.0,0.0,3.43,0.99,0.0,0.0,0.0,0.0,9.05
32,NV,CON_1,CON,21.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04
32,NV,LBR_1,LBR,16.61,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LIB_1,LIB,10.99,0.0,3.55,0.0,0.0,0.0,0.73,0.0,0.0,7.59,0.0
32,NV,POP_1,POP,8.09,2.19,0.0,0.0,0.0,0.0,3.06,6.23,0.0,0.0,5.88
32,NV,STY_1,STY,9.14,0.0,2.63,0.0,0.0,0.0,0.85,0.0,4.01,0.0,0.0
33,NH,CON_1,CON,12.19,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.9
33,NH,LBR_1,LBR,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,LIB_1,LIB,10.38,0.0,0.0,0.0,0.0,0.0,0.98,0.0,6.42,0.0,0.0
33,NH,POP_1,POP,5.86,1.02,0.0,0.0,2.17,0.0,4.5,0.0,0.0,0.0,4.19
33,NH,PRG_1,PRG,11.84,0.0,14.15,0.0,0.0,0.0,0.0,0.52,4.61,0.0,0.0
34,NJ,CON_1,CON,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19
34,NJ,LBR_1,LBR,12.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,0.0,0.0
34,NJ,LIB_1,LIB,14.37,0.0,3.96,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
34,NJ,POP_1,POP,8.12,0.67,0.83,0.0,10.8,0.0,1.47,0.0,0.0,0.0,5.54
34,NJ,STY_1,STY,6.01,0.0,4.99,0.0,0.0,1.19,2.52,1.88,0.0,10.88,0.0
35,NM,CON_1,CON,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,CUP_1,CUP,11.52,0.0,1.69,2.04,0.75,0.0,0.0,0.0,0.0,0.0,1.53
35,NM,LBR_1,LBR,22.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LIB_1,LIB,9.95,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,7.63,0.0
35,NM,STY_1,STY,9.72,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,7.35
36,NY,CON_1,CON,15.84,0.0,4.44,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0
36,NY,LBR_1,LBR,15.37,0.0,3.31,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0
36,NY,LIB_1,LIB,12.65,0.0,2.16,0.0,0.0,0.0,0.78,0.0,0.0,9.64,0.0
36,NY,POP_1,POP,7.91,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,8.63
36,NY,STY_1,STY,7.03,0.0,0.0,1.26,0.0,2.61,3.25,6.72,1.29,0.0,0.0
37,NC,CON_1,CON,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31
37,NC,LBR_1,LBR,10.87,0.0,2.73,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0
37,NC,LIB_1,LIB,8.96,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0
37,NC,POP_1,POP,9.74,2.52,0.0,0.0,4.58,0.0,2.2,0.0,0.0,0.0,3.46
37,NC,STY_1,STY,7.98,0.68,0.68,0.0,0.0,0.78,9.45,1.06,0.71,0.0,0.0
38,ND,CON_1,CON,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,13.0,3.8,2.09,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,LBR_1,LBR,15.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0
38,ND,LIB_1,LIB,9.47,0.89,2.66,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0
38,ND,POP_1,POP,14.17,8.26,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CON_1,CON,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.09
39,OH,CUP_1,CUP,9.79,3.4,2.61,1.79,1.03,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,LBR_1,LBR,11.04,1.1,1.05,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0
39,OH,LIB_1,LIB,10.18,0.0,0.94,0.0,0.0,0.0,1.3,0.0,1.22,3.36,0.0
39,OH,POP_1,POP,9.04,1.98,0.0,0.0,8.37,0.0,0.0,0.0,0.0,0.0,1.6
40,OK,CON_1,CON,24.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,9.91,0.0,3.91,0.62,0.0,3.06,0.0,2.94,0.0,0.0,0.0
40,OK,LIB_1,LIB,9.45,0.0,1.2,0.0,0.0,6.69,0.0,0.0,1.48,1.05,0.0
40,OK,NAT_1,NAT,18.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,STY_1,STY,7.47,0.0,0.0,6.91,0.0,0.0,0.0,0.0,2.77,0.0,0.0
41,OR,CON_1,CON,12.42,0.0,0.68,6.2,0.0,0.0,3.11,0.0,0.0,0.0,0.0
41,OR,LBR_1,LBR,11.23,3.29,0.0,1.26,2.4,0.0,1.84,0.0,8.23,0.0,0.0
41,OR,LIB_1,LIB,15.58,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,NAT_1,NAT,15.61,2.48,0.0,1.46,0.0,0.82,0.0,0.0,0.0,0.0,0.0
41,OR,PRG_1,PRG,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0
42,PA,CON_1,CON,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07
42,PA,LBR_1,LBR,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0
42,PA,LIB_1,LIB,14.49,0.0,0.0,0.64,0.51,0.0,0.6,0.0,0.0,9.41,0.0
42,PA,OAO_1,OAO,6.63,0.5,0.0,1.86,0.55,0.0,1.79,9.29,0.0,0.0,0.0
42,PA,POP_1,POP,7.11,2.46,0.0,0.0,7.68,0.0,3.35,0.0,0.0,0.0,4.41
44,RI,CON_1,CON,16.84,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,4.48
44,RI,LBR_1,LBR,15.57,1.49,0.0,0.0,0.0,0.0,1.61,0.0,0.0,1.09,0.0
44,RI,LIB_1,LIB,17.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0
44,RI,POP_1,POP,8.26,2.72,2.15,0.0,2.84,0.0,0.0,0.0,0.0,0.0,2.12
44,RI,STY_1,STY,5.96,0.0,5.93,0.0,0.0,0.5,1.63,0.0,6.34,0.0,0.0
45,SC,CON_1,CON,23.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LBR_1,LBR,13.52,0.0,0.65,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0
45,SC,NAT_1,NAT,13.97,0.93,0.0,1.17,0.0,0.0,0.72,15.68,0.0,0.0,0.0
45,SC,POP_1,POP,8.96,2.77,0.0,0.0,2.94,0.0,3.85,0.0,0.0,0.0,0.0
45,SC,STY_1,STY,8.99,1.38,0.0,0.0,0.0,2.88,4.63,0.0,2.56,0.0,0.0
46,SD,CON_1,CON,19.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,12.2,0.68,4.96,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.39,0.0,0.73,0.0,1.17,0.0,0.0,14.27,4.27,0.0,0.0
46,SD,NAT_1,NAT,15.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,STY_1,STY,9.76,0.0,0.0,5.15,0.0,0.0,1.82,0.0,1.86,0.0,0.0
47,TN,CON_1,CON,30.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,13.68,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43
47,TN,CUP_1,CUP,7.76,0.0,4.18,9.06,0.0,0.66,0.0,4.25,0.0,0.0,0.0
47,TN,NAT_1,NAT,18.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,STY_1,STY,7.27,0.0,0.0,0.0,0.0,4.99,0.0,6.28,4.93,0.0,0.0
48,TX,CON_1,CON,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CUP_1,CUP,9.54,1.91,4.24,6.43,0.0,0.0,0.0,1.77,0.0,0.0,0.0
48,TX,LBR_1,LBR,13.48,0.0,1.24,0.0,0.0,0.0,0.0,9.83,4.62,0.0,0.0
48,TX,NAT_1,NAT,11.11,0.6,0.0,3.56,0.0,0.0,2.3,0.0,0.0,0.0,0.0
48,TX,STY_1,STY,11.94,0.51,0.8,0.0,0.0,2.44,0.0,0.0,2.34,0.0,0.0
49,UT,CON_1,CON,16.97,0.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,8.7,0.68,1.71,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0
49,UT,LBR_1,LBR,17.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,0.0,0.0
49,UT,POP_1,POP,11.46,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.35
49,UT,STY_1,STY,10.4,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.82,0.0,0.0
50,VT,CON_1,CON,11.98,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,5.1
50,VT,LBR_1,LBR,10.42,0.0,0.0,0.0,2.53,0.0,2.48,0.0,4.86,0.0,0.0
50,VT,LIB_1,LIB,14.03,0.0,0.0,1.29,0.0,0.83,0.0,0.0,0.0,12.81,0.0
50,VT,OAO_1,OAO,9.77,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,30.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36
51,VA,CUP_1,CUP,6.31,1.39,2.04,1.23,1.2,0.0,0.0,6.94,0.0,0.0,0.0
51,VA,LBR_1,LBR,16.14,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,10.37,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.55,11.35,0.0
51,VA,STY_1,STY,6.9,0.0,0.7,6.31,0.0,0.69,0.0,0.0,3.8,0.0,0.0
53,WA,CON_1,CON,13.45,0.0,2.43,4.89,0.5,0.0,0.0,0.0,0.0,0.0,11.79
53,WA,CUP_1,CUP,6.98,0.79,2.65,0.71,0.58,1.15,0.0,5.19,1.54,0.0,0.0
