state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_PRG,inc_NAT
1,AL,CON_1,CON,26.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.2,3.89,0.82,0.54,2.02,2.02,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.95,0.0,1.74,2.36,0.0,6.88,0.0,0.66,0.0,0.0,0.0
1,AL,NAT_1,NAT,14.82,1.22,0.0,0.0,0.0,0.0,0.0,0.0,16.23,0.0,0.0
1,AL,STY_1,STY,12.71,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.81,0.0,0.0,0.0,1.22,0.0,1.94,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.68,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.62,0.0,0.0,0.0,0.93,0.54,0.0,0.0,0.7,1.46,11.8
2,AK,STY_1,STY,11.7,0.0,0.0,5.11,0.0,1.08,0.0,0.0,4.33,0.0,0.0
4,AZ,CON_1,CON,20.31,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.23,1.15,2.32,0.0,0.0,0.0,1.32,0.0,6.01,0.0,0.0
4,AZ,LIB_1,LIB,9.33,0.0,1.18,0.0,0.0,1.1,0.0,0.0,0.0,8.48,0.0
4,AZ,NAT_1,NAT,18.14,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,STY_1,STY,6.81,2.32,0.0,6.23,0.0,2.96,0.0,3.6,1.8,0.0,0.0
5,AR,CON_1,CON,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15
5,AR,CUP_1,CUP,8.64,1.15,3.54,0.0,3.39,0.0,0.0,4.5,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.48,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.85,1.19,0.0,0.0,2.86,0.0,4.16,0.0,0.0,0.0,0.52
5,AR,STY_1,STY,5.85,1.82,1.18,0.0,0.0,0.0,0.0,7.24,7.12,0.0,0.0
6,CA,CON_1,CON,13.23,0.0,4.99,0.0,0.0,0.0,1.59,0.0,0.0,0.0,3.23
6,CA,LBR_1,LBR,16.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0
6,CA,LIB_1,LIB,14.86,0.0,2.12,0.0,0.0,0.5,0.88,0.0,0.0,0.0,0.0
6,CA,POP_1,POP,7.76,1.28,0.0,0.0,2.34,0.0,0.86,0.0,0.0,9.85,7.53
6,CA,STY_1,STY,10.96,1.5,0.0,0.0,0.0,1.88,2.62,1.49,0.0,0.0,0.0
8,CO,CON_1,CON,21.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.47,0.0,0.0,0.0,0.0,0.0,0.56,0.0,4.12,0.0,0.0
8,CO,LIB_1,LIB,13.79,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,10.87,0.0
8,CO,POP_1,POP,10.8,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17
8,CO,STY_1,STY,4.95,0.52,3.96,8.42,0.0,1.76,0.86,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,5.86,0.0,4.63,7.35,0.0,0.59,0.0,0.0,0.0,0.0,1.63
9,CT,LBR_1,LBR,13.52,0.0,0.0,0.0,3.58,0.0,0.0,0.0,2.56,0.82,0.0
9,CT,LIB_1,LIB,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86,0.0
9,CT,POP_1,POP,9.02,0.9,1.89,0.0,2.2,1.86,0.0,0.0,0.0,0.0,8.47
10,DE,CON_1,CON,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.65,14.69,1.32,0.0,0.0,1.03,0.0,0.0,0.0,6.36
10,DE,LBR_1,LBR,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.53,0.0,0.0,0.0,0.0,0.53,1.59,0.0,0.0,5.0,0.0
10,DE,STY_1,STY,5.2,0.0,0.0,2.64,0.0,3.72,4.77,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,18.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
