state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_OAO,inc_LIB,inc_POP,inc_LBR,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON
47,TN,CUP_1,CUP,7.41,4.27,0.0,0.89,0.64,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,LIB_1,LIB,5.2,0.0,0.0,0.0,0.0,0.0,2.4,0.64,0.0,0.0,0.0
47,TN,NAT_1,NAT,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CON_1,CON,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CUP_1,CUP,9.22,4.04,1.33,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LBR_1,LBR,13.23,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0
48,TX,NAT_1,NAT,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,STY_1,STY,10.13,0.0,0.0,4.35,0.0,0.0,0.0,2.39,0.0,0.0,0.0
49,UT,CON_1,CON,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,DSA_1,DSA,8.57,0.0,1.32,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0
49,UT,LBR_1,LBR,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,NAT_1,NAT,11.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,POP_1,POP,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0
50,VT,CON_1,CON,11.89,0.0,0.0,0.0,0.0,4.47,0.0,0.0,2.11,0.0,0.0
50,VT,LBR_1,LBR,9.86,0.0,0.0,0.0,0.0,0.0,0.0,4.78,2.31,2.07,0.0
50,VT,LIB_1,LIB,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,32.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_2,PRG,0.0,0.0,0.0,0.0,0.0,0.0,13.98,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LBR_1,LBR,15.6,0.76,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0
51,VA,LIB_1,LIB,10.89,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,NAT_1,NAT,12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,PRG_1,PRG,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0
