party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,72,46,18,136,16.0
1,Social Democrat,71,44,13,128,15.06
6,Civic Union Party,66,42,16,124,14.59
4,Liberal,64,27,7,98,11.53
5,Populist,52,29,15,96,11.29
2,Solidarity,51,28,7,86,10.12
3,Nationalist,34,33,12,79,9.29
9,Progressive,45,14,3,62,7.29
8,DSA,26,10,5,41,4.82
