state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_NAT,inc_LIB,inc_PRG,inc_DSA
41,OR,PRG_1,PRG,15.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52
42,PA,CON_1,CON,21.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,CUP_1,CUP,6.4,0.94,3.3,0.0,0.0,0.0,0.0,1.36,2.89,0.0,0.0
42,PA,LBR_1,LBR,13.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31
42,PA,LIB_1,LIB,13.96,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0
42,PA,POP_1,POP,7.25,2.41,0.0,0.0,5.21,0.0,0.0,9.18,0.0,0.0,0.0
44,RI,CON_1,CON,16.76,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,15.68,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,5.14
44,RI,LIB_1,LIB,16.85,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,1.24
44,RI,POP_1,POP,8.41,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0
44,RI,STY_1,STY,6.76,0.0,0.0,0.0,0.0,3.25,1.7,0.0,0.0,0.0,0.0
45,SC,CON_1,CON,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LBR_1,LBR,13.51,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88
45,SC,NAT_1,NAT,13.39,0.89,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0
45,SC,POP_1,POP,9.05,2.65,0.0,0.0,1.23,0.0,3.87,0.0,0.0,0.0,0.0
45,SC,STY_1,STY,10.11,1.34,0.0,0.0,0.0,2.72,3.56,0.0,0.0,0.0,2.59
46,SD,CON_1,CON,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,12.58,0.6,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.36,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
46,SD,NAT_1,NAT,14.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,STY_1,STY,10.96,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,30.18,0.0,0.0,0.0,0.0,0.0,6.87,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,13.39,1.95,1.52,0.0,0.0,0.0,0.75,0.0,0.0,0.0
47,TN,LBR_1,LBR,6.83,0.0,0.0,0.0,0.0,0.0,4.38,0.0,6.4,0.0,4.81
47,TN,NAT_1,NAT,17.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,STY_1,STY,8.2,0.0,0.0,5.99,0.0,1.31,3.26,0.0,0.0,0.0,1.68
48,TX,CON_1,CON,21.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
