state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct,finalist_STY_2_pct,finalist_DSA_1_pct
1,AL,STY_1,STY_1,STY,pure,2,,653.56,19,5,29.2265,0.0,15.3428,12.692,42.7387,,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,117.4,20,5,23.3828,,19.1463,,22.5688,22.6981,12.2039,,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,1056.71,23,5,26.223,,,17.5726,18.7935,21.1488,16.262,,,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,373.24,22,5,32.8495,,13.857,,9.8286,31.538,,11.9268,,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,3590.96,22,5,20.4977,,,,18.3405,23.6067,21.9702,15.5849,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,754.84,21,5,29.7338,,,,8.6597,21.8107,23.1942,16.6017,,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,442.41,22,5,25.5855,,,,10.1235,19.4153,27.0175,17.8582,,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,197.14,20,5,34.2538,0.0,,,11.0378,32.3006,22.4078,,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,107.53,19,5,,,,,,34.6367,28.4145,24.6804,0.0,12.2684,,,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2866.91,23,5,29.3403,,17.451,,16.8305,27.0683,,9.3098,,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1330.37,20,5,29.8784,,14.83,,13.8601,31.7341,,9.6974,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,185.17,20,5,28.5607,,,,,31.8212,25.2481,14.3701,,,0.0,,,
16,ID,CON_1,CON_1,CON,pure,0,,295.75,20,5,35.4654,,12.6905,,,20.8162,12.2048,18.8231,,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1330.12,22,5,26.3138,,15.4621,,,24.1794,20.7416,13.3031,,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,901.97,22,5,35.3156,,15.4592,,17.3134,17.9129,13.9989,,,,,,,
19,IA,LBR_1,LBR_1,LBR,pure,1,,405.17,23,5,22.6674,,15.7163,13.3539,18.6979,29.5645,,,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,338.31,20,5,42.0098,0.0,,,20.9298,17.9338,19.1266,,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,648.14,22,5,32.3125,,15.3151,,14.6924,25.4042,,12.2758,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,459.15,19,5,24.3431,,19.2841,14.4697,19.8121,22.0911,,,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,221.72,24,5,23.7227,,,,8.271,21.4838,28.2292,18.2933,,,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,710.07,22,5,24.2662,,,,12.806,26.7113,22.3663,13.8501,,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,722.07,23,5,27.5421,,,,9.5944,26.1844,27.2199,9.4592,,,,,,
26,MI,CON_1,CON_1,CON,pure,0,,1211.59,20,5,36.1361,,,,10.5353,21.5676,17.9746,13.7864,,,,,,
27,MN,CON_1,CON_1,CON,pure,0,,653.69,23,5,22.6739,,,,,20.3026,26.7002,21.2424,,,,9.0809,,
28,MS,STY_1,STY_1,STY,pure,2,,396.71,19,5,33.8209,,,,35.4721,19.2582,,,,,,11.4488,0.0,
29,MO,LBR_1,LBR_1,LBR,pure,1,,859.43,21,5,36.8956,,,,16.5044,22.7555,12.294,11.5506,,,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,234.38,22,5,24.2144,,,21.1734,17.2829,19.1601,18.1692,,,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,267.04,22,5,25.1576,,18.046,,12.4939,30.2643,,14.0383,,,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,641.26,21,5,30.0536,,,,14.98,21.7357,18.6285,14.6023,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,241.37,22,5,20.9891,,15.8118,,,29.7906,,,,,,13.4768,,19.9317
34,NJ,LBR_1,LBR_1,LBR,pure,1,,1059.22,22,5,32.2005,,9.7984,,13.6686,20.9394,23.393,,,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,374.36,21,5,25.8552,,19.4643,,15.321,39.3595,,,,,0.0,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,2102.06,23,5,26.9391,,10.9205,,17.6749,24.171,20.2946,,,,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1320.9,23,5,35.6043,,,,14.5678,18.2393,16.9926,14.5959,,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,101.37,22,5,28.0125,,17.0609,,,23.6338,15.0253,16.2674,,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1565.46,22,5,37.9479,,14.5865,,16.9697,17.0224,13.4735,,,,,,,
40,OK,STY_1,STY_1,STY,pure,2,,549.8,23,5,24.4404,,24.3409,15.8211,25.8747,,,9.5229,,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,791.17,23,5,23.3397,,,,,26.5611,16.3947,18.2687,,15.4357,,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1996.77,22,5,33.1549,,,,9.2402,21.0464,23.1877,13.3707,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,148.81,24,5,25.8752,,,,10.4671,25.2304,27.398,11.0294,,,,,,
45,SC,LBR_1,LBR_1,LBR,pure,1,,660.61,21,5,33.2583,,11.1461,,15.1965,28.6228,,11.7763,,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,127.86,22,5,32.3769,,19.376,,20.6544,15.4761,12.1166,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,1037.58,20,5,48.714,0.0,14.9541,,18.3426,17.9893,,,,,,,,
48,TX,LBR_1,LBR_1,LBR,pure,1,,3201.05,22,5,29.8158,,15.7142,,18.7672,26.8495,,8.8532,,,,,,
49,UT,LBR_1,LBR_1,LBR,pure,1,,416.17,22,5,23.931,,11.6847,,15.1604,34.8377,,14.3862,,,,,,
50,VT,LBR_1,LBR_1,LBR,pure,1,,99.27,23,5,28.1546,,,,,23.4846,14.3158,7.1912,,26.8538,,,,
51,VA,LBR_1,LBR_1,LBR,pure,1,,1206.52,22,5,33.7151,,9.969,,15.2464,22.7527,18.3169,,,,,,,
