state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1
1,AL,CON_1,POP_1,CON_1,661,4,44.44,9.53,22.92,8.64,14.47
2,AK,LBR_1,CUP_1,LBR_1,105,4,24.62,17.55,32.43,15.38,10.02
4,AZ,CON_1,POP_1,POP_1,1159,4,30.07,6.39,21.92,18.74,22.87
5,AR,CON_1,POP_1,POP_1,390,4,36.29,11.49,26.94,11.62,13.67
6,CA,LBR_1,LIB_1,LBR_1,3626,4,18.65,8.85,26.87,26.16,19.47
8,CO,LBR_1,LIB_1,LBR_1,785,4,28.0,6.47,21.61,26.52,17.4
9,CT,CON_1,LBR_1,LBR_1,465,4,24.99,7.84,19.9,30.34,16.94
10,DE,LBR_1,LIB_1,LBR_1,164,4,30.32,11.28,27.45,23.45,7.5
11,DC,LBR_1,POP_1,LBR_1,122,4,9.65,4.74,28.33,45.85,11.43
12,FL,LBR_1,CUP_1,LBR_1,3350,4,33.26,14.7,26.11,13.03,12.91
13,GA,LBR_1,LIB_1,LBR_1,1489,4,33.36,13.14,24.31,17.36,11.84
15,HI,LBR_1,LIB_1,LBR_1,153,4,24.44,10.62,26.68,25.52,12.74
16,ID,CON_1,POP_1,POP_1,244,4,38.48,11.23,18.88,14.5,16.91
17,IL,LBR_1,LIB_1,LBR_1,1758,4,27.42,13.74,21.89,24.4,12.54
18,IN,CON_1,CUP_1,CUP_1,978,4,37.0,13.12,21.54,16.83,11.51
19,IA,CON_1,CUP_1,CON_1,490,4,38.1,12.23,23.23,14.37,12.07
20,KS,CON_1,POP_1,LBR_1,385,3,36.63,8.71,19.42,22.39,12.86
21,KY,CON_1,POP_1,CON_1,674,4,36.24,13.43,21.26,12.28,16.8
22,LA,CON_1,CUP_1,CON_1,493,4,40.31,16.52,14.86,12.97,15.34
23,ME,LIB_1,LBR_1,LBR_1,236,4,20.59,6.15,22.36,32.66,18.25
24,MD,LBR_1,LIB_1,LBR_1,791,4,20.76,8.66,27.84,26.71,16.03
25,MA,LBR_1,LIB_1,LBR_1,906,4,26.32,5.75,27.33,30.19,10.42
26,MI,CON_1,POP_1,POP_1,1531,3,35.41,8.24,21.14,20.59,14.62
27,MN,LIB_1,POP_1,LBR_1,811,4,22.77,9.06,16.35,33.71,18.11
28,MS,CON_1,POP_1,CON_1,349,4,34.09,15.03,27.7,6.11,17.08
29,MO,CON_1,POP_1,POP_1,1047,4,37.16,9.29,25.47,14.4,13.67
30,MT,CON_1,POP_1,POP_1,185,3,35.18,8.77,19.66,21.29,15.1
31,NE,LBR_1,POP_1,LBR_1,286,4,27.84,13.42,26.85,14.69,17.19
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.57,6.28,25.59,21.16,18.4
33,NH,LBR_1,LIB_1,LBR_1,252,4,24.24,10.08,30.0,24.41,11.27
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,24.88,10.17,22.06,27.47,15.41
35,NM,LBR_1,LIB_1,LBR_1,309,4,21.81,13.82,31.44,19.4,13.54
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.74,10.1,27.37,24.27,14.51
37,NC,CON_1,POP_1,POP_1,1444,3,34.82,9.8,21.02,19.13,15.23
38,ND,CON_1,CUP_1,CUP_1,90,4,30.2,15.25,21.74,17.97,14.85
39,OH,CON_1,POP_1,CON_1,1978,4,36.81,12.52,20.73,16.19,13.76
40,OK,CON_1,CUP_1,CON_1,537,4,41.75,13.98,17.08,13.54,13.65
41,OR,LIB_1,LBR_1,LBR_1,810,4,20.33,5.28,23.25,34.24,16.9
42,PA,CON_1,LBR_1,LBR_1,2418,4,30.22,8.59,22.07,26.09,13.03
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.41,8.13,23.36,31.09,14.01
45,SC,CON_1,POP_1,POP_1,736,4,36.87,9.42,27.93,12.4,13.38
46,SD,CON_1,CUP_1,CUP_1,137,4,34.32,16.13,17.56,14.98,17.0
47,TN,CON_1,none,CON_1,1065,1,51.52,12.11,16.98,8.38,11.02
48,TX,CON_1,CUP_1,POP_1,3392,4,34.29,14.55,26.84,12.03,12.29
49,UT,LBR_1,POP_1,LBR_1,387,4,26.96,10.41,32.55,12.49,17.6
50,VT,LIB_1,LBR_1,LBR_1,105,4,24.37,7.01,17.24,45.9,5.48
51,VA,LBR_1,LIB_1,LBR_1,1234,4,32.3,8.43,24.83,21.98,12.46
53,WA,LBR_1,LIB_1,LBR_1,1112,4,19.86,9.95,25.11,29.5,15.58
54,WV,CON_1,CUP_1,CON_1,335,4,38.52,14.43,24.46,9.16,13.43
55,WI,LBR_1,LIB_1,LBR_1,1088,4,32.88,9.13,19.96,21.59,16.44
56,WY,POP_1,LIB_1,CON_1,70,4,40.42,10.38,13.52,15.93,19.75
