candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CUP_1,14071.175907006873,14570.570321960147,499.39,1.7436,True,10,LBR_1
CON_1,LBR_1,13522.830921123248,15118.91530784377,1596.08,5.5726,True,8,LBR_1
CON_1,LIB_1,17156.575282768063,11485.170946198954,5671.4,19.8012,True,5,LBR_1
CON_1,POP_1,11829.167361655916,16812.578867311102,4983.41,17.3991,True,6,LBR_1
CUP_1,LBR_1,11158.645509061122,17483.100719905895,6324.46,22.0812,True,4,LBR_1
CUP_1,LIB_1,18427.710751066574,10214.035477900446,8213.68,28.6773,True,3,LBR_1
CUP_1,POP_1,14752.567279901272,13889.178949065747,863.39,3.0144,True,9,LBR_1
LBR_1,LIB_1,22514.940572040578,6126.805656926444,16388.13,57.2177,True,1,LBR_1
LBR_1,POP_1,15458.502829854471,13183.24339911255,2275.26,7.9439,True,7,LBR_1
LIB_1,POP_1,9799.203677222158,18842.54255174486,9043.34,31.574,True,2,LBR_1
