state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_STY_1
1,AL,CON_1,CUP_1,CON_1,661,3,45.75,11.77,13.64,8.42,20.41
2,AK,LBR_1,CUP_1,STY_1,105,4,26.46,17.94,22.62,14.84,18.15
4,AZ,CON_1,STY_1,STY_1,1159,3,42.77,6.33,17.63,18.28,14.98
5,AR,CON_1,STY_1,STY_1,390,4,36.29,12.93,23.04,11.3,16.44
6,CA,LBR_1,LIB_1,LBR_1,3626,4,27.9,8.49,21.5,25.44,16.67
8,CO,LBR_1,LIB_1,LBR_1,785,4,35.43,6.4,19.08,25.91,13.18
9,CT,CON_1,LBR_1,LBR_1,465,4,33.1,10.17,16.98,29.69,10.06
10,DE,LBR_1,LIB_1,LBR_1,164,4,32.98,10.82,25.38,23.01,7.8
11,DC,LBR_1,STY_1,LBR_1,122,4,9.68,8.31,27.44,44.96,9.62
12,FL,LBR_1,CUP_1,STY_1,3350,4,33.92,16.34,19.34,12.62,17.78
13,GA,LBR_1,STY_1,STY_1,1489,4,35.65,12.03,19.67,16.85,15.81
15,HI,LBR_1,LIB_1,LBR_1,153,4,27.75,10.73,25.11,25.02,11.4
16,ID,CON_1,CUP_1,STY_1,244,4,41.7,15.98,16.68,14.15,11.49
17,IL,LBR_1,LIB_1,LBR_1,1758,4,32.04,13.86,19.22,23.84,11.05
18,IN,CON_1,CUP_1,STY_1,978,4,38.27,14.38,17.41,16.39,13.56
19,IA,CON_1,STY_1,STY_1,490,4,38.87,12.57,19.2,14.02,15.34
20,KS,CON_1,STY_1,STY_1,385,3,40.96,6.56,15.19,21.78,15.5
21,KY,CON_1,CUP_1,CON_1,674,3,40.75,14.33,16.54,11.91,16.47
22,LA,CON_1,CUP_1,CON_1,493,4,42.6,16.5,13.14,12.56,15.19
23,ME,LIB_1,LBR_1,LBR_1,236,4,27.68,6.68,19.58,31.98,14.08
24,MD,LBR_1,LIB_1,LBR_1,791,4,26.86,8.26,24.94,26.06,13.87
25,MA,LBR_1,LIB_1,LBR_1,906,4,29.1,7.92,23.65,29.54,9.8
26,MI,CON_1,STY_1,STY_1,1531,3,40.11,8.36,19.16,20.11,12.26
27,MN,CON_1,LBR_1,LBR_1,811,4,30.14,8.28,15.26,33.07,13.25
28,MS,STY_1,LBR_1,STY_1,349,4,35.29,14.78,17.78,5.87,26.28
29,MO,CON_1,STY_1,STY_1,1047,4,39.37,10.32,21.06,13.97,15.28
30,MT,CON_1,STY_1,CON_1,185,3,44.03,9.7,15.5,20.77,10.01
31,NE,LBR_1,CUP_1,STY_1,286,4,34.02,17.8,21.25,14.31,12.62
32,NV,LBR_1,LIB_1,STY_1,573,4,36.88,6.6,20.2,20.61,15.71
33,NH,LBR_1,LIB_1,LBR_1,252,4,29.9,12.12,26.72,23.87,7.38
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,33.4,9.01,20.05,26.85,10.69
35,NM,LBR_1,LIB_1,LBR_1,309,4,28.07,15.24,26.42,18.83,11.45
36,NY,LBR_1,LIB_1,LBR_1,2585,4,28.55,10.12,23.49,23.66,14.19
37,NC,STY_1,LIB_1,STY_1,1444,4,39.12,10.26,16.73,18.63,15.27
38,ND,CON_1,CUP_1,STY_1,90,4,36.31,16.75,19.1,17.52,10.32
39,OH,CON_1,CUP_1,STY_1,1978,3,40.56,13.56,16.6,15.75,13.52
40,OK,CON_1,CUP_1,CON_1,537,4,42.97,14.44,10.47,13.21,18.91
41,OR,LIB_1,LBR_1,LBR_1,810,4,31.7,5.0,20.97,33.6,8.73
42,PA,LBR_1,LIB_1,LBR_1,2418,4,36.41,8.93,18.58,25.5,10.58
44,RI,LBR_1,LIB_1,LBR_1,176,4,25.98,8.29,21.78,30.41,13.54
45,SC,CON_1,STY_1,STY_1,736,4,39.61,10.84,19.91,12.04,17.62
46,SD,CON_1,CUP_1,STY_1,137,4,35.7,18.27,15.31,14.27,16.45
47,TN,CON_1,none,CON_1,1065,1,52.25,12.88,11.94,8.14,14.79
48,TX,CON_1,STY_1,STY_1,3392,4,36.26,14.7,18.67,11.63,18.73
49,UT,LBR_1,STY_1,STY_1,387,4,30.96,11.35,25.38,12.09,20.22
50,VT,LIB_1,LBR_1,LBR_1,105,4,25.41,7.72,15.17,45.06,6.64
51,VA,LBR_1,LIB_1,STY_1,1234,4,35.77,9.15,21.81,21.43,11.84
53,WA,LBR_1,LIB_1,LBR_1,1112,4,28.9,10.14,22.54,28.83,9.59
54,WV,STY_1,LBR_1,STY_1,335,4,38.3,17.94,15.56,8.84,19.35
55,WI,LBR_1,LIB_1,STY_1,1088,4,38.86,10.13,18.67,21.07,11.27
56,WY,STY_1,LIB_1,CON_1,70,4,40.19,13.98,12.71,15.52,17.6
