candidate_code,candidate_name,variable,label,scale,domain,overall_mean,candidate_mean,delta,delta_pct_range
MW,SD,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.0406,-0.2987,-40.71
MW,SD,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.6357,-0.0241,-3.55
MW,SD,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.6054,0.2371,23.72
MW,SD,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,4.0527,0.5695,20.39
MW,SD,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,3.918,0.3802,17.09
MW,SD,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,2.3782,0.0129,0.7
MW,SD,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,1.8687,-0.0411,-2.26
MW,SD,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.3973,-0.0127,-2.52
MW,SD,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.2184,0.0309,6.95
MW,SD,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,2.4795,-0.5737,-21.74
MW,SD,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,2.3186,-0.3919,-26.82
MRJ,STY,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,4.0458,-0.3009,-20.79
MRJ,STY,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,3.1641,0.0442,5.13
MRJ,STY,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,1.7436,0.132,14.61
MRJ,STY,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.3947,0.0238,2.9
MRJ,STY,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.4126,0.0661,7.15
MRJ,STY,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.2912,0.0957,21.42
MRJ,STY,CC24_323a,Oppose legal status for working immigrants,"1=Lib (support legal status), 2=Con (oppose); HIGH=con",Immigration,1.4077,1.249,-0.1587,-15.9
MRJ,STY,CC24_323b,Increase border patrols,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.2043,1.3519,0.1476,18.07
MRJ,STY,CC24_323d,Oppose Dreamers pathway to citizenship,"1=Lib (support pathway), 2=Con (oppose); HIGH=con",Immigration,1.296,1.1332,-0.1628,-16.33
MRJ,STY,CC24_321b,Support easier concealed carry permits,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.6107,1.6342,0.0235,2.59
MRJ,STY,CC24_321d,Increase police funding 10%,"1=Oppose, 2=Support (HIGH=con)",Guns/Policing,1.4328,1.6504,0.2176,21.82
