,Label,Domain,PID_R2,F1,F2,F3,F4,F5,h2
pew_churatd,Church attendance frequency,Religion,0.059,-0.023191917944001345,0.08107146860798553,-0.17619738498464668,-0.14894252389605622,0.43970689672157653,0.25508720047586786
CC24_302,HH income: change past year,Econ,0.059,0.09821392218505423,-0.24264878857635344,-0.008837924342099937,0.10332938631965131,0.13895175664951692,0.15321340265155267
CC24_303,Perceived price change past year (high=inflation),Econ,0.116,0.2020587112009919,-0.24487192752475517,0.024585395629932297,0.07793789550379321,0.2278164200994561,0.25175131700782294
CC24_341a,Support extend 2017 tax cuts,Tax,0.152,0.2537089317049248,-0.1359430606998806,0.07757954658946856,-0.1134538604055857,0.5377509529924588,0.4885348837653899
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],Tax,0.182,0.08137004404786138,0.010791988813073645,-0.08335607915145045,0.3554209849110583,0.48432404631161496,0.5556342439623305
CC24_341d,Oppose $150B infrastructure spending [rev],Tax,0.066,-0.08031610906321925,-0.07219824412415234,-0.1808418890800878,0.22329819893322517,0.36454862025722656,0.29055017055612753
CC24_323a,Oppose grant legal status to immigrants [rev],Immigration,0.237,0.472652115070951,-0.0596599147628298,-0.06445887293141962,0.47573529119942387,0.13154138788186964,0.7236067638655863
CC24_323b,Support increase border patrols,Immigration,0.097,0.769053039271036,0.11197336181516347,-0.035898732970629496,-0.0033033716724476083,-0.005941609149692172,0.6130186800304155
CC24_323d,Oppose Dreamers citizenship pathway [rev],Immigration,0.204,0.45806561026055725,-0.13327964581695068,-0.07394049437803324,0.42921123923496574,0.156449564185534,0.7193092926855147
CC24_321b,Support easier concealed carry permits,Guns,0.195,0.19871535969098655,-0.07223816702826924,0.05401750014911046,0.23489178389586807,0.4738796906484281,0.5060862241807548
CC24_321d,Support increase police by 10%,Policing,0.152,0.7671187523048055,-0.003859482912469726,-0.05860501182364216,-0.1383791722740325,0.07228305570745004,0.6709414720430125
CC24_321e,Oppose decrease police by 10% [rev],Policing,0.118,0.7226782079050329,0.09076658201124377,-0.10325437202645012,-0.004936971489912591,0.008651372050374114,0.5952074631255824
CC24_325,Abortion weeks limit (high=restrictive),Abortion,0.253,0.1563931350510847,-0.09648487950819346,-0.20316356923091142,-0.07595467334359578,0.49304423802231645,0.5138213326754817
CC24_324b,Support permit abortion only rape/incest/life,Abortion,0.109,0.26523849688924944,-0.08137295820342533,-0.10182378054497775,-0.17441745498739866,0.3581723218967768,0.36582300144034186
CC24_340a,Oppose prohibit contraceptive restrictions [rev],CivRights,0.029,-0.007131226938621677,-0.022756606290690425,-0.9467855519376153,-0.039147282029865546,-0.08831925901196329,0.8373386290370046
CC24_340b,Oppose prohibit abortion restrictions [rev],CivRights,0.111,0.035183144616996634,0.027503088222791103,-0.6720753121999139,0.10276752473783053,0.21429600511318378,0.6636411607235811
CC24_340c,Oppose require same-sex marriage recognition [rev],CivRights,0.198,0.12543164080569386,-0.06334991066367729,-0.2940028243940309,0.05908207807523122,0.48164472611424536,0.5906356397311048
CC24_340e,Support renew post-9/11 surveillance programs,CivRights,0.0,0.4190023681433484,-0.01741512051351876,0.012626165820019266,-0.5176112821319042,-0.14653159531086962,0.3330741959834742
CC24_340f,Support deny asylum at border,CivRights,0.23,0.74099406358,-0.03323382529390308,0.043307716156660146,0.0952986049079195,0.15591619006461022,0.7388649064534939
CC24_440b,Agree: racial problems are rare/isolated,Racial/Gender,0.231,0.22069794750452587,0.07874353387569248,-0.015934460924965005,0.14943744405946874,0.47505192857465534,0.4694445766428421
CC24_440c,Agree: women seek power over men,Racial/Gender,0.154,0.13968075501774194,-0.0840039377790849,-0.08736570790703534,0.017624737618937535,0.428629787507084,0.3504950442568747
CC24_421_1,Disagree: U.S. elections are fair (distrust),Elect Trust,0.011,-0.10700058610116898,-0.7853647801246941,0.004243328796052221,-0.03394178141159059,0.0979747010056309,0.6345188574412238
CC24_421_2,Disagree: state/local election fair (distrust),Elect Trust,0.007,-0.02423444599898774,-0.8610621527573331,-0.044930443121633974,-0.13813528497092928,0.053070748368351406,0.7311134454366834
CC24_423,Low trust: federal government,Govt Trust,0.022,0.030917902023569543,-0.5380301389850863,0.045085731010271045,0.3874059705001918,-0.15018998700318265,0.5025563849788651
CC24_424,Low trust: state government,Govt Trust,0.005,0.04632422221345764,-0.6032522280392427,-0.010054299114169912,0.2382478860118298,-0.21908555322435375,0.46176069675480086
