,Label,Domain,PID_R2,F1,F2,F3,F4,h2
pew_churatd,Church attendance frequency,Religion,0.059,0.15544267838336442,-0.06824146259175966,0.3837281310257722,0.08347927466600684,0.22365363087994922
CC24_302,HH income: change past year,Econ,0.059,0.19675988537161404,0.24721132419780248,0.035678635102433506,-0.1048425419551481,0.15385020363823193
CC24_303,Perceived price change past year (high=inflation),Econ,0.116,0.35390743417909065,0.24816848810521433,0.03304112537353809,-0.08455455555264547,0.24944572010467
CC24_341a,Support extend 2017 tax cuts,Tax,0.152,0.5507074823024792,0.14183885966350235,0.12081766497982821,0.04650852512153068,0.41329574298080685
CC24_341c,Oppose allow $400k+ tax rates to rise [rev],Tax,0.182,0.36996558514743305,0.004550986431960597,0.25072910303627755,-0.39564881363201443,0.5416756319023007
CC24_341d,Oppose $150B infrastructure spending [rev],Tax,0.066,0.10721190338140185,0.08826957167080816,0.32309659604066415,-0.2627703624226012,0.28540290655302475
CC24_323a,Oppose grant legal status to immigrants [rev],Immigration,0.237,0.6054838149869176,0.05673061614667988,0.04434550390169411,-0.40370947253373923,0.689980901901969
CC24_323b,Support increase border patrols,Immigration,0.097,0.7762436362584075,-0.13393837268483735,-0.015440833380678606,0.09258993351473238,0.5756714244043408
CC24_323d,Oppose Dreamers citizenship pathway [rev],Immigration,0.204,0.6019851254651707,0.13080394925313013,0.061948729109366565,-0.36654911095451403,0.697228991301657
CC24_321b,Support easier concealed carry permits,Guns,0.195,0.5059689769693395,0.08607281682470763,0.0917151877584101,-0.2707523203884699,0.48028634148665933
CC24_321d,Support increase police by 10%,Policing,0.152,0.8007194940504561,-0.018295773123292315,0.04701875930960894,0.21195291796080631,0.6521711626199106
CC24_321e,Oppose decrease police by 10% [rev],Policing,0.118,0.7149136965200497,-0.1130022675190124,0.07407413808245292,0.08974152788158113,0.5519560703352452
CC24_325,Abortion weeks limit (high=restrictive),Abortion,0.253,0.3771616747761956,0.10616259677990957,0.4095535674520585,0.03228568884256695,0.4952709248825306
CC24_324b,Support permit abortion only rape/incest/life,Abortion,0.109,0.4292430920506452,0.08447510486592112,0.24299458178921482,0.15227306688589623,0.35218137376420383
CC24_340a,Oppose prohibit contraceptive restrictions [rev],CivRights,0.029,-0.13004989946063042,0.024095384664021134,0.7835414391259928,0.08832322746434505,0.5257061007888644
CC24_340b,Oppose prohibit abortion restrictions [rev],CivRights,0.111,0.027501611462763077,-0.026148682863892613,0.7930458490835955,-0.08105682825066031,0.6680926584995165
CC24_340c,Oppose require same-sex marriage recognition [rev],CivRights,0.198,0.34122368582688095,0.07515822224643813,0.48906956819690045,-0.09190953188050398,0.5890856326055758
CC24_340e,Support renew post-9/11 surveillance programs,CivRights,0.0,0.30309917879610826,0.0014862653829451368,-0.06873411223557238,0.5739844408497135,0.33951345979731073
CC24_340f,Support deny asylum at border,CivRights,0.23,0.8787474168669057,0.01964994909656301,-0.05496991335052387,-0.027235828098889414,0.7386839727844926
CC24_440b,Agree: racial problems are rare/isolated,Racial/Gender,0.231,0.5020848736050834,-0.0654950608625277,0.17645404518692465,-0.18348717513029064,0.4450350629614399
CC24_440c,Agree: women seek power over men,Racial/Gender,0.154,0.3685438505216069,0.09633788708667677,0.24270570194767438,-0.054864999542429856,0.3292268349149062
CC24_421_1,Disagree: U.S. elections are fair (distrust),Elect Trust,0.011,-0.04546257212343915,0.7995734473796487,0.02133687741771053,0.018642770072537194,0.6335451785384333
CC24_421_2,Disagree: state/local election fair (distrust),Elect Trust,0.007,-0.004872258624791858,0.8777342098902704,0.055982744397956155,0.14456551402298573,0.744126504287848
CC24_423,Low trust: federal government,Govt Trust,0.022,0.011794978707835758,0.5290001224445422,-0.1503748265089769,-0.3380484417908975,0.4686866220691977
CC24_424,Low trust: state government,Govt Trust,0.005,-0.03692313602051561,0.5867462870370121,-0.1099976770431865,-0.1801849209183618,0.41435466297325474
