,pew_churatd,CC24_302,CC24_303,CC24_341a,CC24_341c,CC24_341d,CC24_323a,CC24_323b,CC24_323d,CC24_321b,CC24_321d,CC24_321e,CC24_325,CC24_324b,CC24_340b,CC24_340c,CC24_340e,CC24_340f,CC24_440b,CC24_440c,CC24_421_1,CC24_421_2,CC24_423,CC24_424,CC24_330a,CC24_301,CC24_312a,CC24_312i
pew_churatd,1.0,0.05052053143652578,0.17397385877523358,0.2898859138530949,0.2469310876994991,0.2138052449020034,0.20532300727787944,0.24030837434721772,0.1759271047765676,0.21883618860707496,0.2981868873459608,0.26510262482079183,0.4299531493335348,0.2776927236780645,0.31868305450158557,0.4448642589789144,0.06808168350100105,0.26025489800707696,0.23711106837064294,0.22295448615520944,-0.0038029853278673063,0.013502348908597264,-0.06219361676253128,-0.0739948698108857,0.37030559478648295,0.19284162758351747,0.21999981182923015,0.25377425583249585
CC24_302,0.05052053143652578,1.0,0.32218269680071,0.25253522520603316,0.2251045703506208,0.18010149500366582,0.2831157921477251,0.14539691808959976,0.31304220896234125,0.24724429248589355,0.18305708587067118,0.1545035868968424,0.23682791006890566,0.19629375316355638,0.1624885336921898,0.2546756947154489,-0.053569820801061624,0.2793079642624178,0.18657376549037885,0.18102243909718557,0.22206084933661216,0.21716239072428054,0.22618731604882525,0.16537607038801594,0.2710498474097946,0.5174772862088004,0.40822585850930637,0.40097612556670637
CC24_303,0.17397385877523358,0.32218269680071,1.0,0.3897486074997184,0.3339632248213569,0.24605613931634734,0.3919354521829957,0.22172452090448436,0.4131171163203111,0.3537438079345817,0.33064310302843153,0.24709958817449923,0.35993919242367267,0.26901986424357366,0.25694690029526096,0.3678652358376939,-0.0448808886449808,0.3876944982689126,0.23554246855374628,0.24375709139438845,0.2463285534406274,0.21179389773757148,0.2519720818739512,0.17705793586169402,0.42032057378971166,0.6370827829333121,0.5373252871440546,0.5397404437527542
CC24_341a,0.2898859138530949,0.25253522520603316,0.3897486074997184,1.0,0.5155993964673387,0.29981566838633,0.4465323222387588,0.37661533747243053,0.4550420535168806,0.492984434125609,0.5016686510359555,0.4016516245764781,0.4870876871348565,0.4545443963095219,0.40181143784545803,0.47322071111332886,0.10577392580144435,0.5444971895407157,0.47143353891959944,0.42108777439275535,0.16728936317416895,0.18974634315259842,0.0730389768182133,0.030062956988102036,0.5543018645546824,0.5309341549678339,0.5643952382267974,0.5698400139384534
CC24_341c,0.2469310876994991,0.2251045703506208,0.3339632248213569,0.5155993964673387,1.0,0.4855926537852259,0.5757002127460108,0.38922985831083073,0.5360903804508685,0.5562817072564792,0.4481203785465091,0.49561818248612194,0.4441708483842225,0.30159158312895207,0.46242901730693897,0.4696458521763413,-0.18967498674005934,0.5202681255013828,0.5319226308281771,0.38913429965298385,0.1466458101440356,0.14143382048873596,0.21320802840230887,0.1171948372657444,0.5916309977696176,0.49597302380542885,0.6372691999137292,0.6626178968663747
CC24_341d,0.2138052449020034,0.18010149500366582,0.24605613931634734,0.29981566838633,0.4855926537852259,1.0,0.3930677608940392,0.16663572134423518,0.4255089579582137,0.3353341450374702,0.23085554080666792,0.2912557031237802,0.35208085954970453,0.189567831532487,0.327594784403922,0.36308113375863504,-0.08410675147016365,0.34423016135228707,0.3387985050023888,0.29103013327077887,0.18817297421986967,0.18675416268037043,0.13905371700469735,0.11635072486823524,0.404811810310503,0.3952924381016018,0.4888788464568842,0.48433413232865824
CC24_323a,0.20532300727787944,0.2831157921477251,0.3919354521829957,0.4465323222387588,0.5757002127460108,0.3930677608940392,1.0,0.5243869344600881,0.8230341392369602,0.5472061986137409,0.46558444608432226,0.5060667387882581,0.4447157698311843,0.3437616280529981,0.42802989495387395,0.5303795554438954,-0.11956703747522252,0.6791256394788319,0.5169905603533933,0.4014632135220356,0.18148813421556034,0.16920561241494092,0.25225702224983687,0.1573996381441078,0.6173447004460468,0.5537457307899513,0.6806499153605094,0.7113853457747585
CC24_323b,0.24030837434721772,0.14539691808959976,0.22172452090448436,0.37661533747243053,0.38922985831083073,0.16663572134423518,0.5243869344600881,1.0,0.5213791904250964,0.4484717391960639,0.6175408422237014,0.6021058968425475,0.45915103639617827,0.42130201752939933,0.36200347332995075,0.4724797776537721,0.1482691819752357,0.7034776046998386,0.4250458876078121,0.36102144719138624,-0.08005442661486989,-0.02611935551809065,-0.0380127894009202,-0.03763914005266958,0.5801185518517165,0.281692785322839,0.3742572310204323,0.42088257115554517
CC24_323d,0.1759271047765676,0.31304220896234125,0.4131171163203111,0.4550420535168806,0.5360903804508685,0.4255089579582137,0.8230341392369602,0.5213791904250964,1.0,0.5763005837818115,0.481505253951103,0.49597213930344886,0.4722504315367913,0.3654813873982984,0.4232621229744635,0.5775754025921581,-0.11030327580731107,0.6959407300705447,0.5200217315320219,0.45010636932862075,0.2302954704157308,0.21705207409332894,0.2577347589302774,0.17090557890089147,0.6131490405719392,0.581727910534655,0.7125372303891052,0.7262470751390062
CC24_321b,0.21883618860707496,0.24724429248589355,0.3537438079345817,0.492984434125609,0.5562817072564792,0.3353341450374702,0.5472061986137409,0.4484717391960639,0.5763005837818115,1.0,0.45223366030571077,0.35945281592731887,0.420530975239933,0.3953635920914658,0.38660885425045827,0.4943672260085396,-0.12924585512104692,0.556367534446418,0.540177670762916,0.4522328352907989,0.17318549341323353,0.17280721598895168,0.20508583277947195,0.11644740491653,0.5943498653408401,0.5112973302244381,0.6222653201764785,0.6481464569896351
CC24_321d,0.2981868873459608,0.18305708587067118,0.33064310302843153,0.5016686510359555,0.4481203785465091,0.23085554080666792,0.46558444608432226,0.6175408422237014,0.481505253951103,0.45223366030571077,1.0,0.7782872028559464,0.46035135426893664,0.44348064383209446,0.3913395066730576,0.48956369753808815,0.20552195915213034,0.6132061674239234,0.4780192466397766,0.37594678622859495,0.00023195502067826154,0.06465605632652317,-0.013447060312682859,-0.037518729710781976,0.5790244032416485,0.40355205914142833,0.45053768642015846,0.48855494847486797
