,F1,F2,F3,F4,F5
F1,1.0,-0.0256,-0.3546,0.2019,0.6154
F2,-0.0256,1.0,0.1296,-0.2345,-0.1703
F3,-0.3546,0.1296,1.0,-0.0704,-0.3947
F4,0.2019,-0.2345,-0.0704,1.0,0.2436
F5,0.6154,-0.1703,-0.3947,0.2436,1.0
