state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_LIB,inc_OAO,inc_POP,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON,inc_LBR
1,AL,CON_1,CON,26.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.87,0.67,1.46,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,DSA_1,DSA,10.41,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,12.07,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.02,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.92,0.0,0.0,0.0,0.0,1.52,0.72,0.0,0.0,0.0,0.0
2,AK,STY_1,STY,11.15,0.0,0.0,5.05,0.0,0.0,1.21,0.0,0.0,0.0,0.0
4,AZ,CON_1,CON,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.02,0.0,0.96,0.0,0.0,0.0,6.07,1.3,0.0,0.0,0.0
4,AZ,LIB_1,LIB,9.47,0.0,0.93,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0
4,AZ,NAT_1,NAT,18.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,22.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.54,0.92,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0
5,AR,NAT_1,NAT,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0
6,CA,CON_1,CON,13.35,0.0,1.7,2.2,0.0,0.0,0.0,1.57,0.0,0.0,0.0
6,CA,LBR_1,LBR,16.37,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0
6,CA,LIB_1,LIB,15.15,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,10.97,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,10.39,0.0,0.0,4.11,0.0,0.0,0.0,1.99,0.0,0.0,0.0
8,CO,CON_1,CON,21.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,14.18,0.0,0.0,0.0,0.0,0.0,4.16,0.55,0.0,0.0,0.0
8,CO,LIB_1,LIB,14.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,10.58,0.0,0.0,0.0,4.91,0.0,0.0,0.0,1.95,0.0,0.0
8,CO,PRG_1,PRG,11.05,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,19.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,13.24,0.0,0.0,0.0,0.0,0.0,2.48,0.0,2.54,0.0,0.0
9,CT,LIB_1,LIB,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,8.83,0.0,0.0,0.0,6.22,0.0,0.0,2.13,1.92,0.0,0.0
9,CT,PRG_1,PRG,11.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LBR_1,LBR,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,10.71,0.0,0.0,0.0,0.0,5.15,0.0,1.5,0.0,0.0,0.0
10,DE,OAO_1,OAO,14.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,STY_1,STY,4.92,0.0,0.0,2.59,0.0,0.0,0.0,0.68,0.0,0.0,0.0
11,DC,LBR_1,LBR,17.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0
11,DC,LIB_1,LIB,30.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,12.54,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,POP_1,POP,10.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,2.12,0.0
11,DC,PRG_1,PRG,13.7,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0
12,FL,CON_1,CON,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,10.15,0.0,3.76,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LBR_1,LBR,13.35,0.0,0.54,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0
12,FL,LIB_1,LIB,8.44,0.0,1.23,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0
12,FL,STY_1,STY,10.59,0.0,0.0,5.02,0.0,0.0,1.52,0.0,0.0,0.0,0.0
13,GA,CON_1,CON,22.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,9.11,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,15.74,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0
13,GA,LIB_1,LIB,12.85,0.0,0.89,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.0
13,GA,STY_1,STY,9.09,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,21.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LIB_1,LIB,19.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,OAO_1,OAO,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,8.86,0.0,0.0,0.0,2.51,0.0,0.0,0.0,1.43,0.0,0.0
16,ID,CON_1,CON,22.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,LBR_1,LBR,9.38,0.0,1.42,0.0,0.0,0.0,5.63,0.0,2.23,0.0,0.0
16,ID,LIB_1,LIB,8.6,0.0,1.18,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0
16,ID,NAT_1,NAT,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,14.57,0.0,0.0,0.0,0.0,0.0,0.0,3.34,1.31,0.0,0.0
17,IL,CON_1,CON,20.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,9.01,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0
17,IL,LBR_1,LBR,12.28,0.0,0.0,0.0,0.0,0.0,4.54,0.0,2.34,0.0,0.0
17,IL,LIB_1,LIB,13.43,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,PRG_1,PRG,9.04,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
18,IN,CON_1,CON,20.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,9.64,0.0,3.07,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,LBR_1,LBR,11.85,0.0,1.2,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0
18,IN,LIB_1,LIB,9.08,0.0,1.48,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0
18,IN,NAT_1,NAT,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CON_1,CON,20.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.3,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
