state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
6,CA,LIB_1,LIB,14.24,0.0,1.45,0.73,0.0,0.0,0.0,0.0,8.28,0.0
6,CA,POP_1,POP,12.88,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,7.23
8,CO,CON_1,CON,21.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LIB_1,LIB,13.35,0.0,0.0,0.6,0.0,0.0,3.19,0.0,10.4,0.0
8,CO,NAT_1,NAT,9.19,2.89,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,13.4,0.0,0.0,1.92,0.0,0.0,1.62,0.0,0.0,0.0
9,CT,CON_1,CON,18.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,6.11,0.0,4.58,0.0,0.0,7.79,0.0,0.0,0.0,1.58
9,CT,LBR_1,LBR,16.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
9,CT,LIB_1,LIB,16.46,0.0,0.0,0.0,0.0,0.0,0.97,0.0,10.4,0.0
9,CT,POP_1,POP,11.56,1.06,1.75,0.0,0.0,0.0,2.01,0.0,0.0,8.21
10,DE,CON_1,CON,24.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.48,0.0,1.07,0.0,7.25,0.0,0.0,0.0,4.63
10,DE,LBR_1,LBR,23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LBR_2,LBR,0.0,2.09,7.35,2.43,0.0,2.86,2.76,6.21,0.0,0.0
10,DE,LIB_1,LIB,10.13,0.0,7.94,1.58,0.0,0.0,0.0,0.0,4.76,0.0
